# generated by scripts/stat-model.py from awakened-poe-trade@ce551eb7 renderer/public/data/en/stats.ndjson, ../trade-query/data/stats-2026-09-12.json, ../trade-query/data/stat-collisions.csv, ../repoe/data/trade-stat-map.csv
trade_id,category,capture_text,capture_option,apt_carries,apt_ref,apt_container,apt_group_strat,apt_ids_in_category,apt_ref_equals_capture_text,collision,collision_size,collision_verdict,repoe_english
crafted.stat_1782086450,crafted,#% faster start of Energy Shield Recharge,,yes,#% faster start of Energy Shield Recharge,plain,,1,yes,no,,,yes
crafted.stat_1783006896,crafted,#% chance to Avoid being Ignited,,yes,#% chance to Avoid being Ignited,plain,,1,yes,no,,,yes
crafted.stat_1785942004,crafted,#% Chance to Trigger Level 18 Summon Spectral Wolf on Kill,,no,,,,,,no,,,yes
crafted.stat_1839076647,crafted,#% increased Projectile Damage,,yes,#% increased Projectile Damage,plain,,1,yes,no,,,yes
crafted.stat_1840751341,crafted,#% increased Duration of Ailments you inflict while Focused,,yes,#% increased Duration of Ailments you inflict while Focused,plain,,1,yes,no,,,yes
crafted.stat_1859333175,crafted,Can have up to 3 Crafted Modifiers,,yes,Can have up to 3 Crafted Modifiers,plain,,1,yes,no,,,yes
crafted.stat_1871765599,crafted,#% chance to Avoid being Shocked,,yes,#% chance to Avoid being Shocked,plain,,1,yes,no,,,yes
crafted.stat_1896971621,crafted,#% increased Mine Throwing Speed,,yes,#% increased Mine Throwing Speed,plain,,1,yes,no,,,yes
crafted.stat_1905034712,crafted,Adds # to # Fire Damage to Hits against you,,yes,Adds # to # Fire Damage to Hits against you,plain,,1,yes,no,,,yes
crafted.stat_1940865751,crafted,Adds # to # Physical Damage (Local),,yes,Adds # to # Physical Damage,group,select,1,no,no,,,yes
crafted.stat_1950806024,crafted,+#% to Cold Damage over Time Multiplier,,yes,+#% to Cold Damage over Time Multiplier,plain,,1,yes,no,,,yes
crafted.stat_19803471,crafted,+#% Chance to Block Spell Damage,,yes,+#% Chance to Block Spell Damage,group,trivial-merge,1,yes,no,,,yes
crafted.stat_1984113628,crafted,#% increased Effect of Chill and Shock on you,,yes,#% increased Effect of Chill and Shock on you,plain,,1,yes,no,,,yes
crafted.stat_1999113824,crafted,#% increased Evasion and Energy Shield (Local),,yes,#% increased Evasion and Energy Shield,plain,,1,no,no,,,yes
crafted.stat_1999711879,crafted,+# to Minimum Power Charges,,yes,+# to Minimum Power Charges,plain,,1,yes,no,,,yes
crafted.stat_2008255263,crafted,#% increased Critical Strike Chance during Effect,,yes,#% increased Critical Strike Chance during Effect,plain,,1,yes,no,,,yes
crafted.stat_2016708976,crafted,+#% to Quality,,no,,,,,,no,,,yes
crafted.stat_2022851697,crafted,You have Vaal Pact while Focused,,yes,You have Vaal Pact while Focused,plain,,1,yes,no,,,yes
crafted.stat_2034658008,crafted,#% increased Damage per Power Charge,,yes,#% increased Damage per Power Charge,plain,,1,yes,no,,,yes
crafted.stat_205619502,crafted,#% chance to Trigger Level 1 Blood Rage when you Kill an Enemy,,yes,#% chance to Trigger Level 1 Blood Rage when you Kill an Enemy,plain,,1,yes,no,,,yes
crafted.stat_2062792091,crafted,"#% chance to Trigger Socketed Spells when you Focus, with a 0.25 second Cooldown",,yes,"#% chance to Trigger Socketed Spells when you Focus, with a 0.25 second Cooldown",plain,,1,yes,no,,,yes
crafted.stat_2063695047,crafted,Gain #% of Non-Chaos Damage as extra Chaos Damage,,yes,Gain #% of Non-Chaos Damage as extra Chaos Damage,plain,,1,yes,no,,,yes
crafted.stat_2067062068,crafted,Projectiles Pierce # additional Targets,,yes,Projectiles Pierce # additional Targets,plain,,1,yes,no,,,yes
crafted.stat_2069161757,crafted,#% increased Effect of Freeze on you,,yes,#% increased Effect of Freeze on you,plain,,1,yes,no,,,yes
crafted.stat_2093523445,crafted,Adds # to # Physical Damage to Attacks against you,,yes,Adds # to # Physical Damage to Attacks against you,plain,,1,yes,no,,,yes
crafted.stat_210067635,crafted,#% increased Attack Speed (Local),,yes,#% increased Attack Speed,group,select,1,no,no,,,yes
crafted.stat_2106365538,crafted,#% increased Evasion Rating,,yes,#% increased Evasion Rating,group,select,1,yes,no,,,yes
crafted.stat_2127433866,crafted,Adds # to # Fire Damage to Attacks against you,,yes,Adds # to # Fire Damage to Attacks against you,plain,,1,yes,no,,,yes
crafted.stat_2133341901,crafted,#% of Physical Damage Converted to Cold Damage,,yes,#% of Physical Damage Converted to Cold Damage,plain,,1,yes,no,,,yes
crafted.stat_2137912951,crafted,#% increased Mine Damage,,yes,#% increased Mine Damage,plain,,1,yes,no,,,yes
crafted.stat_2144192055,crafted,+# to Evasion Rating,,yes,+# to Evasion Rating,group,select,1,yes,no,,,yes
crafted.stat_2154246560,crafted,#% increased Damage,,yes,#% increased Damage,group,select,1,yes,no,,,yes
crafted.stat_2161689853,crafted,#% increased Rarity of Items Dropped by Slain Rare or Unique Enemies,,yes,#% increased Rarity of Items Dropped by Slain Rare or Unique Enemies,plain,,1,yes,no,,,yes
crafted.stat_2166444903,crafted,+#% Chance to Block Attack Damage while Dual Wielding,,yes,+#% Chance to Block Attack Damage while Dual Wielding,plain,,1,yes,no,,,yes
crafted.stat_2174134106,crafted,Warcries cannot Exert Travel Skills,,yes,Warcries cannot Exert Travel Skills,plain,,1,yes,no,,,yes
crafted.stat_2176571093,crafted,+# to Level of Socketed Projectile Gems,,yes,+# to Level of Socketed Projectile Gems,plain,,1,yes,no,,,yes
crafted.stat_2231156303,crafted,#% increased Lightning Damage,,yes,#% increased Lightning Damage,plain,,1,yes,no,,,yes
crafted.stat_2238019079,crafted,Regenerate # Energy Shield per second while a Rare or Unique Enemy is Nearby,,yes,Regenerate # Energy Shield per second while a Rare or Unique Enemy is Nearby,plain,,1,yes,no,,,yes
crafted.stat_2250533757,crafted,#% increased Movement Speed,,yes,#% increased Movement Speed,plain,,1,yes,no,,,yes
crafted.stat_2257141320,crafted,#% increased Damage with Vaal Skills,,yes,#% increased Damage with Vaal Skills,plain,,1,yes,no,,,yes
crafted.stat_2264295449,crafted,+# metres to Melee Strike Range,,yes,+# metres to Melee Strike Range,plain,,1,yes,no,,,yes
crafted.stat_2266636761,crafted,+#% Chaos Resistance against Damage Over Time,,yes,+#% Chaos Resistance against Damage Over Time,plain,,1,yes,no,,,yes
crafted.stat_2300185227,crafted,+# to Dexterity and Intelligence,,yes,+# to Dexterity and Intelligence,plain,,1,yes,no,,,yes
crafted.stat_2301191210,crafted,#% chance to Blind Enemies on hit,,yes,#% chance to Blind Enemies on hit,plain,,1,yes,no,,,yes
crafted.stat_2309614417,crafted,#% chance to Freeze,,yes,#% chance to Freeze,plain,,1,yes,no,,,yes
crafted.stat_2312652600,crafted,#% Chance to Avoid being Stunned during Effect,,yes,#% Chance to Avoid being Stunned during Effect,plain,,1,yes,no,,,yes
crafted.stat_2316658489,crafted,+# to Armour and Evasion Rating,,yes,+# to Armour and Evasion Rating,plain,,1,yes,no,,,yes
crafted.stat_2339757871,crafted,#% increased Energy Shield Recharge Rate,,yes,#% increased Energy Shield Recharge Rate,plain,,1,yes,no,,,yes
crafted.stat_2353576063,crafted,#% increased Effect of your Curses,,yes,#% increased Effect of your Curses,plain,,1,yes,no,,,yes
crafted.stat_2362265695,crafted,#% chance to Avoid being Knocked Back,,no,,,,,,no,,,yes
crafted.stat_2375316951,crafted,#% increased Critical Strike Chance,,yes,#% increased Critical Strike Chance,group,select,1,yes,no,,,yes
crafted.stat_2379781920,crafted,#% increased Elemental Damage if you've dealt a Critical Strike Recently,,yes,#% increased Elemental Damage if you've dealt a Critical Strike Recently,plain,,1,yes,no,,,yes
crafted.stat_238314698,crafted,Cannot roll Modifiers with Required Level above #,,no,,,,,,no,,,yes
crafted.stat_2387423236,crafted,Adds # to # Cold Damage,,yes,Adds # to # Cold Damage,group,select,1,yes,no,,,yes
crafted.stat_2402136583,crafted,Gain #% of Lightning Damage as Extra Chaos Damage,,yes,Gain #% of Lightning Damage as Extra Chaos Damage,plain,,1,yes,no,,,yes
crafted.stat_2421446548,crafted,Channelling Skills have +# to Total Mana Cost,,yes,Channelling Skills have +# to Total Mana Cost,plain,,1,yes,no,,,yes
crafted.stat_2451402625,crafted,#% increased Armour and Evasion (Local),,yes,#% increased Armour and Evasion,plain,,1,no,no,,,yes
crafted.stat_2469416729,crafted,Adds # to # Cold Damage to Spells,,yes,Adds # to # Cold Damage to Spells,plain,,1,yes,no,,,yes
crafted.stat_2477381238,crafted,#% reduced Enemy Block Chance,,no,,,,,,no,,,yes
crafted.stat_2481353198,crafted,#% increased Chance to Block,,yes,#% increased Chance to Block,plain,,1,yes,no,,,yes
crafted.stat_2482852589,crafted,#% increased maximum Energy Shield,,yes,#% increased maximum Energy Shield,plain,,1,yes,no,,,yes
crafted.stat_2491363440,crafted,Adds # to # Lightning Damage to Attacks against you,,yes,Adds # to # Lightning Damage to Attacks against you,plain,,1,yes,no,,,yes
crafted.stat_2517001139,crafted,#% increased Stun Duration on Enemies,,yes,#% increased Stun Duration on Enemies,plain,,1,yes,no,,,yes
crafted.stat_2523334466,crafted,Adds # to # Chaos Damage if you've dealt a Critical Strike Recently,,yes,Adds # to # Chaos Damage if you've dealt a Critical Strike Recently,plain,,1,yes,no,,,yes
crafted.stat_2530372417,crafted,#% Chance to Block Attack Damage,,yes,#% Chance to Block Attack Damage,group,trivial-merge,1,yes,no,,,yes
crafted.stat_2551600084,crafted,+# to Level of Socketed AoE Gems,,yes,+# to Level of Socketed AoE Gems,plain,,1,yes,no,,,yes
crafted.stat_2628163981,crafted,#% increased Attack and Cast Speed while Focused,,yes,#% increased Attack and Cast Speed while Focused,plain,,1,yes,no,,,yes
crafted.stat_2672805335,crafted,#% increased Attack and Cast Speed,,yes,#% increased Attack and Cast Speed,plain,,1,yes,no,,,yes
crafted.stat_2693705594,crafted,#% of Physical Attack Damage Leeched by Enemy as Life,,yes,#% of Physical Attack Damage Leeched by Enemy as Life,plain,,1,yes,no,,,yes
crafted.stat_2729804981,crafted,Banner Skills have #% increased Aura Effect,,yes,Banner Skills have #% increased Aura Effect,plain,,1,yes,no,,,yes
crafted.stat_2748665614,crafted,#% increased maximum Mana,,yes,#% increased maximum Mana,plain,,1,yes,no,,,yes
crafted.stat_2797971005,crafted,Gain # Life per Enemy Hit with Attacks,,yes,Gain # Life per Enemy Hit with Attacks,plain,,1,yes,no,,,yes
crafted.stat_280731498,crafted,#% increased Area of Effect,,yes,#% increased Area of Effect,plain,,1,yes,no,,,yes
crafted.stat_2831165374,crafted,Adds # to # Lightning Damage to Spells,,yes,Adds # to # Lightning Damage to Spells,plain,,1,yes,no,,,yes
crafted.stat_2866361420,crafted,#% increased Armour,,yes,#% increased Armour,group,select,1,yes,no,,,yes
crafted.stat_2879723104,crafted,Prefixes Cannot Be Changed,,yes,Prefixes Cannot Be Changed,plain,,1,yes,no,,,yes
crafted.stat_2891184298,crafted,#% increased Cast Speed,,yes,#% increased Cast Speed,plain,,1,yes,no,,,yes
crafted.stat_289885185,crafted,Chaos Skills have #% increased Skill Effect Duration,,yes,Chaos Skills have #% increased Skill Effect Duration,plain,,1,yes,no,,,yes
crafted.stat_2901986750,crafted,+#% to all Elemental Resistances,,yes,+#% to all Elemental Resistances,plain,,1,yes,no,,,yes
crafted.stat_2908886986,crafted,#% chance to deal Double Damage while Focused,,yes,#% chance to deal Double Damage while Focused,plain,,1,yes,no,,,yes
crafted.stat_2915373966,crafted,Gain #% of Cold Damage as Extra Chaos Damage,,yes,Gain #% of Cold Damage as Extra Chaos Damage,plain,,1,yes,no,,,yes
crafted.stat_2915988346,crafted,+#% to Fire and Cold Resistances,,yes,+#% to Fire and Cold Resistances,plain,,1,yes,no,,,yes
crafted.stat_2923069345,crafted,Adds # to # Lightning Damage to Hits against you,,yes,Adds # to # Lightning Damage to Hits against you,plain,,1,yes,no,,,yes
crafted.stat_2941585404,crafted,#% increased Trap Damage,,yes,#% increased Trap Damage,plain,,1,yes,no,,,yes
crafted.stat_2947215268,crafted,#% increased Damage during any Flask Effect,,yes,#% increased Damage during any Flask Effect,plain,,1,yes,no,,,yes
crafted.stat_2974417149,crafted,#% increased Spell Damage,,yes,#% increased Spell Damage,group,select,1,yes,no,,,yes
crafted.stat_2992263716,crafted,Recover #% of Mana and Energy Shield when you Focus,,yes,Recover #% of Mana and Energy Shield when you Focus,plain,,1,yes,no,,,yes
crafted.stat_3005472710,crafted,#% chance to Avoid Elemental Ailments,,yes,#% chance to Avoid Elemental Ailments,plain,,1,yes,no,,,yes
crafted.stat_301104070,crafted,#% chance for Flasks to gain a Charge when you take a Critical Strike,,no,,,,,,no,,,yes
crafted.stat_3023957681,crafted,#% chance to gain Onslaught for 4 seconds on Kill,,yes,#% chance to gain Onslaught for 4 seconds on Kill,group,trivial-merge,1,yes,no,,,yes
crafted.stat_3031766858,crafted,Shock nearby Enemies for # Seconds when you Focus,,yes,Shock nearby Enemies for # Seconds when you Focus,plain,,1,yes,no,,,yes
crafted.stat_3032585258,crafted,#% chance to gain a Frenzy Charge on Critical Strike,,yes,#% chance to gain a Frenzy Charge on Critical Strike,group,percent-merge,1,yes,no,,,yes
crafted.stat_3032590688,crafted,Adds # to # Physical Damage to Attacks,,yes,Adds # to # Physical Damage to Attacks,plain,,1,yes,no,,,yes
crafted.stat_3037553757,crafted,#% increased Warcry Buff Effect,,yes,#% increased Warcry Buff Effect,plain,,1,yes,no,,,yes
crafted.stat_30642521,crafted,You can apply # additional Curses,,yes,You can apply # additional Curses,plain,,1,yes,no,,,yes
crafted.stat_3079007202,crafted,"#% chance to Trigger a Socketed Spell on Using a Skill, with a 8 second Cooldown
Spells Triggered this way have 150% more Cost",,yes,"Trigger a Socketed Spell when you Use a Skill, with a 8 second Cooldown
Spells Triggered this way have 150% more Cost",plain,,1,no,no,,,yes
crafted.stat_310246444,crafted,#% increased Damage while Leeching,,yes,#% increased Damage while Leeching,plain,,1,yes,no,,,yes
crafted.stat_311641062,crafted,#% chance for Flasks you use to not consume Charges,,no,,,,,,no,,,yes
crafted.stat_3143208761,crafted,#% increased Attributes,,yes,#% increased Attributes,plain,,1,yes,no,,,yes
crafted.stat_314741699,crafted,#% increased Attack Speed while a Rare or Unique Enemy is Nearby,,yes,#% increased Attack Speed while a Rare or Unique Enemy is Nearby,plain,,1,yes,no,,,yes
crafted.stat_3181879507,crafted,Shock yourself for # Seconds when you Focus,,yes,Shock yourself for # Seconds when you Focus,plain,,1,yes,no,,,yes
crafted.stat_3182498570,crafted,#% increased Movement Speed during Effect,,yes,#% increased Movement Speed during Effect,plain,,1,yes,no,,,yes
crafted.stat_321077055,crafted,Adds # to # Fire Damage,,yes,Adds # to # Fire Damage,group,select,1,yes,no,,,yes
crafted.stat_3237948413,crafted,#% of Physical Attack Damage Leeched as Mana,,yes,#% of Physical Attack Damage Leeched as Mana,group,select,1,yes,no,,,yes
crafted.stat_3240769289,crafted,#% of Physical Damage Converted to Lightning Damage,,yes,#% of Physical Damage Converted to Lightning Damage,plain,,1,yes,no,,,yes
crafted.stat_3244118730,crafted,#% of Evasion Rating is Regenerated as Life per second while Focused,,yes,#% of Evasion Rating is Regenerated as Life per second while Focused,plain,,1,yes,no,,,yes
crafted.stat_3251705960,crafted,#% increased Rarity of Items found during Effect,,yes,#% increased Rarity of Items found during Effect,group,trivial-merge,1,yes,no,,,yes
crafted.stat_3261801346,crafted,+# to Dexterity,,yes,+# to Dexterity,plain,,1,yes,no,,,yes
crafted.stat_328541901,crafted,+# to Intelligence,,yes,+# to Intelligence,plain,,1,yes,no,,,yes
crafted.stat_3291658075,crafted,#% increased Cold Damage,,yes,#% increased Cold Damage,plain,,1,yes,no,,,yes
crafted.stat_3299347043,crafted,+# to maximum Life,,yes,+# to maximum Life,plain,,1,yes,no,,,yes
crafted.stat_3319896421,crafted,Gain #% of Physical Damage as Extra Chaos Damage,,yes,Gain #% of Physical Damage as Extra Chaos Damage,plain,,1,yes,no,,,yes
crafted.stat_3321629045,crafted,#% increased Armour and Energy Shield (Local),,yes,#% increased Armour and Energy Shield,plain,,1,no,no,,,yes
crafted.stat_3324747104,crafted,#% of Damage Leeched as Life while Focused,,yes,#% of Damage Leeched as Life while Focused,plain,,1,yes,no,,,yes
crafted.stat_3325883026,crafted,Regenerate # Life per second,,yes,Regenerate # Life per second,plain,,1,yes,no,,,yes
crafted.stat_3336890334,crafted,Adds # to # Lightning Damage (Local),,yes,Adds # to # Lightning Damage,group,select,1,no,no,,,yes
crafted.stat_3342989455,crafted,#% of Physical Damage from Hits taken as Fire Damage,,yes,#% of Physical Damage from Hits taken as Fire Damage,plain,,1,yes,no,,,yes
crafted.stat_3372524247,crafted,+#% to Fire Resistance,,yes,+#% to Fire Resistance,plain,,1,yes,no,,,yes
crafted.stat_3374165039,crafted,#% increased Totem Placement speed,,yes,#% increased Totem Placement speed,plain,,1,yes,no,,,yes
crafted.stat_3375935924,crafted,Minions have #% increased Attack Speed,,yes,Minions have #% increased Attack Speed,plain,,1,yes,no,,,yes
crafted.stat_3382807662,crafted,+#% to Fire Damage over Time Multiplier,,yes,+#% to Fire Damage over Time Multiplier,plain,,1,yes,no,,,yes
crafted.stat_3393628375,crafted,+#% to Cold and Chaos Resistances,,yes,+#% to Cold and Chaos Resistances,plain,,1,yes,no,,,yes
crafted.stat_3407849389,crafted,#% reduced Effect of Curses on you,,yes,#% reduced Effect of Curses on you,plain,,1,yes,no,,,yes
crafted.stat_3441501978,crafted,+#% to Fire and Lightning Resistances,,yes,+#% to Fire and Lightning Resistances,plain,,1,yes,no,,,yes
crafted.stat_3464137628,crafted,Suffixes Cannot Be Changed,,yes,Suffixes Cannot Be Changed,plain,,1,yes,no,,,yes
crafted.stat_3465022881,crafted,+#% to Lightning and Chaos Resistances,,yes,+#% to Lightning and Chaos Resistances,plain,,1,yes,no,,,yes
crafted.stat_3482587079,crafted,Adds # to # Cold Damage to Hits against you,,yes,Adds # to # Cold Damage to Hits against you,plain,,1,yes,no,,,yes
crafted.stat_3483999943,crafted,#% chance to Avoid being Chilled,,yes,#% chance to Avoid being Chilled,plain,,1,yes,no,,,yes
crafted.stat_3484657501,crafted,+# to Armour (Local),,yes,+# to Armour,group,select,1,no,no,,,yes
crafted.stat_3485067555,crafted,#% increased Chill Duration on Enemies,,yes,#% increased Chill Duration on Enemies,plain,,1,yes,no,,,yes
crafted.stat_3489782002,crafted,+# to maximum Energy Shield,,yes,+# to maximum Energy Shield,group,select,1,yes,no,,,yes
crafted.stat_3500359417,crafted,Minions Recover #% of their Life when you Focus,,yes,Minions Recover #% of their Life when you Focus,plain,,1,yes,no,,,yes
crafted.stat_3500911418,crafted,Regenerate #% of Life per second during any Flask Effect,,no,,,,,,no,,,yes
crafted.stat_350598685,crafted,+# metres to Weapon Range,,yes,+# metres to Weapon Range,plain,,1,yes,no,,,yes
crafted.stat_3515686789,crafted,#% increased Damage per Endurance Charge,,yes,#% increased Damage per Endurance Charge,plain,,1,yes,no,,,yes
crafted.stat_3523867985,crafted,"#% increased Armour, Evasion and Energy Shield (Local)",,yes,"#% increased Armour, Evasion and Energy Shield",plain,,1,no,no,,,yes
crafted.stat_3556824919,crafted,+#% to Global Critical Strike Multiplier,,yes,+#% to Global Critical Strike Multiplier,plain,,1,yes,no,,,yes
crafted.stat_3593843976,crafted,#% of Physical Attack Damage Leeched as Life,,yes,#% of Physical Attack Damage Leeched as Life,group,select,1,yes,no,,,yes
crafted.stat_3610263531,crafted,Focus has #% increased Cooldown Recovery Rate,,yes,Focus has #% increased Cooldown Recovery Rate,plain,,1,yes,no,,,yes
crafted.stat_3668351662,crafted,#% increased Shock Duration on Enemies,,yes,#% increased Shock Duration on Enemies,plain,,1,yes,no,,,yes
crafted.stat_3680664274,crafted,+#% chance to Suppress Spell Damage,,yes,+#% chance to Suppress Spell Damage,plain,,1,yes,yes,2,partly_carried,yes
crafted.stat_3706959521,crafted,+# to Minimum Endurance Charges,,yes,+# to Minimum Endurance Charges,plain,,1,yes,no,,,yes
