# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
stat_id,stats_dat_hash,trade_number,attributed_by
additional_physical_damage_reduction_%_while_affected_by_determination,3112601718,1873457881,export
additional_physical_damage_reduction_%_while_moving,1462401975,2713357573,export
additional_physical_damage_reduction_against_hits_%_per_siphoning_charge,2332119753,3837366401,export
additional_poison_chance_%_when_inflicting_poison,3623288429,514698677,export
additional_projectile_if_6_hunter_items,3327637441,3778002979,export
additional_rage_loss_per_minute,498524618,1124360291,export
additional_scroll_of_wisdom_drop_chance_%,1520561746,2920230984,export
additional_spectres_per_ghastly_eye_jewel,3806012546,1664904679,export
additional_spell_block_%,2553873416,19803471,export
additional_spell_block_%_if_havent_blocked_recently,4289106827,3771323968,export
additional_spell_block_%_per_power_charge,4034271168,816458107,export
additional_spell_block_%_while_cursed,3873466845,3218891195,export
additional_staff_block_%,2258677436,1778298516,export
additional_strength,3992817299,4080418644,export
additional_strength_and_dexterity,3623112974,538848803,export
additional_strength_and_intelligence,2705806547,1535626285,export+pob
additive_cast_speed_modifiers_apply_to_trap_throwing_speed,4155202835,3520223758,export
additive_chaos_damage_modifiers_apply_to_chaos_aura_effect_at_%_value,858610287,2628865242,export
additive_cold_damage_modifiers_apply_to_cold_aura_effect_at_%_value,2961267179,935686778,export
additive_energy_shield_modifiers_apply_to_spell_damage_at_30%_value,3668561601,3268519799,export
additive_evasion_increase_modifiers_apply_to_spell_damage_at_%_value,2728947345,4091694419,export
additive_fire_damage_modifiers_apply_to_fire_aura_effect_at_%_value,1849998637,1320057994,export
additive_flask_effect_modifiers_apply_to_arcane_surge,476225687,1213832501,export
additive_flask_effect_modifiers_apply_to_arcane_surge_at_%_value,476225687,1213832501,export+pob
additive_life_modifiers_apply_to_attack_damage_at_30%_value,1546814511,881645355,export
additive_lightning_damage_modifiers_apply_to_lightning_aura_effect_at_%_value,3904566871,232010308,export
additive_mana_modifiers_apply_to_damage_at_30%_value,1827655461,2571899044,export
additive_minion_damage_modifiers_apply_to_you_at_150%_value,2818217484,1433144735,export
additive_minion_maximum_life_modifiers_apply_to_you_at_%_value,925819755,3942379359,export
additive_modifiers_to_minion_attack_speed_also_affect_you,1194849390,2293111154,export
additive_modifiers_to_minion_cast_speed_also_affect_you,261087441,2284852387,export
additive_physical_damage_modifiers_apply_to_physical_aura_effect_at_%_value,3971558899,1092506510,export
additive_spell_damage_modifiers_apply_to_attack_damage,2821607650,3811649872,export
additive_spell_damage_modifiers_apply_to_attack_damage_at_150%_value,3138013534,185598681,export
additive_spell_damage_modifiers_apply_to_retaliation_attack_damage_at_%_value,1398835118,4171078509,export
additive_vaal_skill_damage_modifiers_apply_to_all_skills,2921359137,3871212304,export
adrenaline_on_vaal_skill_use_duration_ms,2984006157,3856092403,export
agony_crawler_damage_+%,3210355375,786460697,export
ailment_damage_+%_per_equipped_elder_item,1049428320,2418574586,export
ailment_dot_multiplier_+_per_equipped_elder_item,160942006,2212731469,export
ailment_types_apply_damage_taken_+%,2829033631,1217730254,export
ailment_types_apply_enemy_chance_to_deal_double_damage_%_against_self,1080482392,1916537902,export
alchemists_mark_curse_effect_+%,4020958524,3583185303,export
all_attributes_+%,1272573356,3143208761,export
all_attributes_+%_if_6_elder_items,243157653,3237046450,export
all_damage_can_chill,1215591923,3833160777,export
all_damage_can_freeze,2794020457,4052117756,export
all_damage_can_ignite,93015817,1369840970,export
all_damage_can_poison_while_affected_by_glorious_madness,1742087960,3359218839,export
all_damage_resistance_+%,4202738327,1195367742,export
all_damage_taken_can_chill,2046378060,244239777,export
all_damage_taken_can_ignite,4002593490,1405089557,export
all_resistances_%_per_active_minion_not_from_vaal_skills,1593038437,2894273152,export
all_resistances_%_per_equipped_corrupted_item,887879319,3100523498,export
all_skill_gem_level_+,3569264983,4283407333,export
all_skill_gem_quality_+,967477727,3655769732,export
allow_2_active_banners,2596585889,28721242,export
allow_2_offerings,1023451804,3639765866,export
allow_multiple_offerings,3495145181,230941555,export
always_crit_on_next_non_channelling_attack_within_X_ms_after_being_crit,1872293812,276813598,export
always_frostburn_while_affected_by_hatred,2809538212,13285831,export
always_ignite_while_burning,335953459,2636728487,export
always_pierce_burning_enemies,3134177902,2214228141,export
always_sap_while_affected_by_wrath,2178199137,2499038519,export
always_scorch_while_affected_by_anger,2536229664,1585991257,export
always_shock_low_life_enemies,1434750863,2610583760,export
ambush_buff_critical_strike_multiplier_+,1279844835,2343571547,export
ambush_cooldown_speed_+%,2328568318,2977107166,export
amulet_freeze_proliferation_radius,3748073870,3865389316,export
ancestor_totem_buff_effect_+%,3643727968,1027887872,export
ancestor_totem_buff_linger_time_ms,3205519529,3328802509,export
ancestral_cry_exerted_attack_damage_+%,3049819220,2146663823,export
ancestral_cry_minimum_power,2168823945,988554168,export
anger_aura_effect_+%,3822273475,1592278124,export
anger_mana_reservation_+%,2039758837,2003753577,export
anger_mana_reservation_efficiency_+%,3667898360,2549369799,export+pob
anger_mana_reservation_efficiency_-2%_per_1,2551939572,2963485753,export
anger_reserves_no_mana,2098530979,2189891129,export
animate_guardian_damage_+%,1551831051,4157143640,export
animate_guardian_damage_+%_per_animated_weapon,3208252960,759294825,export
animate_guardian_elemental_resistances_%,1926535668,2094281311,export
animate_weapon_chance_to_create_additional_copy_%,34835664,3711386843,export
animate_weapon_damage_+%,1988340669,1819674879,export
animate_weapon_duration_+%,260008616,3338074370,export
animate_weapon_number_of_additional_copies,3148343546,1266553505,export
animated_minions_melee_splash,3239650228,91242932,export
apply_X_wither_stacks_for_2_seconds_with_tinctured_weapons,292764522,1103333624,pob
apply_covered_in_ash_to_attacker_on_hit_%_vs_rare_or_unique_enemy,1497081813,240642724,export
apply_covered_in_ash_to_attacker_when_hit_%,1861848796,3748879662,export
apply_hex_on_enemy_that_triggers_traps,1817426131,1736212068,export
apply_maximum_wither_for_Xs_on_chaos_skill_hit,1778808768,2676773112,export
arc_damage_+%,3284155359,2740567252,export
arc_damage_+%_per_chain,1501298622,3998182656,export
arc_num_of_additional_projectiles_in_chain,579116514,2461552986,export
arc_shock_chance_%,805640592,195463427,export
arcane_cloak_consume_%_of_mana,324865879,122106412,export
arcane_cloak_gain_%_of_consumed_mana_as_life_regenerated_per_second,86164,3606492882,export
arcane_surge_during_mana_flask_effect,3611738063,1243471794,export
arcane_surge_effect_+%,324581593,3015437071,export
arcane_surge_effect_+%_while_affected_by_clarity,2329337840,1808477254,export
arcane_surge_effect_on_self_+%_per_caster_abyss_jewel_up_to_+40%,155872830,1012072406,export
arcane_surge_to_you_and_allies_on_warcry_with_effect_+%_per_5_power_up_to_50%,1711815839,3399924348,export
arcanist_brand_cast_speed_+%,1085252548,1147445274,export
arcanist_brand_unnerve_on_hit,729359321,1350243490,export
arctic_armour_buff_effect_+%,362343643,3995612171,export
arctic_armour_mana_reservation_+%,3763270493,2233726619,export
arctic_armour_mana_reservation_efficiency_+%,3028280291,2351239732,export+pob
arctic_armour_mana_reservation_efficiency_-2%_per_1,2196901044,2605040931,export
arctic_armour_no_reservation,4254026496,1483066460,export
arctic_breath_chilling_area_movement_velocity_+%,3776180881,2781179464,export
arctic_breath_damage_+%,263733258,2846773529,export
arctic_breath_duration_+%,4117025438,3804575865,export
arctic_breath_radius_+%,3345377466,3816022821,export
area_damage_+%,2425612141,4251717817,export
area_damage_+%_per_10_devotion,2403890332,1724614884,export
area_damage_taken_from_hits_+%,1800804730,3001376862,export
area_of_effect_+%_final_for_bow_attacks_firing_single_projectile,2752470678,2379109976,export
area_of_effect_+%_if_culled_recently,4098761647,1785568076,export
area_of_effect_+%_if_have_stunned_an_enemy_recently,2544919131,430248187,export
area_of_effect_+%_per_20_int,4161188022,1307972622,export
area_of_effect_+%_per_25_rampage_stacks,1102355470,4119032338,export
area_of_effect_+%_per_50_strength,4070266,2611023406,export
area_of_effect_+%_per_endurance_charge,2743216409,2448279015,export
area_of_effect_+%_per_enemy_killed_recently,2760058494,4070157876,export
area_of_effect_+%_per_enemy_killed_recently_up_to_25%,1674784310,250553316,export
area_of_effect_+%_while_you_have_arcane_surge,1327158989,1406617410,export
armageddon_brand_attached_target_fire_penetration_%,1681817684,1715805151,export
armageddon_brand_damage_+%,1498497927,1699139870,export
armageddon_brand_repeat_frequency_+%,891464137,2512194486,export
armour_%_applies_to_fire_cold_lightning_damage,3987942511,3362812763,export
armour_%_applies_to_fire_cold_lightning_damage_if_have_blocked_recently,652289460,1239225602,export
armour_+%_if_enemy_not_killed_recently,1537606719,2424133568,export
armour_+%_per_50_str,3943763250,3621706946,export
armour_+%_while_bleeding,2415966843,2466912132,export
armour_+%_while_no_energy_shield,3426082936,3827349913,export
armour_+%_while_stationary,4190044736,3184053924,export
armour_+_while_affected_by_determination,1026055925,3742808908,export
armour_+_while_you_have_fortify,1135525314,153004860,export
armour_and_evasion_rating_+_per_1%_attack_block_chance,4033021795,2818854203,export
armour_and_evasion_rating_+_while_fortified,934208812,2962782530,export
armour_from_helmet_and_gloves_+%,4263984823,791154540,export
armour_from_shield_doubled,746908853,651387761,export
armour_increased_by_overcapped_fire_resistance,2273039310,2129352930,export
armour_increased_by_x%_of_overcapped_fire_resistance,3945809656,1671639542,export
armour_while_stationary,1256540596,2551779822,export
armour_while_you_do_not_have_avatar_of_fire,1703236712,4078952782,export
arrow_base_number_of_targets_to_pierce,2844798392,3423006863,export
arrow_chains_+,1354069915,1001077145,export
arrow_damage_+%_vs_pierced_targets,2110716013,1019891080,export
arrows_always_pierce_after_chaining,1941974911,1997151732,export
arrows_always_pierce_after_forking,250079341,2138799639,export
arrows_fork,884504926,2421436896,export
arrows_from_first_firing_point_always_pierce,1596050650,2168987271,export
arrows_from_fourth_firing_point_additional_chains,3393635715,226515115,export
arrows_from_second_firing_point_fork,3126719747,3290081052,export
arrows_from_third_firing_point_return,3213946356,301746072,export
arrows_pierce_additional_target,2179351107,3492025235,export
arrows_that_pierce_chance_to_bleed_25%,1160479418,1812251528,export
artillery_ballista_cross_strafe_pattern,1395111011,2056176052,export
artillery_ballista_fire_pen_+%,3724514855,1734517294,export
artillery_ballista_num_additional_arrows,1841823285,3283028259,export
aspect_of_the_avian_buff_effect_+%,1443275450,1746347097,export
aspect_of_the_avian_grants_avians_might_and_avians_flight_to_nearby_allies,1293978863,2544408546,export
aspect_of_the_cat_base_secondary_duration,51471803,3686519528,export
aspect_of_the_cat_buff_effect_+%,2305255570,4065740293,export
aspect_of_the_crab_buff_effect_+%,3963364166,1883691564,export
aspect_of_the_spider_debuff_effect_+%,1741346962,2030415947,export
aspect_of_the_spider_web_count_+,542954481,1509532587,export
assassins_mark_curse_effect_+%,3506888675,1961975107,export
assassins_mark_duration_+%,1060809889,1609523492,export
attack_additional_critical_strike_chance_permyriad,998270063,2572042788,export
attack_additional_critical_strike_chance_permyriad_if_4_elder_items,2548425664,1481800004,export
attack_and_cast_speed_+%,1169597728,2672805335,export
attack_and_cast_speed_+%_during_onslaught,2633476124,2320884914,export
attack_and_cast_speed_+%_for_4_seconds_on_movement_skill_use,1666650749,2831922878,export
attack_and_cast_speed_+%_if_corpse_consumed_recently,1021808771,672563185,export
attack_and_cast_speed_+%_if_enemy_hit_recently,2562896444,1483753325,export
attack_and_cast_speed_+%_if_havent_been_hit_recently,1114724962,223937937,export
attack_and_cast_speed_+%_per_endurance_charge,3088634191,3618888098,export
attack_and_cast_speed_+%_per_frenzy_charge,3830497028,269590092,export
attack_and_cast_speed_+%_per_nearby_enemy_up_to_30%,1402785322,1027670161,export
attack_and_cast_speed_+%_per_power_charge,1821650580,987588151,export
attack_and_cast_speed_+%_per_summoned_raging_spirit,3138020384,3133579934,export
attack_and_cast_speed_+%_while_focused,4147147469,2628163981,export
attack_and_cast_speed_+%_while_you_have_depleted_physical_aegis,3793031485,232331266,export
attack_and_cast_speed_+%_while_you_have_fortify,767506524,1473444150,export
attack_and_movement_speed_+%_if_you_have_beast_minion,2748983304,3597737983,export
attack_and_movement_speed_+%_with_her_blessing,1176246552,2968804751,export
attack_area_of_effect_+%,4078653483,1840985759,export
attack_block_%_if_blocked_a_spell_recently,1237745096,647983250,export
attack_block_%_per_200_fire_hit_damage_taken_recently,319137797,8517868,export
attack_cast_and_movement_speed_+%_during_onslaught,874704557,879520319,export
attack_cast_and_movement_speed_+%_while_do_not_have_iron_reflexes,978425944,3476327198,export
attack_chance_to_blind_on_hit_%_vs_bleeding_enemies,3920143629,4204320922,export
attack_chance_to_maim_on_hit_%_vs_blinded_enemies,222318848,1291726336,export
attack_critical_strike_chance_+%,3110016856,2194114101,export
attack_critical_strike_chance_+%_per_200_accuracy_rating,2810267004,2196695640,export
attack_critical_strike_damage_life_leech_permyriad,2763381807,2100196861,export
attack_critical_strike_multiplier_+,1113343616,3714003708,export
attack_critical_strikes_ignore_elemental_resistances,3245015087,2170876738,export
attack_damage_+%,2976007641,2843214518,export
attack_damage_+%_if_hit_recently,4206362468,871414818,export
attack_damage_+%_if_other_ring_is_shaper_item,3349304522,1555962658,export
attack_damage_+%_per_450_evasion,380954074,93696421,export
attack_damage_+%_per_450_physical_damage_reduction_rating,2972603531,192842973,export
attack_damage_+%_per_500_maximum_mana,1959383972,4134865890,export
attack_damage_+%_per_explicit_map_mod_affecting_area,1152036647,698336758,export
attack_damage_+%_while_affected_by_precision,1628613057,2048747572,export
attack_damage_+%_while_holding_a_shield,2804991270,1393393937,export
attack_damage_+1%_per_300_of_min_of_armour_or_evasion,3468588697,1358422215,export
attack_damage_that_stuns_also_chills,2428193256,2437193018,export
attack_damage_vs_bleeding_enemies_+%,141835731,3944782785,export
attack_mana_cost_+%,289101526,2859471749,export
attack_physical_damage_%_to_add_as_fire,1406876633,273476097,export
attack_physical_damage_%_to_add_as_lightning,1863039564,1096897481,export
attack_physical_damage_%_to_convert_to_cold,1933299927,2186742030,export
attack_physical_damage_%_to_convert_to_fire,2450601731,796222013,export
attack_physical_damage_%_to_convert_to_lightning,3207955224,1188616832,export
attack_projectiles_fork,974183219,396113830,export
attack_projectiles_fork_additional_times,2447667737,1643324992,export
attack_projectiles_return,405175846,1658124062,export
attack_skills_%_physical_as_extra_fire_damage_per_socketed_red_gem,2194074145,1302700515,export
attack_skills_additional_totems_allowed,2474513633,3266394681,export
attack_skills_have_added_lightning_damage_equal_to_%_of_maximum_mana,3544608351,2778228111,export
attack_speed_+%,1067510423,681332047,export
attack_speed_+%_during_flask_effect,2052344153,1365052901,export
attack_speed_+%_if_changed_stance_recently,1489666350,2188905761,export
attack_speed_+%_if_enemy_killed_recently,2210236779,1507059769,export
attack_speed_+%_if_have_been_hit_recently,2082225342,4137521191,export+pob
attack_speed_+%_if_have_crit_recently,3979355738,1585344030,export
attack_speed_+%_if_havent_cast_dash_recently,3696089319,1003608257,export
attack_speed_+%_if_not_gained_frenzy_charge_recently,85085713,749465463,export
attack_speed_+%_if_rare_or_unique_enemy_nearby,2671669819,314741699,export
attack_speed_+%_per_10_dex,2430309702,889691035,export
attack_speed_+%_per_200_accuracy_rating,877521339,2937694716,export
attack_speed_+%_per_25_dex,2654288512,2241560081,export
attack_speed_+%_per_explicit_map_mod_affecting_area,1310178084,2025297472,export
attack_speed_+%_per_fortification,3491921203,1039149869,export
attack_speed_+%_per_frenzy_charge,27707373,3548561213,export
attack_speed_+%_when_hit,2082225342,4137521191,export
attack_speed_+%_when_on_full_life,2404106269,4268321763,export
attack_speed_+%_when_on_low_life,3479051121,1921572790,export
attack_speed_+%_while_affected_by_precision,3186007813,3375743050,export
attack_speed_+%_while_chilled,2235429845,3935294261,export
attack_speed_+%_while_holding_shield,1712333340,3805075944,export
attack_speed_+%_while_ignited,2504206192,2047819517,export
attack_speed_+%_while_not_on_low_mana,3710037368,779663446,export
attack_speed_+%_while_phasing,861825173,2752264922,export
attack_speed_+%_with_movement_skills,87070980,3683134121,export
attack_speed_+%_with_tinctured_weapons,3042382285,2038105340,pob
attack_speed_while_dual_wielding_+%,3939532789,4249220643,export
attack_speed_while_fortified_+%,2859963805,122450405,export
attacks_bleed_on_hit_while_you_have_cat_stealth,8546057,2059771038,export
attacks_chance_to_bleed_25%_vs_cursed_enemies,2592912859,2591028853,export
attacks_chance_to_blind_on_hit_%,3753202087,318953428,export
attacks_chance_to_poison_%_on_max_frenzy_charges,1255817372,3654074125,export
attacks_chance_to_taunt_on_hit_%,4069836679,280213220,export
attacks_corrosion_on_hit_%,2152458823,2523122963,export
attacks_impale_on_hit_%_chance,1566958044,3739863694,export
attacks_inflict_unnerve_on_crit,1723515109,3362271649,export
attacks_intimidate_on_hit_%,3248939770,3438201750,export
attacks_num_of_additional_chains_when_in_main_hand,3112449269,2466604008,export
attacks_number_of_additional_projectiles,2079989692,1195705739,export
attacks_number_of_additional_projectiles_when_in_off_hand,1416046929,2105048696,export
attacks_poison_while_at_max_frenzy_charges,1448820249,413362507,export
attacks_use_life_in_place_of_mana,547354914,3358745905,export
attacks_with_this_weapon_maximum_es_%_to_add_as_cold_damage,3250227661,2566313732,export
attacks_with_this_weapon_maximum_mana_%_to_add_as_fire_damage,681891034,4107994326,export
attacks_you_use_yourself_attack_speed_+%_final_from_lioneye_glare,1156718357,2718073792,export
attacks_you_use_yourself_repeat_count,3015403795,485236576,export
attribute_requirements_can_be_satisfied_by_%_of_ascendance,4190268532,3024338155,export
aura_effect_on_self_from_your_skills_+%,3682340789,472812693,export
auras_grant_damage_+%_to_you_and_your_allies,4081766295,3729445224,export
avatar_of_fire_rotation_active,652937064,3345955207,export
avians_flight_duration_ms_+,3762077888,1251731548,export
avians_might_duration_ms_+,2987900065,1251945210,export
avoid_all_elemental_status_%,1195261455,3005472710,export
avoid_all_elemental_status_%_per_stackable_unique_jewel,1666172842,611279043,export
avoid_chained_projectile_%_chance,3698670191,729118116,export
avoid_cold_damage_%,2085646647,3743375737,export
avoid_damage_%,3062152650,407415930,export
avoid_elemental_ailments_%_while_affected_by_elusive,585489403,2662268382,export
avoid_elemental_ailments_%_while_phasing,949005146,115351487,export
avoid_elemental_damage_%_per_frenzy_charge,2956801467,1649883131,export
avoid_elemental_damage_chance_%_during_soul_gain_prevention,4257398889,720398262,export
avoid_elemental_damage_while_phasing_%,266387891,143510471,export
avoid_fire_damage_%,2465981229,42242677,export
avoid_freeze_and_chill_%_if_you_have_used_a_fire_skill_recently,538868596,3706656107,export
avoid_freeze_chill_ignite_%_with_her_blessing,3686391453,1093704472,export
avoid_ignite_%_when_on_low_life,1131527639,4271082039,export
avoid_interruption_while_casting_%,1693823433,1916706958,export
avoid_knockback_%,3287934867,4212255859,export
avoid_lightning_damage_%,2269578207,2889664727,export
avoid_maim_%_chance,1549816328,1126826428,export
avoid_physical_damage_%,4178114138,2415497478,export
avoid_physical_damage_%_while_phasing,3401161833,2490633856,export
avoid_projectiles_%_chance_if_taken_projectile_damage_recently,2191585946,3114696875,export
avoid_projectiles_while_phasing_%_chance,3861124886,3635120731,export
avoid_shock_%_while_chilled,2574950597,3981960937,export
avoid_stun_%,1124358765,4262448838,export
avoid_stun_%_while_channeling_snipe,2339964835,3024408350,export
avoid_stun_35%_per_active_herald,3942425926,1493090598,export
axe_accuracy_rating_+%,2264347522,2538120572,export
axe_attack_speed_+%,4115077030,3550868361,export
axe_critical_strike_multiplier_+,2087554868,4219746989,export
axe_damage_+%,1840671165,3314142259,export
ball_lightning_damage_+%,2733216593,3152812191,export
ball_lightning_number_of_additional_projectiles,1643600626,3420683028,export
ball_lightning_projectile_speed_+%,3312262819,1243906675,export
ball_lightning_radius_+%,2600478514,788307702,export
banner_aura_effect_+%,1605280382,2729804981,export
banner_grant_x_damage_over_time_multiplier_per_2_valour_consumed,1297376581,790453126,pob
banner_resource_gained_+%,2702067087,1050359418,export
banner_skills_reserve_no_mana,3689539705,2384457007,export
barrage_attack_speed_+%,1404440317,2523298357,export
barrage_damage_+%,2031578616,3685345485,export
barrage_num_of_additional_projectiles,4195141575,3009270704,export
base_%_maximum_life_inflicted_as_aoe_fire_damage_when_hit,4138170059,3643913768,export
base_actor_scale_+%,1404751209,1408638732,export
base_additional_physical_damage_reduction_%,3354648934,3771516363,export
base_aggravate_bleeding_on_attack_hit_chance_%,4227957908,2705185939,export
base_ailment_damage_+%,124585668,690707482,export
base_all_ailment_duration_+%,3203997612,2419712247,export
base_all_ailment_duration_+%_if_you_have_not_applied_that_ailment_recently,2363375819,967840105,export
base_armour_%_applies_to_chaos_damage,3722476960,3972229254,export
base_armour_%_applies_to_lightning_damage,842810912,2200571612,export
base_armour_applies_to_chaos_damage,2896503410,4186532642,export
base_armour_applies_to_lightning_damage,1553933985,2134207902,export
base_arrows_always_pierce,3465194592,1829238593,export
base_attack_block_luck,1637198083,3776150692,export
base_attack_speed_+%_per_frenzy_charge,27707373,3548561213,export+pob
base_aura_area_of_effect_+%,1769552232,895264825,export
base_avoid_bleed_%,4079697398,1618589784,export
base_avoid_chill_%,3486301748,3483999943,export
