# generated by scripts/trade-stat-map.py from poe1/data/stat_translations.json @ e2bd511a and ../trade-query/data/stats-2026-09-12.json
trade_id,category,stat_key,trade_text,option,entry,n_entries,repoe_ids,english,hidden,in_capture,capture_text_equal
crafted.stat_2166444903,crafted,stat_2166444903,+#% Chance to Block Attack Damage while Dual Wielding,,1188,1,block_while_dual_wielding_%,{0}% Chance to Block Attack Damage while Dual Wielding,,yes,yes
crafted.stat_2174134106,crafted,stat_2174134106,Warcries cannot Exert Travel Skills,,10577,1,travel_skills_cannot_be_exerted,Warcries cannot Exert Travel Skills,,yes,yes
crafted.stat_2176571093,crafted,stat_2176571093,+# to Level of Socketed Projectile Gems,,185,1,local_socketed_projectile_gem_level_+,{0} to Level of Socketed Projectile Gems,,yes,yes
crafted.stat_2231156303,crafted,stat_2231156303,#% increased Lightning Damage,,1403,1,lightning_damage_+%,{0}% increased Lightning Damage,,yes,yes
crafted.stat_2238019079,crafted,stat_2238019079,Regenerate # Energy Shield per second while a Rare or Unique Enemy is Nearby,,6547,1,energy_shield_regeneration_rate_per_minute_if_rare_or_unique_enemy_nearby,Regenerate {0} Energy Shield per second while a Rare or Unique Enemy is Nearby,,yes,yes
crafted.stat_2250533757,crafted,stat_2250533757,#% increased Movement Speed,,1823,2,base_movement_velocity_+%,{0}% increased Movement Speed,,yes,yes
crafted.stat_2250533757,crafted,stat_2250533757,#% increased Movement Speed,,11096,2,from_armour_movement_speed_+%,{0}% increased Movement Speed,yes,yes,yes
crafted.stat_2257141320,crafted,stat_2257141320,#% increased Damage with Vaal Skills,,3125,1,vaal_skill_damage_+%,{0}% increased Damage with Vaal Skills,,yes,yes
crafted.stat_2264295449,crafted,stat_2264295449,+# metres to Melee Strike Range,,2560,1,melee_range_+,{0} metres to Melee Strike Range,,yes,yes
crafted.stat_2266636761,crafted,stat_2266636761,+#% Chaos Resistance against Damage Over Time,,5809,1,additional_chaos_resistance_against_damage_over_time_%,{0}% Chaos Resistance against Damage Over Time,,yes,yes
crafted.stat_2300185227,crafted,stat_2300185227,+# to Dexterity and Intelligence,,1207,1,additional_dexterity_and_intelligence,{0} to Dexterity and Intelligence,,yes,yes
crafted.stat_2301191210,crafted,stat_2301191210,#% chance to Blind Enemies on hit,,2286,1,local_chance_to_blind_on_hit_%,{0}% chance to Blind Enemies on hit,,yes,yes
crafted.stat_2309614417,crafted,stat_2309614417,#% chance to Freeze,,2052,1,base_chance_to_freeze_%|always_freeze,Always Freezes Enemies on Hit,,yes,yes
crafted.stat_2312652600,crafted,stat_2312652600,#% Chance to Avoid being Stunned during Effect,,999,1,local_flask_avoid_stun_chance_%_during_flask_effect,{0}% Chance to Avoid being Stunned during Effect,,yes,yes
crafted.stat_2316658489,crafted,stat_2316658489,+# to Armour and Evasion Rating,,4298,1,base_physical_damage_reduction_and_evasion_rating,{0} to Armour and Evasion Rating,,yes,yes
crafted.stat_2339757871,crafted,stat_2339757871,#% increased Energy Shield Recharge Rate,,1589,2,energy_shield_recharge_rate_+%,{0}% increased Energy Shield Recharge Rate,,yes,yes
crafted.stat_2339757871,crafted,stat_2339757871,#% increased Energy Shield Recharge Rate,,3612,2,virtual_energy_shield_recharge_rate_+%,{0}% increased Energy Shield Recharge Rate,,yes,yes
crafted.stat_2353576063,crafted,stat_2353576063,#% increased Effect of your Curses,,2622,1,curse_effect_+%,{0}% increased Effect of your Curses,,yes,yes
crafted.stat_2362265695,crafted,stat_2362265695,#% chance to Avoid being Knocked Back,,1546,1,avoid_knockback_%,{0}% chance to Avoid being Knocked Back,,yes,yes
crafted.stat_2375316951,crafted,stat_2375316951,#% increased Critical Strike Chance,,1489,1,local_critical_strike_chance_+%,{0}% increased Critical Strike Chance,,yes,yes
crafted.stat_2379781920,crafted,stat_2379781920,#% increased Elemental Damage if you've dealt a Critical Strike Recently,,6393,1,elemental_damage_+%_if_have_crit_recently,{0}% increased Elemental Damage if you've dealt a Critical Strike Recently,,yes,yes
crafted.stat_238314698,crafted,stat_238314698,Cannot roll Modifiers with Required Level above #,,37,1,item_generation_local_maximum_mod_required_level_override,Cannot roll Modifiers with Required Level above {0},,yes,yes
crafted.stat_2387423236,crafted,stat_2387423236,Adds # to # Cold Damage,,1394,1,global_minimum_added_cold_damage|global_maximum_added_cold_damage,Adds {0} to {1} Cold Damage,,yes,yes
crafted.stat_2402136583,crafted,stat_2402136583,Gain #% of Lightning Damage as Extra Chaos Damage,,1961,1,lightning_damage_%_to_add_as_chaos,Gain {0}% of Lightning Damage as Extra Chaos Damage,,yes,yes
crafted.stat_2421446548,crafted,stat_2421446548,Channelling Skills have +# to Total Mana Cost,,10209,1,skill_mana_cost_+_with_channelling_skills,Channelling Skills have {0} to Total Mana Cost,,yes,yes
crafted.stat_2451402625,crafted,stat_2451402625,#% increased Armour and Evasion (Local),,1577,1,local_armour_and_evasion_+%,{0}% increased Armour and Evasion,,yes,yes
crafted.stat_2469416729,crafted,stat_2469416729,Adds # to # Cold Damage to Spells,,1431,1,spell_minimum_added_cold_damage|spell_maximum_added_cold_damage,Adds {0} to {1} Cold Damage to Spells,,yes,yes
crafted.stat_2477381238,crafted,stat_2477381238,#% reduced Enemy Block Chance,,1929,1,global_reduce_enemy_block_%,{0}% reduced Enemy Block Chance,,yes,yes
crafted.stat_2481353198,crafted,stat_2481353198,#% increased Chance to Block,,96,1,local_block_chance_+%,{0}% increased Chance to Block,,yes,yes
crafted.stat_2482852589,crafted,stat_2482852589,#% increased maximum Energy Shield,,1585,1,maximum_energy_shield_+%,{0}% increased maximum Energy Shield,,yes,yes
crafted.stat_2491363440,crafted,stat_2491363440,Adds # to # Lightning Damage to Attacks against you,,1407,1,from_self_minimum_added_attack_lightning_damage_taken|from_self_maximum_added_attack_lightning_damage_taken,Adds {0} to {1} Lightning Damage to Attacks against you,,yes,yes
crafted.stat_2517001139,crafted,stat_2517001139,#% increased Stun Duration on Enemies,,1886,2,base_stun_duration_+%,{0}% increased Stun Duration on Enemies,,yes,yes
crafted.stat_2517001139,crafted,stat_2517001139,#% increased Stun Duration on Enemies,,2026,2,stun_duration_+%,{0}% increased Stun Duration on Enemies,,yes,yes
crafted.stat_2523334466,crafted,stat_2523334466,Adds # to # Chaos Damage if you've dealt a Critical Strike Recently,,9359,1,minimum_added_chaos_damage_if_have_crit_recently|maximum_added_chaos_damage_if_have_crit_recently,Adds {0} to {1} Chaos Damage if you've dealt a Critical Strike Recently,,yes,yes
crafted.stat_2530372417,crafted,stat_2530372417,#% Chance to Block Attack Damage,,1165,1,monster_base_block_%,{0}% Chance to Block Attack Damage,,yes,yes
crafted.stat_2551600084,crafted,stat_2551600084,+# to Level of Socketed AoE Gems,,184,1,local_socketed_area_of_effect_gem_level_+,{0} to Level of Socketed AoE Gems,,yes,yes
crafted.stat_2628163981,crafted,stat_2628163981,#% increased Attack and Cast Speed while Focused,,4869,1,attack_and_cast_speed_+%_while_focused,{0}% increased Attack and Cast Speed while Focused,,yes,yes
crafted.stat_2672805335,crafted,stat_2672805335,#% increased Attack and Cast Speed,,2069,1,attack_and_cast_speed_+%,{0}% increased Attack and Cast Speed,,yes,yes
crafted.stat_2693705594,crafted,stat_2693705594,#% of Physical Attack Damage Leeched by Enemy as Life,,1673,1,enemy_life_leech_from_physical_attack_damage_permyriad,{0}% of Physical Attack Damage Leeched by Enemy as Life,,yes,yes
crafted.stat_2729804981,crafted,stat_2729804981,Banner Skills have #% increased Aura Effect,,3394,1,banner_aura_effect_+%,Banner Skills have {0}% increased Aura Effect,,yes,yes
crafted.stat_2748665614,crafted,stat_2748665614,#% increased maximum Mana,,1605,1,maximum_mana_+%,{0}% increased maximum Mana,,yes,yes
crafted.stat_2797971005,crafted,stat_2797971005,Gain # Life per Enemy Hit with Attacks,,1762,2,life_gain_per_target,Gain {0} Life per Enemy Hit with Attacks,,yes,yes
crafted.stat_2797971005,crafted,stat_2797971005,Gain # Life per Enemy Hit with Attacks,,1765,2,base_life_gain_per_target,Gain {0} Life per Enemy Hit with Attacks,,yes,yes
crafted.stat_280731498,crafted,stat_280731498,#% increased Area of Effect,,1903,1,base_skill_area_of_effect_+%,{0}% increased Area of Effect,,yes,yes
crafted.stat_2831165374,crafted,stat_2831165374,Adds # to # Lightning Damage to Spells,,1432,1,spell_minimum_added_lightning_damage|spell_maximum_added_lightning_damage,Adds {0} to {1} Lightning Damage to Spells,,yes,yes
crafted.stat_2866361420,crafted,stat_2866361420,#% increased Armour,,1565,1,physical_damage_reduction_rating_+%,{0}% increased Armour,,yes,yes
crafted.stat_2879723104,crafted,stat_2879723104,Prefixes Cannot Be Changed,,18,1,item_generation_cannot_change_prefixes,Prefixes Cannot Be Changed,,yes,yes
crafted.stat_2891184298,crafted,stat_2891184298,#% increased Cast Speed,,1472,1,base_cast_speed_+%,{0}% increased Cast Speed,,yes,yes
crafted.stat_289885185,crafted,stat_289885185,Chaos Skills have #% increased Skill Effect Duration,,1919,1,chaos_skill_effect_duration_+%,Chaos Skills have {0}% increased Skill Effect Duration,,yes,yes
crafted.stat_2901986750,crafted,stat_2901986750,+#% to all Elemental Resistances,,1644,2,base_resist_all_elements_%,{0}% to all Elemental Resistances,,yes,yes
crafted.stat_2901986750,crafted,stat_2901986750,+#% to all Elemental Resistances,,10877,2,local_unique_jewel_nearby_disconnected_passives_can_be_allocated|unique_thread_of_hope_base_resist_all_elements_%,Passive Skills in Radius can be Allocated without being connected to your tree\nPassage,,yes,yes
crafted.stat_2908886986,crafted,stat_2908886986,#% chance to deal Double Damage while Focused,,5741,1,chance_to_deal_double_damage_%_while_focused,{0}% chance to deal Double Damage while Focused,,yes,yes
