# generated by scripts/base-taxonomy.py from poe1/data/base_items.json and item_classes.json @ e2bd511a, ../trade-query/data/items-2026-09-12.json and filters-2026-09-12.json, the item-facts raw stores (local)
name,item_class,class_name,export_category,release_state,domain,tags,trade_coarse_by_name,trade_id_predicted,basis,corpus_items,corpus_frames
Abyss Scarab of the Consort,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content abyss_scarab mythic_scarab default,map,map.scarab,class + name rule,1,Normal:1
Abyssal Axe,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,5,Rare:5
Abyssal Delirium Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,affliction_orb currency default,currency,currency,class,2,Currency:2
Abyssal Incubator,Incubator,Incubators,Incubator,released,undefined,default,currency,currency.incubator,class,7,Currency:7
Abyssal Sceptre,Sceptre,Sceptres,One Hand Mace,released,item,sceptre sceptre one_hand_weapon onehand weapon default,weapon,weapon.sceptre,class,7,Rare:7
Academy Map,Map,Maps,Map,released,area,not_for_sale indoors_area dungeon temple urban old_map map default,,map,class,0,
Accelerating Catalyst,StackableCurrency,Stackable Currency,Currency,released,undefined,catalyst currency default,currency,currency,class,3,Currency:3
Acclimatisation,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_basic_divination divination_card default,card,card,class,3,DivinationCard:3
Accumulator Wand,Wand,Wands,Wand,released,item,not_for_sale experimental_base wand_can_roll_caster_modifiers wand ranged one_hand_weapon onehand weapon default,weapon,weapon.wand,class,0,
Acid Caverns Map,Map,Maps,Map,released,area,low_tier_map swamp mountain indoors_area cave map default,,map,class,0,
Added Chaos Damage Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,8,Gem:8
Added Cold Damage Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,16,Gem:16
Added Fire Damage Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,10,Gem:10
Added Lightning Damage Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,18,Gem:18
Additional Accuracy Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,4,Gem:4
Adherent of Zarokh,ItemisedCorpse,Corpses,Corpse,released,undefined,default,corpse,corpse,class,0,
Admiral Darnaw,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Admiral Darnaw's Papers,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Admiral Proclar's Pipe,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Advanced Traps Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,7,Gem:7
Aegis Tulgraft,RemovedItem,,,released,brequel_graft,graft graft_tul graft_tul_aegis default,graft,graft,class,0,
Aetheric Fossil,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency.fossil,class + name rule,2,Currency:2
Aetherwind Gloves,Gloves,Gloves,Gloves,released,item,int_armour not_for_sale gloves armour default,armour,armour.gloves,class,1,Rare:1
Agate Amulet,Amulet,Amulets,Amulet,released,item,amulet default,accessory,accessory.amulet,class,64,Rare:44 Unique:20
Aggregator Charm,HeistEquipmentWeapon,Heist Gear,Heist Gear,released,heist_npc,heist_equipment_weapon heist_equipment_caster heist_equipment default,heistequipment,heistequipment.heistweapon,class,4,Rare:3 Magic:1
Agility Contract,InstanceLocalItem,Instance Local Items,Instance Local Item,released,undefined,default,,map,class,0,
Akil's Prophecy,DivinationCard,Divination Cards,Divination Card,released,undefined,armour_divination unique_divination corrupted_divination unique_corrupted_divination unique_armour_divination divination_card default,card,card,class,2,DivinationCard:2
Al-Hezmin's Citadel Map,InstanceLocalItem,Instance Local Items,Instance Local Item,released,undefined,default,,map,class,0,
Al-Hezmin's Crest,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,2,Normal:2
Albino Crab Claw,StackableCurrency,Stackable Currency,Currency,released,undefined,non_exchange_currency currency default,currency,currency,class,0,
Albino Rhoa Feather,StackableCurrency,Stackable Currency,Currency,released,undefined,non_exchange_currency currency default,currency,currency,class,0,
Alchemical Chalice,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Alchemical Exchange,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Alchemical Supplies,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Alchemist's Mark,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,6,Gem:6
Alchemy Shard,StackableCurrency,Stackable Currency,Currency,released,undefined,currency_shard currency default,currency,currency,class,5,Currency:5
Alder Spiked Shield,Shield,Shields,Shield,released,item,dex_int_armour dex_int_shield shield armour default,armour,armour.shield,class,2,Rare:2
Alira's Amulet,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Alivia's Grace,DivinationCard,Divination Cards,Divination Card,released,undefined,armour_divination unique_divination unique_armour_divination divination_card default,card,card,class,2,DivinationCard:2
Alleyways Map,Map,Maps,Map,released,area,not_for_sale can_be_infected_map urban map default,,map,class,0,
Allflame,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Allflame Ember of Abyss,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Anarchy,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Arohongui,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Artillery Gemlings,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Beidat,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Berserking Gemlings,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Brawling Gemlings,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Chayula,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Corpsemage Gemlings,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Esh,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Flesh,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,3,Normal:3
Allflame Ember of Frogs,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Frostmage Gemlings,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Ghorr,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Hinekora,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of K'Tash,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Kitava,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Kulemak,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,1,Normal:1
Allflame Ember of Manifested Wealth,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Meatsacks,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Ngamahu,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Propagation,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,1,Normal:1
Allflame Ember of Ramako,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Rats,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Resplendence,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,2,Normal:2
Allflame Ember of Rongokurai,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Sulphite,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Syndicate Assassins,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Syndicate Escorts,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Syndicate Guards,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Syndicate Researchers,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Synthetic Fury,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Tasalio,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Tawhoa,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Black Scythe,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Broken Circle,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Crusader,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Elder,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Eternal Legion,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Hunter,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Karui Legion,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Knights of the Sun,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Maraketh Legion,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Order of the Chalice,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Redeemer,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Shaper,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Templar Legion,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Vaal Legion,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of The Warlord,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Toads,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,3,Normal:3
Allflame Ember of Trial Cores,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Trial Guards,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Tukohama,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Tul,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Apes,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Beasts,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Chimerals,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Devourers,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Maws,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Rhoas,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Untainted Spitters,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Uul-Netol,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Valako,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Wildwood Beasts,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Wildwood Cultists,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Wildwood Treants,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of Xoph,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of the Ethereal,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,0,
Allflame Ember of the False God,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Allflame Ember of the Gilded,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,2,Normal:2
Allflame Ember of the Wildwood,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,3,Normal:3
Alloyed Spiked Shield,Shield,Shields,Shield,released,item,dex_int_armour dex_int_shield shield armour default,armour,armour.shield,class,0,
Alluring Bounty,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_basic_divination divination_card default,card,card,class,1,DivinationCard:1
Alone in the Darkness,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination divination_card default,card,card,class,3,DivinationCard:3
Alteration Shard,StackableCurrency,Stackable Currency,Currency,released,undefined,currency_shard currency default,currency,currency,class,6,Currency:6
Altered Perception,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_league_divination divination_card default,card,card,class,0,
Alternating Sceptre,Sceptre,Sceptres,One Hand Mace,released,item,not_for_sale experimental_base sceptre one_hand_weapon onehand weapon default,weapon,weapon.sceptre,class,2,Rare:2
Alva's Memory,MemoryLine,Memories,Memory,released,memory_lines,memory_line_alva drops_in_maps_only default,,memoryline,class,0,
Amber Amulet,Amulet,Amulets,Amulet,released,item,amulet default,accessory,accessory.amulet,class,44,Rare:27 Unique:16 Normal:1
Amber Oil,StackableCurrency,Stackable Currency,Currency,released,undefined,mushrune currency default,currency,currency,class,5,Currency:5
Ambitious Obsession,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_league_divination divination_card default,card,card,class,2,DivinationCard:2
Ambush,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,2,Gem:2
Ambush Boots,Boots,Boots,Boots,released,item,dex_int_armour boots armour default,armour,armour.boots,class,2,Rare:2
Ambush Leaguestone,Leaguestone,Leaguestones,Leaguestone,released,leaguestone,ambush_leaguestone default,leaguestone,leaguestone,class,0,
Ambush Mitts,Gloves,Gloves,Gloves,released,item,dex_int_armour gloves armour default,armour,armour.gloves,class,11,Unique:9 Rare:1 SupporterFoil:1
Ambush Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content strongbox_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Ambush Scarab of Containment,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content strongbox_scarab mythic_scarab default,map,map.scarab,class + name rule,3,Normal:3
Ambush Scarab of Discernment,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content strongbox_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Ambush Scarab of Hidden Compartments,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content strongbox_scarab uncommon_scarab default,map,map.scarab,class + name rule,4,Normal:4
Ambush Scarab of Potency,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content strongbox_scarab uncommon_scarab default,map,map.scarab,class + name rule,4,Normal:4
Ambusher,Dagger,Daggers,Dagger,released,item,dagger attack_dagger one_hand_weapon onehand weapon default,weapon,weapon.basedagger,class,15,Unique:11 Rare:4
Amethyst Flask,UtilityFlask,Utility Flasks,Flask,released,flask,utility_flask flask default,flask,flask,class,161,Magic:78 Normal:71 Unique:12
Amethyst Ring,Ring,Rings,Ring,released,item,ring default,accessory,accessory.ring,class,129,Rare:84 Unique:41 Normal:3 Magic:1
Ammonite Glyph,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Amplifying Power Core,StackableCurrency,Stackable Currency,Currency,released,undefined,sentinel_power_core currency default,,currency,class,0,
An Audience With The King,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,1,Normal:1
Anarchic Spiritblade,One Hand Sword,One Hand Swords,One Hand Sword,released,item,not_for_sale experimental_base sword one_hand_weapon onehand weapon default,weapon,weapon.basesword,class,0,
Anarchy Leaguestone,Leaguestone,Leaguestones,Leaguestone,released,leaguestone,anarchy_leaguestone default,leaguestone,leaguestone,class,0,
Anarchy Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content anarchy_scarab common_scarab default,map,map.scarab,class + name rule,5,Normal:5
Anarchy Scarab of Gigantification,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content anarchy_scarab uncommon_scarab default,map,map.scarab,class + name rule,4,Normal:4
Anarchy Scarab of Partnership,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content anarchy_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Anarchy Scarab of the Exceptional,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content anarchy_scarab rare_scarab default,map,map.scarab,class + name rule,1,Normal:1
Anarchy's Price,DivinationCard,Divination Cards,Divination Card,released,undefined,weapon_divination unique_divination unique_weapon_divination unique_corrupted_divination corrupted_divination divination_card default,card,card,class,2,DivinationCard:2
Ancestral Blademaster,Active Skill Gem,Skill Gems,Skill Gem,unreleased,undefined,gem default,,gem.activegem,class,0,
Ancestral Call Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,12,Gem:12
Ancestral Club,One Hand Mace,One Hand Maces,One Hand Mace,released,item,mace one_hand_weapon onehand weapon default,weapon,weapon.basemace,class,2,Rare:2
Ancestral Cry,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,8,Gem:8
Ancestral Protector,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,0,
Ancestral Tattoo of Bloodlines,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Ancestral Warchief,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,0,
Ancient Apex Sentinel,SentinelDrone,Sentinels,Sentinel Drone,released,sentinel,sentinel_c all_sentinels sentinel_drone default,,,none,0,
Ancient City Map,Map,Maps,Map,released,area,mid_tier_map urban temple map default,,map,class,0,
Ancient Gauntlets,Gloves,Gloves,Gloves,released,item,str_armour gloves armour default,armour,armour.gloves,class,13,Rare:12 Unique:1
Ancient Greaves,Boots,Boots,Boots,released,item,str_armour boots armour default,armour,armour.boots,class,9,Unique:5 Rare:4
Ancient Mask,Helmet,Helmets,Helmet,released,item,dex_int_armour top_tier_base_item_type not_for_sale helmet armour default,armour,armour.helmet,class,0,
Ancient Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,high_tier_currency currency default,currency,currency,class,3,Currency:3
Ancient Pandemonium Sentinel,SentinelDrone,Sentinels,Sentinel Drone,released,sentinel,sentinel_b all_sentinels sentinel_drone default,,,none,0,
Ancient Reliquary Key,VaultKey,Vault Keys,Vault Key,released,undefined,default,map,map,class,0,
Ancient Seal,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Ancient Shard,StackableCurrency,Stackable Currency,Currency,released,undefined,currency_shard currency default,currency,currency,class,0,
Ancient Spirit Shield,Shield,Shields,Shield,released,item,int_armour focus shield armour default,armour,armour.shield,class,3,Unique:3
Ancient Stalker Sentinel,SentinelDrone,Sentinels,Sentinel Drone,released,sentinel,sentinel_a all_sentinels sentinel_drone default,,,none,0,
Ancient Sword,One Hand Sword,One Hand Swords,One Hand Sword,released,item,sword one_hand_weapon onehand weapon default,weapon,weapon.basesword,class,0,
Ancient Wombgift,BrequelFruit,Wombgifts,Wombgift,released,undefined,brequelfruit default,wombgift,wombgift,class,6,Currency:6
Angelic Kite Shield,Shield,Shields,Shield,released,item,str_int_armour str_int_shield shield armour default,armour,armour.shield,class,9,Rare:8 Magic:1
Anger,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,19,Gem:19
Animate Guardian,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,15,Gem:15
Animate Weapon,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,5,Gem:5
Ankh of Eternity,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Annihilation Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,level_capped_gem support_gem gem default,gem,gem.supportgem,class,0,
Annulment Shard,StackableCurrency,Stackable Currency,Currency,released,undefined,currency_shard currency default,currency,currency,class,3,Currency:3
Antique Gauntlets,Gloves,Gloves,Gloves,released,item,str_armour gloves armour default,armour,armour.gloves,class,3,Rare:3
Antique Greaves,Boots,Boots,Boots,released,item,str_armour boots armour default,armour,armour.boots,class,11,Unique:9 Rare:2
Antique Rapier,Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,released,item,rapier sword one_hand_weapon onehand weapon default,weapon,weapon.rapier,class,8,Unique:8
Ape Talisman,Amulet,Amulets,Amulet,released,item,talisman amulet default,accessory,accessory.amulet,class,0,
Apex Cleaver,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,not_for_sale experimental_base axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,0,
Apex Rapier,Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,released,item,rapier sword one_hand_weapon onehand weapon default,weapon,weapon.rapier,class,7,Rare:7
Apocalypse,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination unique_corrupted_divination jewellery_divination unique_jewellery_divination corrupted_divination divination_card default,card,card,class,1,DivinationCard:1
Apothecary's Gloves,Gloves,Gloves,Gloves,released,item,not_for_sale atlas_base_type glovesatlasstrint str_int_armour gloves armour default,armour,armour.gloves,class,12,Rare:9 Magic:3
Apprentice Cartographer's Seal,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Apprentice Gloves,Gloves,Gloves,Gloves,released,item,dex_armour not_for_sale gloves armour default,armour,armour.gloves,class,0,
Aquamarine Flask,UtilityFlask,Utility Flasks,Flask,released,flask,utility_flask flask default,flask,flask,class,75,Normal:38 Magic:37
Arachnid Nest Map,Map,Maps,Map,released,area,indoors_area cave not_for_sale old_map map default,,map,class,0,
Arachnid Tomb Map,Map,Maps,Map,released,area,mid_tier_map cave indoors_area map default,,map,class,0,
Arc,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,10,Gem:10
Arcade Map,Map,Maps,Map,released,area,urban not_for_sale old_map map default,,map,class,0,
