# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
8517868,attack_block_%_per_200_fire_hit_damage_taken_recently,reproduced,,1,ModItemExclusive,AttackBlockPerFireDamageTakenUnique__1,-1% Chance to Block Attack Damage for every 200 Fire Damage taken from Hits Recently,8517868,explicit,{0}% Chance to Block Attack Damage for every 200 Fire Damage taken from Hits Recently
9187492,melee_skill_gem_level_+,reproduced,,1,ModItemExclusive,GlobalIncreaseMeleeSkillGemLevelUnique__1,+(1-3) to Level of all Melee Skill Gems,9187492,explicit,{0} to Level of all Melee Skill Gems
9906535,graft_skill_lightning_damage_%_to_add_as_chaos,explained,stat group has no translation entry,3,ModGraft,GraftSuffixLightningGainAsChaos1,Skills used by this Graft Gain (16-24)% of Lightning Damage as Extra Chaos Damage,,explicit,
10224385,minion_maximum_all_elemental_resistances_%,reproduced,,3,ModExplicit,MinionMaxElementalResistance1,Minions have +(3-4)% to all maximum Elemental Resistances,10224385,explicit fractured,Minions have {0}% to all maximum Elemental Resistances
11106713,base_energy_shield_leech_from_spell_damage_permyriad,reproduced,,5,ModDelve,DelveArmourEnergyShieldLeechSpells_,0.3% of Spell Damage Leeched as Energy Shield,11106713,explicit implicit,{0}% of Spell Damage Leeched as Energy Shield
13172430,lightning_damage_%_to_add_as_cold_per_2%_shock_effect_on_enemy,reproduced,,2,ModItemExclusive,LightningAddedAsColdShockedEnemyUnique__1,Gain 1% of Lightning Damage as Extra Cold Damage per 2% Shock Effect on Enemy,13172430,explicit implicit,Gain {0}% of Lightning Damage as Extra Cold Damage per 2% Shock Effect on Enemy
13590525,base_number_of_sacred_wisps_allowed,reproduced,,1,ModItemExclusive,AdditionalSacredWispUnique__1,+1 to maximum number of Sacred Wisps / +1 to number of Sacred Wisps Summoned,13590525,explicit,{0} to maximum number of Sacred Wisps\n{0} to number of Sacred Wisps Summoned
13669281,local_display_socketed_gems_supported_by_x_hypothermia,reproduced,,6,ModExplicit,IncreasedChillEffectSupportedUber1,Socketed Gems are Supported by Level 16 Hypothermia,13669281,explicit fractured,Socketed Gems are Supported by Level {0} Hypothermia
15754647,additional_maximum_all_elemental_resistances_%_if_6_shaper_items,reproduced,,1,ModItemExclusive,MaximumElementalResistance6ShaperItemsUnique__1,+(1-2)% to all maximum Elemental Resistances if 6 Shaper Items are Equipped,15754647,explicit,{0}% to all maximum Elemental Resistances if 6 Shaper Items are Equipped
16552558,consecrate_on_block_%_chance_to_create,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,ConsecratedGroundOnBlockUniqueBodyInt8,,,not in capture,
16924183,raise_zombie_does_not_use_corpses,reproduced,,2,ModItemExclusive,ZombiesNeedNoCorpsesUnique__1,Raise Zombie does not require a corpse,16924183,explicit implicit,Raise Zombie does not require a corpse
17354819,melee_damage_+%_vs_burning_enemies,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AdditionalMeleeDamageToBurningEnemiesUniqueDagger6,100% increased Melee Damage against Ignited Enemies,,not in capture,
17526298,local_attacks_with_this_weapon_elemental_damage_+%,reproduced,,1,ModItemExclusive,ThisWeaponsWeaponElementalDamageUniqueWand6,Attacks with this Weapon have (100-115)% increased Elemental Damage,17526298,explicit,Attacks with this Weapon have {0}% increased Elemental Damage
17730902,local_left_ring_slot_fire_damage_taken_%_as_lightning,reproduced,,1,ModItemExclusive,ReflectedFireLightningDamageTakenConversionImplicitK5b,Left ring slot: 25% of Fire Damage from Hits taken as Lightning Damage,17730902,implicit,Left ring slot: {0}% of Fire Damage from Hits taken as Lightning Damage
18234720,local_intelligence_requirement_+%,reproduced,,2,ModItemExclusive,IncreasedIntelligenceRequirementsUniqueSceptre1,60% increased Intelligence Requirement,18234720,explicit,{0}% increased Intelligence Requirement
19313391,chance_to_apply_grasping_vines_on_tinctured_weapon_hit_%,explained,stat group has no translation entry,1,ModItemExclusive,TinctureGraspingVineOnWeaponHitUnique__1,(20-30)% chance to inflict a Grasping Vine on Melee Weapon Hit,,explicit,
19803471,additional_spell_block_%,reproduced,,15,ModExplicit,StaffSpellBlockPercentage1,+(8-9)% Chance to Block Spell Damage,19803471,crafted explicit fractured implicit scourge,{0}% Chance to Block Spell Damage
20157668,local_chance_to_bleed_on_hit_50%,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,CausesBleedingUniqueTwoHandAxe4,50% chance to cause Bleeding on Hit,,not in capture,
20251177,local_avoid_ignite_%_during_flask_effect,reproduced,,5,ModFlask,FlaskBuffAvoidIgnite1,(31-35)% chance to Avoid being Ignited during Effect,20251177,explicit fractured,{0}% chance to Avoid being Ignited during Effect
21824003,killed_monster_dropped_item_rarity_+%_on_crit,reproduced,,1,ModItemExclusive,KilledMonsterItemRarityOnCritUniqueRing11,(40-50)% increased Rarity of Items Dropped by Enemies killed with a Critical Strike,21824003,explicit,{0}% increased Rarity of Items Dropped by Enemies killed with a Critical Strike
23466649,gain_phasing_while_you_have_low_life,reproduced,,1,ModItemExclusive,PhasingOnLowLifeUnique__1,You have Phasing while on Low Life,23466649,explicit,You have Phasing while on Low Life
23814088,local_flask_energy_shield_recharge_not_delayed_by_damage_during_effect,reproduced,,1,ModItemExclusive,LocalFlaskEnergyShieldRechargeNotDelayedByDamageDuringEffectUnique_1,Energy Shield Recharge is not delayed by Damage during Effect,23814088,explicit,Energy Shield Recharge is not delayed by Damage during Effect
24977021,local_unique_jewel_fireball_radius_up_to_+%_at_longer_ranges_with_50_int_in_radius,reproduced,,1,ModItemExclusive,FireballThresholdJewel__1,"With at least 40 Intelligence in Radius, Fireball Projectiles gain Area as they travel farther, up to 50% increased Area of Effect",24977021,explicit,"With at least 40 Intelligence in Radius, Fireball Projectiles gain Area as they travel farther, up to {0}% increased Area of Effect"
26216403,blind_enemies_when_hit_%_chance,reproduced,,4,ModItemExclusive,BlindEnemiesWhenHitUber1__,20% chance to Blind Enemies when they Hit you,26216403,scourge,{0}% chance to Blind Enemies when they Hit you
26867112,local_attack_and_cast_speed_+%_if_item_corrupted,reproduced,,1,ModSynthesis,SynthesisImplicitAttackAndCastSpeedCorruptedItem1___,(5-7)% increased Attack and Cast Speed if Corrupted,26867112,implicit,{0}% increased Attack and Cast Speed if Corrupted
28299254,herald_of_thunder_bolt_frequency_+%,reproduced,,1,ModItemExclusive,HeraldOfThunderBoltFrequencyUnique__1,Herald of Thunder's Storms Hit Enemies with (30-50)% increased Frequency,28299254,explicit,Herald of Thunder's Storms Hit Enemies with {0}% increased Frequency
28821524,local_display_socketed_gems_supported_by_level_x_intensify,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,SupportedByIntensifyUnique__1,Socketed Gems are Supported by Level 10 Intensify,28821524 1792524915 1876637240,explicit,Socketed Gems are Supported by Level {0} Intensify
30642521,number_of_additional_curses_allowed,reproduced,,13,ModCorrupted,AdditionalCurseCorrupted,You can apply an additional Curse,30642521,crafted enchant explicit fractured implicit scourge,You can apply one fewer Curse
31336590,chance_to_gain_ramakos_embrace_%_on_kill,reproduced,,1,ModItemExclusive,RamakosEmbraceOnKillUnique__1,10% chance to Trigger Summon Spirit of Ahuana on Kill,31336590,explicit,{0}% chance to Trigger Summon Spirit of Ahuana on Kill
32859524,local_display_socketed_gems_get_curse_reflection,reproduced,,2,ModItemExclusive,SocketedCursesAreReflectedUniqueGlovesStrInt1,Hexes applied by Socketed Curse Skills are Reflected back to you,32859524,explicit implicit,Hexes applied by Socketed Curse Skills are Reflected back to you
33065250,chance_to_poison_on_melee_hit_%,reproduced,,1,ModItemExclusive,PoisonOnMeleeHitUnique__1,Melee Attacks have (20-40)% chance to Poison on Hit,33065250,explicit,Melee Attacks have {0}% chance to Poison on Hit
33348259,elemental_damage_%_to_add_as_chaos_per_shaper_item_equipped,reproduced,,1,ModItemExclusive,ElementalDamagePercentAddedAsChaosPerShaperItemUnique__1,Gain (3-5)% of Elemental Damage as Extra Chaos Damage per Shaper Item Equipped,33348259,explicit,Gain {0}% of Elemental Damage as Extra Chaos Damage per Shaper Item Equipped
34273389,grant_void_arrow_every_x_ms,reproduced,,1,ModItemExclusive,MaximumVoidArrowsUnique__1,Gain a Void Charge every second,34273389,explicit,Gain a Void Charge every second
35476451,damage_+%_per_5_of_your_lowest_attribute,reproduced,,1,ModItemExclusive,IncreasedDamagePerLowestAttributeUnique__1,1% increased Damage per 5 of your lowest Attribute,35476451,explicit,{0}% increased Damage per 5 of your lowest Attribute
35810390,global_critical_strike_mulitplier_+_per_green_socket_on_item,reproduced,,1,ModItemExclusive,CriticalStrikeMultiplierPerGreenSocketUnique_1,+(10-15)% to Global Critical Strike Multiplier per Green Socket,35810390,explicit,+{0}% to Global Critical Strike Multiplier per Green Socket
37078857,local_affliction_notable_fasting,reproduced,,1,ModJewelCluster,AfflictionNotableFasting,1 Added Passive Skill is Fasting,37078857,explicit fractured,1 Added Passive Skill is Fasting
38301299,fire_damage_resistance_%_when_on_low_life,reproduced,,1,ModItemExclusive,FireResistOnLowLifeUniqueShieldStrInt5,+25% to Fire Resistance while on Low Life,38301299,explicit,{0}% to Fire Resistance while on Low Life
38715141,summoned_raging_spirit_duration_+%,reproduced,,1,ModItemExclusive,RagingSpiritDurationUnique__1,Summon Raging Spirit has (20-30)% increased Duration,38715141,enchant explicit,Summon Raging Spirit has {0}% increased Duration
40907696,unaffected_by_ignite_if_cast_flammability_in_past_10_seconds,reproduced,,1,ModItemExclusive,FlammabilityUnaffectedByIgniteUnique__1,You are Unaffected by Ignite if you've cast Flammability in the past 10 seconds,40907696,explicit,You are Unaffected by Ignite if you've cast Flammability in the past 10 seconds
41178696,scorch_enemies_in_close_range_on_block,reproduced,,2,ModItemExclusive,ScorchOnEnemiesOnBlockUnique__1,Scorch Enemies in Close Range when you Block,41178696,explicit implicit,Scorch Enemies in Close Range when you Block
41860024,local_life_loss_%_to_prevent_during_flask_effect_to_lose_over_time,reproduced,,1,ModItemExclusive,LifeLossToPreventDuringFlaskEffectToLoseOverTimeUnique__1,"When Hit during effect, 25% of Life loss from Damage taken occurs over 4 seconds instead",41860024,explicit,"When Hit during effect, {0}% of Life loss from Damage taken occurs over 4 seconds instead"
42242677,avoid_fire_damage_%,reproduced,,12,ModDelve,DelveBodyArmourAvoidFire1_,(8-10)% chance to Avoid Fire Damage from Hits,42242677,explicit fractured implicit,{0}% chance to Avoid Fire Damage from Hits
42490373,enemies_you_ignite_take_chaos_damage_from_ignite_instead,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,EnemiesIgniteChaosDamageUnique__1,,,not in capture,
44182350,spell_minimum_added_fire_damage_while_holding_a_shield|spell_maximum_added_fire_damage_while_holding_a_shield,reproduced,,6,ModJewelAbyss,AbyssSpellAddedFireDamageWhileHoldingAShieldJewel1,(3-5) to (7-9) Added Spell Fire Damage while holding a Shield,44182350,explicit fractured,{0} to {1} Added Spell Fire Damage while holding a Shield
44571480,base_chance_to_freeze_%,explained,number not in the capture (recipe output the site lacks),62,ModEldritch,ChanceToFreezeEldritchImplicit1,5% chance to Freeze,,not in capture,
44571480,cold_damage_+%,explained,number not in the capture (recipe output the site lacks),2,ModVeiled,JunMasterVeiledColdDamageAndBaseChanceToFreeze1h,(21-23)% chance to Freeze,,not in capture,
44972811,life_regeneration_rate_+%,reproduced,,34,ModEldritch,LifeRegenerationRateEldritchImplicit1,7% increased Life Regeneration rate,44972811,crafted explicit fractured implicit scourge,{0}% increased Life Regeneration rate
45548764,enemy_life_leech_from_fire_damage_permyriad,reproduced,,2,ModDelve,FireDamageLifeLeechDelveInverted,0.4% of Fire Damage Leeched by Enemy as Life,45548764,explicit,{0}% of Fire Damage Leeched by Enemy as Life
45589825,purity_of_lightning_aura_effect_+%,reproduced,,18,ModEldritch,PurityOfLightningEffectEldritchImplicit1,Purity of Lightning has (19-21)% increased Aura Effect,45589825,implicit,Purity of Lightning has {0}% increased Aura Effect
47271484,corrupted_gem_experience_gain_+%,reproduced,,1,ModItemExclusive,IncreasedCorruptedGemExperienceUniqueCorruptedJewel9,10% increased Experience Gain for Corrupted Gems,47271484,explicit,{0}% increased Experience Gain for Corrupted Gems
47954913,critical_strike_chance_against_enemies_on_full_life_+%,reproduced,,3,ModItemExclusive,CriticalChanceAgainstEnemiesOnFullLifeUnique__1,100% increased Critical Strike Chance against Enemies that are on Full Life,47954913,explicit,{0}% increased Critical Strike Chance against Enemies that are on Full Life
48859060,local_display_supported_by_level_x_awakened_spell_echo,reproduced,,1,ModItemExclusive,HungryLoopSupportedByAwakenedSpellEcho__,Socketed Gems are Supported by Level 5 Awakened Spell Echo,48859060,explicit,Socketed Gems are Supported by Level {0} Awakened Spell Echo
49017695,local_display_socketed_gems_have_iron_will,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,DisplaySocketedGemsSupportedByIronWillUniqueOneHandMace3,Socketed Gems have Iron Will,,not in capture,
49183689,extinguish_on_hit_%_chance,reproduced,,18,ModEldritch,ExtinguishOnHitEldritchImplicit1,15% chance to Extinguish Enemies on Hit,49183689,implicit,{0}% chance to Extinguish Enemies on Hit
50129423,local_affliction_notable_heavy_trauma,reproduced,,1,ModJewelCluster,AfflictionNotableExploitWeakness_,1 Added Passive Skill is Exploit Weakness,50129423,explicit fractured,1 Added Passive Skill is Exploit Weakness
50381303,celestial_footprints_from_item,reproduced,,1,ModItemExclusive,CelestialFootprintsUnique__1_,Celestial Footprints,50381303,explicit,Celestial Footprints
51994685,flask_life_recovery_rate_+%,reproduced,,19,ModExplicit,BeltFlaskLifeRecoveryRate1,(5-10)% increased Flask Life Recovery rate,51994685,crafted explicit fractured scourge,{0}% increased Flask Life Recovery rate
52068049,local_can_be_anointed,reproduced,,1,ModItemExclusive,BeltEnchantImplicit,Can be Anointed,52068049,implicit,Can be Anointed
52197415,local_display_socketed_gems_supported_by_level_x_returning_projectiles,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,HungryLoopSupportedByReturningProjectiles,Socketed Gems are Supported by Level 20 Returning Projectiles,52197415 1549219417,explicit,Socketed Gems are Supported by Level {0} Returning Projectiles
52953650,local_display_grants_level_X_envy,reproduced,,5,ModExplicit,GrantsEnvyAuraUber1,Grants Level 15 Envy Skill,52953650,enchant explicit fractured,Grants Level {0} Envy Skill
53045048,local_base_evasion_rating,reproduced,,86,ModExplicit,LocalIncreasedEvasionRating1,+(6-12) to Evasion Rating,53045048,crafted explicit fractured implicit scourge,{0} to Evasion Rating
54812069,damage_removed_from_spectres_before_life_or_es_%,reproduced,,1,ModItemExclusive,DamageRemovedFromSpectresUnique__1,10% of Damage from Hits is taken from your Raised Spectres' Life before you,54812069,explicit,{0}% of Damage from Hits is taken from your Raised Spectres' Life before you
55876295,local_life_leech_from_physical_damage_permyriad,reproduced,,42,ModExplicit,LifeLeechPermyriadLocal1,(0.2-0.4)% of Physical Attack Damage Leeched as Life,55876295,crafted enchant explicit fractured implicit,{0}% of Physical Attack Damage Leeched as Life
56225773,golem_attack_and_cast_speed_+%,reproduced,,1,ModItemExclusive,GolemAttackAndCastSpeedUnique__1,Golems have (16-20)% increased Attack and Cast Speed,56225773,explicit,Golems have {0}% increased Attack and Cast Speed
56401364,main_hand_attack_speed_+%_final,reproduced,,1,ModItemExclusive,WingsOfEntropyMainHandAttackSpeedFinalUnique__1_,(50-100)% more Main Hand attack speed,56401364,explicit,{0}% more Main Hand attack speed
56473917,maximum_number_of_X_minion_type_doubled,reproduced,,1,ModItemExclusive,DoubleMinionLimitsUnique_1,Maximum number of Animated Weapons is Doubled / Cannot have Minions other than Animated Weapons,56473917,explicit,Maximum number of Animated Weapons is Doubled\nCannot have Minions other than Animated Weapons
56720831,local_jewel_expansion_keystone_secrets_of_suffering,reproduced,,1,ModItemExclusive,JewelExpansionSecretsOfSuffering,Adds Secrets of Suffering,56720831,explicit,Adds Secrets of Suffering
56919069,enfeeble_no_reservation,reproduced,,1,ModItemExclusive,EnfeebleReservationCostUnique__1,Enfeeble has no Reservation if Cast as an Aura,56919069,explicit,Enfeeble has no Reservation if Cast as an Aura
57434274,map_experience_gain_+%,reproduced,,1,ModDelve,DelveMapMonsterPacksVaalMapWorlds1,,57434274,enchant explicit,{0}% increased Experience gain
59547568,melee_movement_skill_chance_to_fortify_on_hit_%,reproduced,,1,ModExplicit,MovementSkillsFortifyOnHitChanceUber1,Hits with Melee Movement Skills have (30-50)% chance to Fortify,59547568,explicit fractured,Hits with Melee Movement Skills have {0}% chance to Fortify
60263468,number_of_additional_remote_mines_allowed,reproduced,,1,ModScourge,HellscapeDownsideAdditionalMines1_,Can have 5 fewer Remote Mines placed at a time,60263468,scourge,Can have up to {0} additional Remote Mine placed at a time
63111803,local_unique_jewel_elemental_hit_cannot_roll_fire_damage_with_40_int_+_dex_in_radius,reproduced,,1,ModItemExclusive,ElementalHitDisableFireUniqueJewel_1,"With 40 total Intelligence and Dexterity in Radius, Prismatic Skills cannot choose Fire",63111803,explicit,"With 40 total Intelligence and Dexterity in Radius, Prismatic Skills cannot choose Fire"
63607615,attack_damage_+%_per_level,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AttackDamageIncreasedPerLevelUniqueSceptre8,1% increased Attack Damage per Level,,not in capture,
64726306,local_ring_disable_other_ring,reproduced,,2,ModFoulborn,MutatedUniqueRing16DisablesOtherRingSlot,Can't use other Rings,64726306,explicit,Can't use other Rings
64913248,elemental_damage_+%_per_missing_lightning_cold_fire_resistance,reproduced,,1,ModItemExclusive,ElementalDamagePerMissingResistanceUnique_1,"(10-15)% increased Elemental Damage per 1% Missing / Fire, Cold, or Lightning Resistance, up to a maximum of 450%",64913248,explicit,"{0}% increased Elemental Damage per 1% Missing\nFire, Cold, or Lightning Resistance, up to a maximum of 450%"
66303477,minimum_frenzy_power_endurance_charges,reproduced,,2,ModItemExclusive,UniqueSpecialCorruptionAllMinCharges,"+1 to Minimum Endurance, Frenzy and Power Charges",66303477,enchant implicit,"{0} to Minimum Endurance, Frenzy and Power Charges"
67132951,chilled_while_bleeding,reproduced,,1,ModItemExclusive,ChilledWhileBleedingUnique__1_,You are Chilled while you are Bleeding,67132951,explicit,You are Chilled while you are Bleeding
67169579,chaos_skill_gem_level_+,reproduced,,2,ModExplicit,GlobalChaosGemLevel1,+1 to Level of all Chaos Skill Gems,67169579,explicit fractured,{0} to Level of all Chaos Skill Gems
67280387,maximum_life_%_to_add_as_maximum_energy_shield,reproduced,,4,ModItemExclusive,MaximumEnergyShieldAsPercentageOfLifeUnique__1,Gain (4-6)% of Maximum Life as Extra Maximum Energy Shield,67280387,crafted explicit fractured implicit,Gain {0}% of Maximum Life as Extra Maximum Energy Shield
67637087,damage_taken_+%_if_not_hit_recently_final,reproduced,,1,ModItemExclusive,ReducedDamageIfNotHitRecentlyUnique__1,35% less Damage taken if you have not been Hit Recently,67637087,explicit,{0}% more Damage taken if you have not been Hit Recently
68673913,minimum_added_fire_damage_to_attacks_per_10_strength|maximum_added_fire_damage_to_attacks_per_10_strength,reproduced,,2,ModExplicit,RecombinatorSpecialFireDamageToAttacksPerStrength,Adds 2 to 4 Fire Damage to Attacks per 10 Strength,68673913,explicit fractured,Adds {0} to {1} Fire Damage to Attacks per 10 Strength
69078820,local_affliction_notable_wound_aggravation,reproduced,,1,ModJewelCluster,AfflictionNotableWoundAggravation____,1 Added Passive Skill is Wound Aggravation,69078820,explicit fractured,1 Added Passive Skill is Wound Aggravation
69898010,attack_minimum_added_physical_damage_with_staves|attack_maximum_added_physical_damage_with_staves,reproduced,,5,ModJewelAbyss,AbyssAddedPhysicalDamageWithStavesJewel1,2 to 3 Added Physical Damage with Staff Attacks,69898010,explicit fractured,{0} to {1} Added Physical Damage with Staff Attacks
70766949,maximum_life_%_to_add_as_maximum_energy_shield_with_no_corrupted_equipped_items,reproduced,,1,ModFoulborn,MutatedUniqueHelmStrInt7MaximumEnergyShieldAsPercentageOfLifeWithNoCorruptItems,Gain (8-12)% of Maximum Life as Extra Maximum Energy Shield if no Equipped Items are Corrupted,70766949,explicit,Gain {0}% of Maximum Life as Extra Maximum Energy Shield if no Equipped Items are Corrupted
72129119,local_affliction_notable_haemorrhage,reproduced,,1,ModJewelCluster,AfflictionNotableHaemorrhage,1 Added Passive Skill is Haemorrhage,72129119,explicit fractured,1 Added Passive Skill is Haemorrhage
73272763,mana_cost_+%_when_on_low_life,reproduced,,1,ModItemExclusive,ReducedManaCostOnLowLifeUniqueHelmetStrInt1,20% reduced Mana Cost of Skills when on Low Life,73272763,explicit,{0}% increased Mana Cost of Skills when on Low Life
73569783,maximum_rage_is_halved,reproduced,,1,ModItemExclusive,MaximumRageHalvedUnique_1,Maximum Rage is Halved,73569783,explicit,Maximum Rage is Halved
74338099,number_of_additional_projectiles,reproduced,,10,ModCorrupted,V2AdditionalProjectilesCorrupted,Skills fire an additional Projectile,74338099,enchant explicit fractured implicit,Skills fire an additional Projectile
74462130,local_flask_life_recovery_from_flasks_also_recovers_energy_shield,reproduced,,2,ModItemExclusive,FlaskZealotsOathUnique__1,Life Recovery from Flasks also applies to Energy Shield during Effect,74462130,explicit,Life Recovery from Flasks also applies to Energy Shield during Effect
74492293,local_pearl_random_support_gem_1_slot_index,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,UniquePearlSupportOne,,,not in capture,
76615773,graft_skill_projectile_speed_+%,explained,stat group has no translation entry,5,ModGraft,GraftSuffixProjectileSpeed1,Skills used by this Graft have (8-12)% increased Projectile Speed,,explicit,
76848920,elemental_damage_resistance_+%,reproduced,,3,ModItemExclusive,IncreasedElementalResistancesUnique__1,(18-22)% increased Elemental Resistances,76848920,explicit implicit,{0}% increased Elemental Resistances
77045106,local_affliction_notable_ancestral_inspiration,reproduced,,1,ModJewelCluster,AfflictionNotableAncestralInspiration__,1 Added Passive Skill is Ancestral Inspiration,77045106,explicit fractured,1 Added Passive Skill is Ancestral Inspiration
78985352,chance_to_intimidate_on_hit_%,reproduced,export text join ambiguous; the hash picks one,23,ModEldritch,ChanceToIntimidateOnHitEldritchImplicit1,15% chance to Intimidate Enemies for 4 seconds on Hit,78985352 2089652545,explicit fractured implicit scourge,{0}% chance to Intimidate Enemies for 4 seconds on Hit
80079005,base_life_leech_from_lightning_damage_permyriad,reproduced,export text join ambiguous; the hash picks one,18,ModCorrupted,LightningDamageLifeLeechPermyriadCorrupted,0.2% of Lightning Damage Leeched as Life,80079005 2696663331,crafted explicit fractured implicit scourge,{0}% of Lightning Damage Leeched as Life
80764074,local_flask_ward_does_not_break_during_effect,reproduced,,1,ModItemExclusive,FlaskWardUnbreakableDuringEffectUnique__1,Ward does not Break during Effect,80764074,explicit,Ward does not Break during Effect
82392902,damage_vs_enemies_on_low_life_per_power_charge_+%,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,IncreasedDamageVsLowLifePerPowerChargeUniqueGlovesStrDex6,2% increased Damage per Power Charge with Hits against Enemies on Low Life,,not in capture,
83050999,sword_damage_+%,reproduced,,1,ModJewel,SwordDamageJewel,(14-16)% increased Damage with Swords,83050999,explicit fractured,{0}% increased Damage with Swords
85122299,local_display_socketed_gems_get_item_quantity_+%,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,SocketedGemsGetIncreasedItemQuantityUniqueShieldInt4,Enemies slain by Socketed Gems drop 10% increased item quantity,,not in capture,
85576425,zero_elemental_resistance,reproduced,,2,ModItemExclusive,SetElementalResistancesUniqueHelmetStrInt4,Elemental Resistances are Zero,85576425,explicit implicit,Elemental Resistances are Zero
86000920,your_movement_skills_are_disabled,reproduced,,1,ModScourge,HellscapeDownsideMovementSkillsAreDisabled1_,Your Movement Skills are Disabled,86000920,scourge,Your Movement Skills are Disabled
86516932,poison_duration_+%_per_poison_applied_recently,reproduced,,2,ModJewelCharm,AnimalCharmPoisonDurationPerPoisonAppliedRecently1,"(1-2)% increased Poison Duration for each Poison you have inflicted Recently, up / to a maximum of 100%",86516932,explicit,"{0}% increased Poison Duration for each Poison you have inflicted Recently, up\nto a maximum of 100%"
87098247,attack_minimum_added_fire_damage_with_wand|attack_maximum_added_fire_damage_with_wand,reproduced,,6,ModJewelAbyss,AbyssAddedFireDamageWithWandsJewel1,(5-6) to (11-12) Added Fire Damage with Wand Attacks,87098247,explicit fractured,{0} to {1} Added Fire Damage with Wand Attacks
88019169,local_unique_hungry_loop_number_of_gems_to_consume,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,HungryLoopSupportedByHallow,Socketed Gems are Supported by Level 20 Hallow,,not in capture,
88120117,local_display_grants_level_X_penance_mark,reproduced,,1,ModItemExclusive,RitualRingPenanceMark,Grants level 20 Penance Mark,88120117,explicit,Grants level {0} Penance Mark
