# generated by scripts/base-defences.py from poe1/data/base_items.json @ e2bd511a
metadata_id,name,item_class,release_state,domain,armour_min,armour_max,evasion_min,evasion_max,energy_shield_min,energy_shield_max,ward_min,ward_max,block
Metadata/Items/Armours/BodyArmours/BodyStrInt2,Chainmail Tunic,Body Armour,released,item,48,63,,,13,17,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt1,Chainmail Vest,Body Armour,released,item,27,38,,,9,13,,,
Metadata/Items/Armours/Shields/ShieldStrInt11,Champion Kite Shield,Shield,released,item,215,247,,,44,50,,,26
Metadata/Items/Armours/BodyArmours/BodyStr2,Chestplate,Body Armour,released,item,68,89,,,,,,,
Metadata/Items/Armours/Boots/BootsStrDex9,Chimerascale Boots,Boots,released,item,176,203,176,203,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex9,Chimerascale Gauntlets,Gloves,released,item,176,203,176,203,,,,,
Metadata/Items/Armours/Shields/ShieldInt10,Chiming Spirit Shield,Shield,released,item,,,,,42,48,,,23
Metadata/Items/Armours/Boots/BootsDexInt3,Clasped Boots,Boots,released,item,,,50,57,11,12,,,
Metadata/Items/Armours/Gloves/GlovesDexInt3,Clasped Mitts,Gloves,released,item,,,57,65,12,14,,,
Metadata/Items/Armours/Helmets/HelmetStr4,Close Helmet,Helmet,released,item,130,150,,,,,,,
Metadata/Items/Armours/Boots/BootsDexRitual1,Cloudwhisper Boots,Boots,released,item,,,68,78,,,,,
Metadata/Items/Armours/Shields/ShieldDexE3,Cold-attuned Buckler,Shield,released,item,,,206,237,,,,,28
Metadata/Items/Armours/Shields/ShieldStr16,Colossal Tower Shield,Shield,released,item,522,601,,,,,,,23
Metadata/Items/Armours/BodyArmours/BodyStr11,Colosseum Plate,Body Armour,released,item,491,589,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex11,Commander's Brigandine,Body Armour,released,item,275,325,275,325,,,,,
Metadata/Items/Armours/Shields/ShieldDexInt7,Compound Spiked Shield,Shield,released,item,,,122,144,25,30,,,25
Metadata/Items/Armours/Helmets/HelmetStr2,Cone Helmet,Helmet,released,item,38,50,,,,,,,
Metadata/Items/Armours/Boots/BootsInt7,Conjurer Boots,Boots,released,item,,,,,36,42,,,
Metadata/Items/Armours/Gloves/GlovesInt7,Conjurer Gloves,Gloves,released,item,,,,,37,44,,,
Metadata/Items/Armours/BodyArmours/BodyInt10,Conjurer's Vestment,Body Armour,released,item,,,,,94,105,,,
Metadata/Items/Armours/Helmets/HelmetStr13,Conqueror's Helmet,Helmet,released,item,501,576,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt14,Conquest Chainmail,Body Armour,released,item,387,445,,,79,91,,,
Metadata/Items/Armours/Helmets/HelmetStrDex12,Conquest Helmet,Helmet,released,item,308,355,308,355,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex20,Conquest Lamellar,Body Armour,released,item,723,831,723,831,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr3,Copper Plate,Body Armour,released,item,176,221,,,,,,,
Metadata/Items/Armours/Shields/ShieldStr5,Copper Tower Shield,Shield,released,item,151,173,,,,,,,24
Metadata/Items/Armours/BodyArmours/BodyDex11,Coronal Leather,Body Armour,released,item,,,491,579,,,,,
Metadata/Items/Armours/Shields/ShieldStr2,Corroded Tower Shield,Shield,released,item,36,47,,,,,,,23
Metadata/Items/Armours/Shields/ShieldDex9,Corrugated Buckler,Shield,released,item,,,227,272,,,,,27
Metadata/Items/Armours/Shields/ShieldStr12,Crested Tower Shield,Shield,released,item,293,337,,,,,,,25
Metadata/Items/Armours/BodyArmours/BodyDexInt10,Crimson Raiment,Body Armour,released,item,,,264,304,55,63,,,
Metadata/Items/Armours/Shields/ShieldStrDex8,Crimson Round Shield,Shield,released,item,155,178,155,178,,,,,26
Metadata/Items/Armours/Boots/BootsStrInt8,Crusader Boots,Boots,released,item,121,139,,,25,28,,,
Metadata/Items/Armours/Shields/ShieldDex15,Crusader Buckler,Shield,released,item,,,385,442,,,,,26
Metadata/Items/Armours/BodyArmours/BodyStrInt9,Crusader Chainmail,Body Armour,released,item,237,266,,,50,55,,,
Metadata/Items/Armours/Gloves/GlovesStrInt8,Crusader Gloves,Gloves,released,item,121,139,,,25,28,,,
Metadata/Items/Armours/Helmets/HelmetStrInt4,Crusader Helmet,Helmet,released,item,85,95,,,18,20,,,
Metadata/Items/Armours/BodyArmours/BodyStr14,Crusader Plate,Body Armour,released,item,601,691,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt12,Crypt Armour,Body Armour,released,item,,,308,369,63,76,,,
Metadata/Items/Armours/BodyArmours/BodyDex12,Cutthroat's Garb,Body Armour,released,item,,,530,594,,,,,
Metadata/Items/Armours/Boots/BootsStrRitual2,Darksteel Treads,Boots,released,item,164,189,,,,,,,
Metadata/Items/Armours/Boots/BootsDex3,Deerskin Boots,Boots,released,item,,,74,92,,,,,
Metadata/Items/Armours/Gloves/GlovesDex3,Deerskin Gloves,Gloves,released,item,,,71,88,,,,,
Metadata/Items/Armours/Helmets/HelmetDexInt11,Deicide Mask,Helmet,released,item,,,190,219,47,54,,,
Metadata/Items/Armours/Helmets/HelmetStrIntRitual2,Demon Crown,Helmet,released,item,122,140,,,25,29,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex14,Desert Brigandine,Body Armour,released,item,376,451,376,451,,,,,
Metadata/Items/Armours/BodyArmours/BodyDex14,Destiny Leather,Body Armour,released,item,,,601,721,,,,,
Metadata/Items/Armours/BodyArmours/BodyInt12,Destroyer Regalia,Body Armour,released,item,,,,,109,129,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt12,Devout Chainmail,Body Armour,released,item,302,363,,,62,74,,,
Metadata/Items/Armours/Helmets/HelmetDex11,Dire Pelt,Helmet,released,item,,,431,496,,,,,
Metadata/Items/Armours/Helmets/HelmetStrInt13,Divine Crown,Helmet,released,item,355,409,,,71,82,,,
Metadata/Items/Armours/Boots/BootsStrDex8,Dragonscale Boots,Boots,released,item,121,139,121,139,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex13,Dragonscale Doublet,Body Armour,released,item,313,351,313,351,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex8,Dragonscale Gauntlets,Gloves,released,item,121,139,121,139,,,,,
Metadata/Items/Armours/Boots/BootsIntRitual3,Dreamquest Slippers,Boots,released,item,,,,,50,57,,,
Metadata/Items/Armours/Shields/ShieldDexInt2,Driftwood Spiked Shield,Shield,released,item,,,46,60,11,15,,,24
Metadata/Items/Armours/Boots/BootsIntRitual1,Duskwalk Slippers,Boots,released,item,,,,,15,18,,,
Metadata/Items/Armours/Shields/ShieldStr14,Ebony Tower Shield,Shield,released,item,357,411,,,,,,,25
Metadata/Items/Armours/Boots/BootsDex5,Eelskin Boots,Boots,released,item,,,129,148,,,,,
Metadata/Items/Armours/Gloves/GlovesDex5,Eelskin Gloves,Gloves,released,item,,,125,148,,,,,
Metadata/Items/Armours/BodyArmours/BodyDex8,Eelskin Tunic,Body Armour,released,item,,,373,429,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt15,Elegant Ringmail,Body Armour,released,item,377,433,,,92,105,,,
Metadata/Items/Armours/Shields/ShieldStrDex13,Elegant Round Shield,Shield,released,item,148,170,148,170,,,,,25
Metadata/Items/Armours/Gloves/GlovesInt4,Embroidered Gloves,Gloves,released,item,,,,,25,28,,,
Metadata/Items/Armours/Shields/ShieldDex8,Enameled Buckler,Shield,released,item,,,311,349,,,,,24
Metadata/Items/Armours/Shields/ShieldDexE1,Endothermic Buckler,Shield,released,item,,,75,86,,,,,24
Metadata/Items/Armours/Shields/ShieldStrInt6,Etched Kite Shield,Shield,released,item,127,142,,,27,30,,,24
Metadata/Items/Armours/Helmets/HelmetStr11,Eternal Burgonet,Helmet,released,item,373,429,,,,,,,
Metadata/Items/Armours/Shields/ShieldIntE1,Exhausting Spirit Shield,Shield,released,item,,,,,16,19,,,22
Metadata/Items/Armours/Shields/ShieldStrE1,Exothermic Tower Shield,Shield,released,item,87,100,,,,,,,25
Metadata/Items/Armours/BodyArmours/BodyDex15,Exquisite Leather,Body Armour,released,item,,,704,810,,,,,
Metadata/Items/Armours/Helmets/HelmetStr9,Ezomyte Burgonet,Helmet,released,item,346,381,,,,,,,
Metadata/Items/Armours/Shields/ShieldDexInt11,Ezomyte Spiked Shield,Shield,released,item,,,181,209,37,43,,,25
Metadata/Items/Armours/Shields/ShieldStr15,Ezomyte Tower Shield,Shield,released,item,412,474,,,,,,,24
Metadata/Items/Armours/Helmets/HelmetStrInt11,Faithful Helmet,Helmet,released,item,268,308,,,54,62,,,
Metadata/Items/Armours/Helmets/HelmetStrDex6,Fencer Helm,Helmet,released,item,117,134,117,134,,,,,
Metadata/Items/Armours/Helmets/HelmetDexInt4,Festival Mask,Helmet,released,item,,,77,88,17,19,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex7,Field Lamellar,Body Armour,released,item,194,223,194,223,,,,,
Metadata/Items/Armours/Gloves/GlovesAtlasInt,Fingerless Silk Gloves,Gloves,released,item,,,,,45,52,,,
Metadata/Items/Armours/Shields/ShieldStrDex2,Fir Round Shield,Shield,released,item,29,37,29,37,,,,,24
Metadata/Items/Armours/Gloves/GlovesStrDex1,Fishscale Gauntlets,Gloves,released,item,9,12,9,12,,,,,
Metadata/Items/Armours/Helmets/HelmetStrDex8,Fluted Bascinet,Helmet,released,item,160,189,160,189,,,,,
Metadata/Items/Armours/Shields/ShieldInt13,Fossilised Spirit Shield,Shield,released,item,,,,,49,55,,,22
Metadata/Items/Armours/BodyArmours/BodyDex9,Frontier Leather,Body Armour,released,item,,,412,495,,,,,
Metadata/Items/Armours/Boots/BootsAtlas4,Fugitive Boots,Boots,released,item,,,112,129,32,37,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt6,Full Chainmail,Body Armour,released,item,178,199,,,38,43,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex15,Full Dragonscale,Body Armour,released,item,470,541,373,429,,,,,
Metadata/Items/Armours/BodyArmours/BodyDex5,Full Leather,Body Armour,released,item,,,284,327,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr5,Full Plate,Body Armour,released,item,284,319,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt5,Full Ringmail,Body Armour,released,item,156,180,,,34,39,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex5,Full Scale Armour,Body Armour,released,item,156,180,156,180,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex10,Full Wyrmscale,Body Armour,released,item,254,292,254,292,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex18,Full Wyvernscale,Body Armour,released,item,545,627,545,627,,,,,
Metadata/Items/Armours/Helmets/HelmetDexIntRitual1,Gale Crown,Helmet,released,item,,,42,49,10,12,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex16,General's Brigandine,Body Armour,released,item,415,465,415,465,,,,,
Metadata/Items/Armours/Helmets/HelmetStr12,General's Helmet,Helmet,released,item,431,496,,,,,,,
Metadata/Items/Armours/Helmets/HelmetStr14,Giantslayer Helmet,Helmet,released,item,582,669,,,,,,,
Metadata/Items/Armours/Shields/ShieldDex6,Gilded Buckler,Shield,released,item,,,225,259,,,,,25
Metadata/Items/Armours/Helmets/HelmetStrDex4,Gilded Sallet,Helmet,released,item,90,97,90,97,,,,,
Metadata/Items/Armours/Shields/ShieldStr11,Girded Tower Shield,Shield,released,item,397,437,,,,,,,23
Metadata/Items/Armours/Helmets/HelmetStr5,Gladiator Helmet,Helmet,released,item,174,195,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr16,Gladiator Plate,Body Armour,released,item,738,848,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyDex10,Glorious Leather,Body Armour,released,item,,,451,519,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr17,Glorious Plate,Body Armour,released,item,776,892,,,,,,,
Metadata/Items/Armours/Boots/BootsDex2,Goathide Boots,Boots,released,item,,,42,54,,,,,
Metadata/Items/Armours/Shields/ShieldDex1,Goathide Buckler,Shield,released,item,,,14,20,,,,,25
Metadata/Items/Armours/Gloves/GlovesDex2,Goathide Gloves,Gloves,released,item,,,32,42,,,,,
Metadata/Items/Armours/Shields/ShieldDex11,Golden Buckler,Shield,released,item,,,354,407,,,,,25
Metadata/Items/Armours/Shields/ShieldDemigods,Golden Flame,Shield,unique_only,item,,,,,,,,,20
Metadata/Items/Armours/BodyArmours/BodyDemigods1,Golden Mantle,Body Armour,unique_only,item,75,86,75,86,17,19,,,
Metadata/Items/Armours/Helmets/HelmetDexInt5,Golden Mask,Helmet,released,item,,,96,103,20,22,,,
Metadata/Items/Armours/BodyArmours/BodyStr13,Golden Plate,Body Armour,released,item,559,643,,,,,,,
Metadata/Items/Armours/Gloves/GlovesStr7,Goliath Gauntlets,Gloves,released,item,174,200,,,,,,,
Metadata/Items/Armours/Boots/BootsStr7,Goliath Greaves,Boots,released,item,177,209,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt18,Grand Ringmail,Body Armour,released,item,545,627,,,110,127,,,
Metadata/Items/Armours/BodyArmours/BodyStrDexInt2,Grasping Mail,Body Armour,released,item,217,250,217,250,44,51,,,
Metadata/Items/Armours/Helmets/HelmetStrInt7,Great Crown,Helmet,released,item,143,161,,,29,33,,,
Metadata/Items/Armours/Helmets/HelmetStrInt3,Great Helmet,Helmet,released,item,61,76,,,14,17,,,
Metadata/Items/Armours/Gloves/GlovesAtlasDex,Gripped Gloves,Gloves,released,item,,,220,253,,,,,
Metadata/Items/Armours/Helmets/HelmetDex12,Grizzly Pelt,Helmet,released,item,,,501,576,,,,,
Metadata/Items/Armours/Gloves/GlovesStrRitual2,Guarding Gauntlets,Gloves,released,item,132,152,,,,,,,
Metadata/Items/Armours/Shields/ShieldDex4,Hammered Buckler,Shield,released,item,,,116,139,,,,,27
Metadata/Items/Armours/Helmets/HelmetDexInt9,Harlequin Mask,Helmet,released,item,,,157,185,32,38,,,
Metadata/Items/Armours/Shields/ShieldInt15,Harmonic Spirit Shield,Shield,released,item,,,,,58,66,,,23
Metadata/Items/Armours/Boots/BootsDex10,Harpyskin Boots,Boots,released,item,,,307,353,,,,,
Metadata/Items/Armours/Gloves/GlovesDex10,Harpyskin Gloves,Gloves,released,item,,,307,353,,,,,
Metadata/Items/Armours/Helmets/HelmetStrDex13,Haunted Bascinet,Helmet,released,item,355,409,355,409,,,,,
Metadata/Items/Armours/Shields/ShieldStrE3,Heat-attuned Tower Shield,Shield,released,item,220,253,,,,,,,29
Metadata/Items/Armours/BodyArmours/BodyStrInt7,Holy Chainmail,Body Armour,released,item,194,233,,,41,49,,,
Metadata/Items/Armours/Helmets/HelmetInt11,Hubris Circlet,Helmet,released,item,,,,,80,92,,,
Metadata/Items/Armours/Helmets/HelmetDex5,Hunter Hood,Helmet,released,item,,,203,227,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex9,Hussar Brigandine,Body Armour,released,item,232,278,232,278,,,,,
Metadata/Items/Armours/Boots/BootsStrDex7,Hydrascale Boots,Boots,released,item,106,122,106,122,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex7,Hydrascale Gauntlets,Gloves,released,item,106,122,106,122,,,,,
Metadata/Items/Armours/Helmets/HelmetStrIntRitual1,Imp Crown,Helmet,released,item,42,49,,,10,12,,,
Metadata/Items/Armours/Shields/ShieldDex16,Imperial Buckler,Shield,released,item,,,440,506,,,,,25
Metadata/Items/Armours/BodyArmours/BodyStrDex4,Infantry Brigandine,Body Armour,released,item,119,142,119,142,,,,,
Metadata/Items/Armours/Boots/BootsDexInt10,Infiltrator Boots,Boots,released,item,,,176,203,35,41,,,
Metadata/Items/Armours/Gloves/GlovesDexInt9,Infiltrator Mitts,Gloves,released,item,,,176,203,35,41,,,
Metadata/Items/Armours/Helmets/HelmetInt2,Iron Circlet,Helmet,released,item,,,,,12,15,,,
Metadata/Items/Armours/Gloves/GlovesStr1,Iron Gauntlets,Gloves,released,item,6,9,,,,,,,
Metadata/Items/Armours/Boots/BootsStr1,Iron Greaves,Boots,released,item,6,9,,,,,,,
Metadata/Items/Armours/Helmets/HelmetStr1,Iron Hat,Helmet,released,item,9,13,,,,,,,
Metadata/Items/Armours/Helmets/HelmetDexInt3,Iron Mask,Helmet,released,item,,,48,60,11,14,,,
Metadata/Items/Armours/Boots/BootsStrDex2,Ironscale Boots,Boots,released,item,34,44,34,44,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex2,Ironscale Gauntlets,Gloves,released,item,28,37,28,37,,,,,
Metadata/Items/Armours/Shields/ShieldDex12,Ironwood Buckler,Shield,released,item,,,327,385,,,,,26
Metadata/Items/Armours/Shields/ShieldInt8,Ivory Spirit Shield,Shield,released,item,,,,,35,40,,,22
Metadata/Items/Armours/Helmets/HelmetDexInt12,Jester Mask,Helmet,released,item,,,268,308,54,62,,,
Metadata/Items/Armours/Shields/ShieldInt5,Jingling Spirit Shield,Shield,released,item,,,,,25,29,,,23
Metadata/Items/Armours/Boots/BootsStrTemp,Kaom's Greaves,Boots,unreleased,item,8,8,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrTemp,Kaom's Plate,Body Armour,unreleased,item,23,23,,,,,,,
Metadata/Items/Armours/Helmets/HelmetStrDex11,Knight Helm,Helmet,released,item,268,308,268,308,,,,,
Metadata/Items/Armours/Shields/ShieldInt12,Lacewood Spirit Shield,Shield,released,item,,,,,47,55,,,24
Metadata/Items/Armours/Shields/ShieldDex13,Lacquered Buckler,Shield,released,item,,,477,549,,,,,24
Metadata/Items/Armours/BodyArmours/BodyDexInt11,Lacquered Garb,Body Armour,released,item,,,286,329,59,68,,,
Metadata/Items/Armours/Helmets/HelmetStrDex7,Lacquered Helmet,Helmet,released,item,138,155,138,155,,,,,
Metadata/Items/Armours/Shields/ShieldStrInt8,Laminated Kite Shield,Shield,released,item,113,133,,,23,27,,,24
Metadata/Items/Armours/BodyArmours/BodyStrInt8,Latticed Ringmail,Body Armour,released,item,216,248,,,45,52,,,
Metadata/Items/Armours/Shields/ShieldStrInt4,Layered Kite Shield,Shield,released,item,62,73,,,13,16,,,24
Metadata/Items/Armours/Helmets/HelmetDex1,Leather Cap,Helmet,released,item,,,19,27,,,,,
Metadata/Items/Armours/Helmets/HelmetDex3,Leather Hood,Helmet,released,item,,,101,127,,,,,
Metadata/Items/Armours/Boots/BootsStrDex1,Leatherscale Boots,Boots,released,item,12,17,12,17,,,,,
Metadata/Items/Armours/Boots/BootsStrInt7,Legion Boots,Boots,released,item,104,120,,,21,25,,,
Metadata/Items/Armours/Gloves/GlovesStrInt7,Legion Gloves,Gloves,released,item,103,121,,,21,25,,,
Metadata/Items/Armours/BodyArmours/BodyStr19,Legion Plate,Body Armour,released,item,1018,1171,,,,,,,
Metadata/Items/Armours/Gloves/GlovesStr11,Leviathan Gauntlets,Gloves,released,item,359,413,,,,,,,
Metadata/Items/Armours/Boots/BootsStr11,Leviathan Greaves,Boots,released,item,359,413,,,,,,,
Metadata/Items/Armours/Gloves/GlovesIntRitual1,Leyline Gloves,Gloves,released,item,,,,,9,10,,,
Metadata/Items/Armours/Helmets/HelmetInt14,Lich's Circlet,Helmet,released,item,,,,,117,134,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex2,Light Brigandine,Body Armour,released,item,48,63,48,63,,,,,
Metadata/Items/Armours/Shields/ShieldStrInt2,Linden Kite Shield,Shield,released,item,43,56,,,11,14,,,24
Metadata/Items/Armours/Helmets/HelmetDex10,Lion Pelt,Helmet,released,item,,,380,437,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr7,Lordly Plate,Body Armour,released,item,353,417,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt13,Loricated Ringmail,Body Armour,released,item,325,374,,,66,76,,,
Metadata/Items/Armours/Helmets/HelmetInt6,Lunaris Circlet,Helmet,released,item,,,,,41,48,,,
Metadata/Items/Armours/BodyArmours/BodyInt5,Mage's Vestment,Body Armour,released,item,,,,,62,69,,,
Metadata/Items/Armours/Helmets/HelmetStrInt8,Magistrate Crown,Helmet,released,item,160,189,,,33,39,,,
Metadata/Items/Armours/Shields/ShieldStrE2,Magmatic Tower Shield,Shield,released,item,144,165,,,,,,,27
Metadata/Items/Armours/Shields/ShieldStr9,Mahogany Tower Shield,Shield,released,item,230,265,,,,,,,25
