# generated by scripts/template-vs-translation.py from ../item-facts/data/mod-templates.csv and poe1/data/stat_translations.json @ e2bd511a
array,template,items,lines,match,n_entries,entry_ids,n_trade_ids,trade_ids,has_trade_ids,equipment_lines,gem_lines,other_lines
explicitMods,#% increased Physical Damage,708,712,exact,1,local_physical_damage_+%|local_weapon_no_physical_damage,5,crafted.stat_1509134228 enchant.stat_1509134228 explicit.stat_1509134228 fractured.stat_1509134228 implicit.stat_1509134228,yes,712,0,0
explicitMods,Regenerate # Life per second,691,694,exact,1,base_life_regeneration_rate_per_minute,5,crafted.stat_3325883026 explicit.stat_3325883026 fractured.stat_3325883026 implicit.stat_3325883026 scourge.stat_3325883026,yes,685,9,0
explicitMods,#% increased Monster Damage,649,649,exact,1,map_monsters_damage_+%,2,explicit.stat_1890519597 fractured.stat_1890519597,yes,328,0,321
explicitMods,#% increased Stun and Block Recovery,629,630,exact,1,base_stun_recovery_+%,4,explicit.stat_2511217560 fractured.stat_2511217560 implicit.stat_2511217560 scourge.stat_2511217560,yes,630,0,0
explicitMods,#% to Chaos Resistance,618,618,exact,1,base_chaos_damage_resistance_%,4,explicit.stat_2923486259 fractured.stat_2923486259 implicit.stat_2923486259 scourge.stat_2923486259,yes,617,0,1
explicitMods,# to Accuracy Rating,594,595,exact,2,accuracy_rating;local_accuracy_rating,8,crafted.stat_691932474 crafted.stat_803737631 explicit.stat_691932474 explicit.stat_803737631 fractured.stat_691932474 fractured.stat_803737631 implicit.stat_691932474 implicit.stat_803737631,yes,595,0,0
explicitMods,Base radius is # metres,585,585,none,0,,0,,,0,585,0
explicitMods,#% increased Rarity of Items found,577,577,exact,2,item_found_rarity_+%;base_item_found_rarity_+%,6,crafted.stat_3917489142 explicit.stat_3917489142 fractured.stat_3917489142 implicit.stat_3917489142 pseudo.pseudo_increased_rarity scourge.stat_3917489142,yes,577,0,0
explicitMods,# to Evasion Rating,556,556,exact,2,base_evasion_rating;local_base_evasion_rating,8,crafted.stat_2144192055 crafted.stat_53045048 explicit.stat_2144192055 explicit.stat_53045048 fractured.stat_2144192055 fractured.stat_53045048 implicit.stat_53045048 scourge.stat_53045048,yes,556,0,0
explicitMods,#% increased Evasion Rating,509,512,exact,2,evasion_rating_+%;local_evasion_rating_+%,8,crafted.stat_124859000 crafted.stat_2106365538 explicit.stat_124859000 explicit.stat_2106365538 fractured.stat_124859000 fractured.stat_2106365538 implicit.stat_124859000 implicit.stat_2106365538,yes,512,0,0
explicitMods,Adds # to # Physical Damage,475,475,exact,2,global_minimum_added_physical_damage|global_maximum_added_physical_damage;local_minimum_added_physical_damage|local_maximum_added_physical_damage,8,crafted.stat_1940865751 explicit.stat_1940865751 explicit.stat_960081730 fractured.stat_1940865751 fractured.stat_960081730 implicit.stat_1940865751 pseudo.pseudo_adds_physical_damage scourge.stat_1940865751,yes,475,0,0
explicitMods,# to Armour,463,464,exact,2,base_physical_damage_reduction_rating;local_base_physical_damage_reduction_rating,8,crafted.stat_3484657501 crafted.stat_809229260 explicit.stat_3484657501 explicit.stat_809229260 fractured.stat_3484657501 fractured.stat_809229260 implicit.stat_3484657501 scourge.stat_3484657501,yes,464,0,0
explicitMods,#% increased Armour,461,462,exact,2,physical_damage_reduction_rating_+%;local_physical_damage_reduction_rating_+%,8,crafted.stat_1062208444 crafted.stat_2866361420 explicit.stat_1062208444 explicit.stat_2866361420 fractured.stat_1062208444 fractured.stat_2866361420 implicit.stat_1062208444 implicit.stat_2866361420,yes,461,0,1
explicitMods,#% increased Mana Regeneration Rate,450,450,exact,1,mana_regeneration_rate_+%,6,crafted.stat_789117908 explicit.stat_789117908 fractured.stat_789117908 implicit.stat_789117908 pseudo.pseudo_increased_mana_regen scourge.stat_789117908,yes,449,0,1
explicitMods,Adds # to # Physical Damage to Attacks,438,438,exact,1,attack_minimum_added_physical_damage|attack_maximum_added_physical_damage,5,crafted.stat_3032590688 explicit.stat_3032590688 fractured.stat_3032590688 implicit.stat_3032590688 pseudo.pseudo_adds_physical_damage_to_attacks,yes,438,0,0
explicitMods,#% increased Cast Speed,407,407,exact,1,base_cast_speed_+%,6,crafted.stat_2891184298 enchant.stat_2891184298 explicit.stat_2891184298 fractured.stat_2891184298 implicit.stat_2891184298 scourge.stat_2891184298,yes,336,71,0
explicitMods,# to all Attributes,365,365,exact,1,additional_all_attributes,4,crafted.stat_1379411836 explicit.stat_1379411836 fractured.stat_1379411836 implicit.stat_1379411836,yes,365,0,0
explicitMods,Reinforcements have #% increased Attack Speed,357,357,exact,1,heist_reinforcements_attack_speed_+%,2,explicit.stat_1339532482 fractured.stat_1339532482,yes,357,0,0
explicitMods,Reinforcements have #% increased Cast Speed,357,357,exact,1,heist_reinforcements_cast_speed_+%,2,explicit.stat_1843941387 fractured.stat_1843941387,yes,357,0,0
explicitMods,Reinforcements have #% increased Movement Speed,357,357,exact,1,heist_reinforcements_movements_speed_+%,2,explicit.stat_1342271987 fractured.stat_1342271987,yes,357,0,0
explicitMods,Reward Rooms have #% increased Monsters,347,347,exact,1,heist_side_reward_room_monsters_+%,2,explicit.stat_4056408881 fractured.stat_4056408881,yes,347,0,0
explicitMods,#% increased Cooldown Recovery Rate,346,346,exact,1,base_cooldown_speed_+%,7,crafted.stat_1004011302 enchant.stat_1004011302 explicit.stat_1004011302 explicit.stat_239144 fractured.stat_1004011302 implicit.stat_1004011302 scourge.stat_1004011302,yes,15,331,0
explicitMods,#% increased Energy Shield,333,338,exact,1,local_energy_shield_+%,4,crafted.stat_4015621042 explicit.stat_4015621042 fractured.stat_4015621042 implicit.stat_4015621042,yes,338,0,0
explicitMods,,326,858,exact,2,map_additional_red_beasts|map_bestiary_league;dummy_stat_display_nothing,0,,,0,0,858
explicitMods,#% increased Armour and Energy Shield,325,326,exact,1,local_armour_and_energy_shield_+%,3,crafted.stat_3321629045 explicit.stat_3321629045 fractured.stat_3321629045,yes,326,0,0
explicitMods,Modifiers to Spell Damage apply to this Skill's Damage Over Time effect,322,322,none,0,,0,,,0,322,0
explicitMods,#% increased Magic Monsters,310,310,exact,1,map_number_of_magic_packs_+%|chart_magic_monsters_voyage_display_stat,2,explicit.stat_1821565133 fractured.stat_1821565133,yes,310,0,0
explicitMods,Monsters Poison on Hit,303,303,exact,3,map_monsters_poison_on_hit;map_monsters_global_poison_on_hit;map_hidden_monsters_poison_on_hit,3,explicit.stat_3350803563 explicit.stat_394639761 fractured.stat_3350803563,yes,303,0,0
explicitMods,Deals # to # Cold Damage,300,300,exact,2,spell_minimum_base_cold_damage|spell_maximum_base_cold_damage;secondary_minimum_base_cold_damage|secondary_maximum_base_cold_damage,0,,,0,300,0
explicitMods,Monsters deal #% extra Physical Damage as Lightning,300,300,exact,1,map_monsters_%_physical_damage_to_add_as_lightning,2,explicit.stat_3416853625 fractured.stat_3416853625,yes,300,0,0
explicitMods,Deals # to # Fire Damage,299,299,exact,2,spell_minimum_base_fire_damage|spell_maximum_base_fire_damage|spell_base_fire_damage_%_maximum_life;secondary_minimum_base_fire_damage|secondary_maximum_base_fire_damage,0,,,0,299,0
explicitMods,#% increased Spell Damage,298,299,exact,1,spell_damage_+%,7,crafted.stat_2974417149 enchant.stat_2974417149 explicit.stat_2974417149 fractured.stat_2974417149 implicit.stat_2974417149 pseudo.pseudo_increased_spell_damage scourge.stat_2974417149,yes,299,0,0
explicitMods,Deals # to # Physical Damage,288,288,exact,2,spell_minimum_base_physical_damage|spell_maximum_base_physical_damage;secondary_minimum_base_physical_damage|secondary_maximum_base_physical_damage,0,,,0,288,0
explicitMods,Players have #% less Area of Effect,288,288,exact,1,map_players_skill_area_of_effect_+%_final,2,explicit.stat_2312028586 fractured.stat_2312028586,yes,288,0,0
explicitMods,#% increased Monster Attack Speed,283,283,exact,1,map_monsters_attack_speed_+%,2,explicit.stat_1913583994 fractured.stat_1913583994,yes,283,0,0
explicitMods,#% increased Monster Cast Speed,283,283,exact,1,map_monsters_cast_speed_+%,2,explicit.stat_2488361432 fractured.stat_2488361432,yes,283,0,0
explicitMods,#% increased Monster Movement Speed,283,283,exact,1,map_monsters_movement_speed_+%,4,enchant.stat_2306522833 explicit.stat_2306522833 fractured.stat_2306522833 implicit.stat_2306522833,yes,283,0,0
explicitMods,#% increased number of Rare Monsters,281,281,exact,1,map_number_of_rare_packs_+%|chart_rare_monsters_voyage_display_stat,2,explicit.stat_3126771445 fractured.stat_3126771445,yes,281,0,0
explicitMods,Monsters' skills Chain # additional times,276,276,exact,1,map_monster_skills_chain_X_additional_times,2,explicit.stat_3183973644 fractured.stat_3183973644,yes,276,0,0
explicitMods,Players cannot inflict Exposure,275,275,exact,1,map_player_cannot_expose,2,explicit.stat_1026390635 fractured.stat_1026390635,yes,275,0,0
explicitMods,#% increased Armour and Evasion,274,275,exact,1,local_armour_and_evasion_+%,3,crafted.stat_2451402625 explicit.stat_2451402625 fractured.stat_2451402625,yes,275,0,0
explicitMods,#% increased Critical Strike Chance,272,272,exact,1,local_critical_strike_chance_+%,5,crafted.stat_2375316951 enchant.stat_2375316951 explicit.stat_2375316951 fractured.stat_2375316951 implicit.stat_2375316951,yes,272,0,0
explicitMods,Adds # to # Lightning Damage to Attacks,270,270,exact,1,attack_minimum_added_lightning_damage|attack_maximum_added_lightning_damage,5,crafted.stat_1754445556 explicit.stat_1754445556 fractured.stat_1754445556 implicit.stat_1754445556 pseudo.pseudo_adds_lightning_damage_to_attacks,yes,270,0,0
explicitMods,Deals # to # Lightning Damage,267,267,exact,2,spell_minimum_base_lightning_damage|spell_maximum_base_lightning_damage;secondary_minimum_base_lightning_damage|secondary_maximum_base_lightning_damage,0,,,0,267,0
explicitMods,Monsters have #% increased Area of Effect,266,266,exact,1,map_monsters_area_of_effect_+%,2,explicit.stat_1708461270 fractured.stat_1708461270,yes,266,0,0
explicitMods,Monsters deal #% extra Physical Damage as Cold,264,264,exact,1,map_monsters_%_physical_damage_to_add_as_cold,2,explicit.stat_3448216135 fractured.stat_3448216135,yes,264,0,0
explicitMods,Monsters fire # additional Projectiles,264,264,exact,1,map_monsters_additional_number_of_projecitles|map_players_additional_number_of_projectiles,2,explicit.stat_1309819744 fractured.stat_1309819744,yes,264,0,0
explicitMods,Monsters deal #% extra Physical Damage as Fire,263,263,exact,1,map_monsters_%_physical_damage_to_add_as_fire,2,explicit.stat_1497673356 fractured.stat_1497673356,yes,263,0,0
explicitMods,Fires # Projectiles,257,257,none,0,,0,,,0,257,0
explicitMods,Monsters have #% increased Accuracy Rating,257,257,exact,1,map_monsters_accuracy_rating_+%,2,explicit.stat_1588049749 fractured.stat_1588049749,yes,257,0,0
explicitMods,Players have #% to amount of Suppressed Spell Damage Prevented,257,257,exact,1,map_players_spell_damage_%_suppressed,2,explicit.stat_286947568 fractured.stat_286947568,yes,257,0,0
explicitMods,#% increased Charge Recovery,255,255,exact,1,local_charges_added_+%,3,enchant.stat_3196823591 explicit.stat_3196823591 fractured.stat_3196823591,yes,255,0,0
explicitMods,Adds # to # Cold Damage,254,254,exact,2,global_minimum_added_cold_damage|global_maximum_added_cold_damage;local_minimum_added_cold_damage|local_maximum_added_cold_damage,11,crafted.stat_1037193709 crafted.stat_2387423236 enchant.stat_1037193709 explicit.stat_1037193709 explicit.stat_2387423236 fractured.stat_1037193709 fractured.stat_2387423236 implicit.stat_1037193709,yes,254,0,0
explicitMods,#% to Global Critical Strike Multiplier,253,253,exact,1,base_critical_strike_multiplier_+,6,crafted.stat_3556824919 enchant.stat_3556824919 explicit.stat_3556824919 fractured.stat_3556824919 implicit.stat_3556824919 scourge.stat_3556824919,yes,253,0,0
explicitMods,#% to Monster Critical Strike Multiplier,250,250,exact,1,map_monsters_critical_strike_multiplier_+,2,explicit.stat_57326096 fractured.stat_57326096,yes,250,0,0
explicitMods,Adds # to # Lightning Damage,250,250,exact,2,global_minimum_added_lightning_damage|global_maximum_added_lightning_damage;local_minimum_added_lightning_damage|local_maximum_added_lightning_damage,11,crafted.stat_1334060246 crafted.stat_3336890334 enchant.stat_3336890334 explicit.stat_1334060246 explicit.stat_3336890334 fractured.stat_1334060246 fractured.stat_3336890334 implicit.stat_1334060246,yes,250,0,0
explicitMods,Monsters have #% increased Critical Strike Chance,250,250,exact,1,map_monsters_critical_strike_chance_+%,2,explicit.stat_2753083623 fractured.stat_2753083623,yes,250,0,0
explicitMods,Players are Cursed with Temporal Chains,250,250,exact,1,map_player_has_level_X_temporal_chains,2,explicit.stat_2326202293 fractured.stat_2326202293,yes,250,0,0
explicitMods,Adds # to # Cold Damage to Attacks,244,244,exact,1,attack_minimum_added_cold_damage|attack_maximum_added_cold_damage,5,crafted.stat_4067062424 explicit.stat_4067062424 fractured.stat_4067062424 implicit.stat_4067062424 pseudo.pseudo_adds_cold_damage_to_attacks,yes,244,0,0
explicitMods,Monsters gain a Power Charge on Hit,236,236,exact,1,map_monsters_add_power_charge_on_hit_%,2,explicit.stat_406353061 fractured.stat_406353061,yes,236,0,0
explicitMods,Players are Cursed with Vulnerability,236,236,exact,1,map_player_has_level_X_vulnerability,2,explicit.stat_1366534040 fractured.stat_1366534040,yes,236,0,0
explicitMods,Players gain #% reduced Flask Charges,236,236,exact,1,map_player_charges_gained_+%,2,explicit.stat_2549889921 fractured.stat_2549889921,yes,236,0,0
explicitMods,Monsters have #% chance to Avoid Elemental Ailments,234,234,exact,1,map_monsters_avoid_elemental_ailments_%,2,explicit.stat_322206271 fractured.stat_322206271,yes,234,0,0
explicitMods,Players have #% less Armour,234,234,exact,1,map_players_armour_+%_final,2,explicit.stat_272758639 fractured.stat_272758639,yes,234,0,0
explicitMods,Players have #% reduced Chance to Block,234,234,exact,1,map_players_block_chance_+%,2,explicit.stat_3729221884 fractured.stat_3729221884,yes,234,0,0
explicitMods,Monsters gain an Endurance Charge on Hit,231,231,exact,1,map_monsters_add_endurance_charge_on_hit_%,2,explicit.stat_687813731 fractured.stat_687813731,yes,231,0,0
explicitMods,Monsters gain a Frenzy Charge on Hit,230,230,exact,1,map_monsters_add_frenzy_charge_on_hit_%,2,explicit.stat_1742567045 fractured.stat_1742567045,yes,230,0,0
explicitMods,Players are Cursed with Enfeeble,228,228,exact,1,map_player_has_level_X_enfeeble,2,explicit.stat_4103440490 fractured.stat_4103440490,yes,228,0,0
explicitMods,Monsters cannot be Stunned,226,226,exact,1,map_monsters_cannot_be_stunned,2,explicit.stat_1041951480 fractured.stat_1041951480,yes,226,0,0
explicitMods,Players are Cursed with Elemental Weakness,225,225,exact,1,map_player_has_level_X_elemental_weakness,2,explicit.stat_558910024 fractured.stat_558910024,yes,225,0,0
explicitMods,#% increased Evasion and Energy Shield,224,224,exact,1,local_evasion_and_energy_shield_+%,3,crafted.stat_1999113824 explicit.stat_1999113824 fractured.stat_1999113824,yes,224,0,0
explicitMods,#% of Physical Attack Damage Leeched as Life,222,222,exact,4,old_do_not_use_life_leech_from_physical_damage_%;life_leech_from_physical_attack_damage_permyriad;old_do_not_use_local_life_leech_from_physical_damage_%;local_life_leech_from_physical_damage_permyriad,11,crafted.stat_3593843976 crafted.stat_55876295 enchant.stat_55876295 explicit.stat_3593843976 explicit.stat_55876295 fractured.stat_3593843976 fractured.stat_55876295 implicit.stat_3593843976,yes,222,0,0
explicitMods,Area contains many Totems,221,221,exact,2,map_packs_are_totems;map_hidden_packs_are_totems,2,explicit.stat_1000591322 fractured.stat_1000591322,yes,221,0,0
explicitMods,#% Monster Chaos Resistance,219,219,exact,1,map_monsters_additional_chaos_resistance,2,explicit.stat_365540634 fractured.stat_365540634,yes,219,0,0
explicitMods,#% Monster Elemental Resistances,219,219,exact,1,map_monsters_additional_elemental_resistance,2,explicit.stat_1054098949 fractured.stat_1054098949,yes,219,0,0
explicitMods,"Monsters have a #% chance to avoid Poison, Impale, and Bleeding",219,219,exact,1,map_monsters_avoid_poison_bleed_impale_%,2,explicit.stat_144665660 fractured.stat_144665660,yes,219,0,0
explicitMods,Monsters take #% reduced Extra Damage from Critical Strikes,216,216,exact,1,map_monsters_base_self_critical_strike_multiplier_-%,2,explicit.stat_337935900 fractured.stat_337935900,yes,216,0,0
explicitMods,#% increased Light Radius,212,212,exact,2,light_radius_+%;virtual_light_radius_+%,5,enchant.stat_1263695895 explicit.stat_1263695895 fractured.stat_1263695895 implicit.stat_1263695895 scourge.stat_1263695895,yes,212,0,0
explicitMods,Adds # to # Fire Damage to Attacks,207,207,exact,1,attack_minimum_added_fire_damage|attack_maximum_added_fire_damage,5,crafted.stat_1573130764 explicit.stat_1573130764 fractured.stat_1573130764 implicit.stat_1573130764 pseudo.pseudo_adds_fire_damage_to_attacks,yes,207,0,0
explicitMods,Supported Skills deal #% less Damage,207,207,none,0,,0,,,0,207,0
explicitMods,Players have #% to all maximum Resistances,205,205,exact,1,map_additional_player_maximum_resistances_%,2,explicit.stat_3376488707 fractured.stat_3376488707,yes,205,0,0
explicitMods,Gain # Life per Enemy Killed,204,204,exact,1,base_life_gained_on_enemy_death,3,explicit.stat_3695891184 fractured.stat_3695891184 implicit.stat_3695891184,yes,204,0,0
explicitMods,Gain # Mana per Enemy Killed,204,204,exact,1,base_mana_gained_on_enemy_death,3,explicit.stat_1368271171 fractured.stat_1368271171 implicit.stat_1368271171,yes,204,0,0
explicitMods,#% increased Area of Effect,203,203,exact,1,base_skill_area_of_effect_+%,6,crafted.stat_280731498 enchant.stat_280731498 explicit.stat_280731498 fractured.stat_280731498 implicit.stat_280731498 scourge.stat_280731498,yes,81,122,0
explicitMods,Adds # to # Fire Damage,202,202,exact,2,global_minimum_added_fire_damage|global_maximum_added_fire_damage;local_minimum_added_fire_damage|local_maximum_added_fire_damage,11,crafted.stat_321077055 crafted.stat_709508406 enchant.stat_709508406 explicit.stat_321077055 explicit.stat_709508406 fractured.stat_321077055 fractured.stat_709508406 implicit.stat_321077055,yes,202,0,0
explicitMods,#% increased Elemental Damage with Attack Skills,200,200,exact,1,elemental_damage_with_attack_skills_+%,6,crafted.stat_387439868 explicit.stat_387439868 fractured.stat_387439868 implicit.stat_387439868 pseudo.pseudo_increased_elemental_damage_with_attack_skills scourge.stat_387439868,yes,182,18,0
explicitMods,Players have #% less Recovery Rate of Life and Energy Shield,200,200,exact,1,map_player_life_and_es_recovery_speed_+%_final,2,explicit.stat_4181072906 fractured.stat_4181072906,yes,200,0,0
explicitMods,Monsters gain #% of Maximum Life as Extra Maximum Energy Shield,197,197,exact,1,map_monsters_maximum_life_%_to_add_to_maximum_energy_shield,2,explicit.stat_2887760183 fractured.stat_2887760183,yes,197,0,0
explicitMods,#% increased maximum Life,196,196,exact,1,maximum_life_+%,6,crafted.stat_983749596 enchant.stat_983749596 explicit.stat_983749596 fractured.stat_983749596 implicit.stat_983749596 scourge.stat_983749596,yes,195,0,1
explicitMods,"Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",196,196,none,0,,0,,,0,0,196
explicitMods,All Monster Damage from Hits always Ignites,195,195,exact,1,map_monsters_always_ignite,2,explicit.stat_816367946 fractured.stat_816367946,yes,195,0,0
explicitMods,#% Monster Physical Damage Reduction,194,194,exact,1,map_monsters_additional_physical_damage_reduction,2,explicit.stat_839186746 fractured.stat_839186746,yes,194,0,0
explicitMods,#% increased Lightning Damage,192,192,exact,1,lightning_damage_+%,7,crafted.stat_2231156303 enchant.stat_2231156303 explicit.stat_2231156303 fractured.stat_2231156303 implicit.stat_2231156303 pseudo.pseudo_increased_lightning_damage scourge.stat_2231156303,yes,192,0,0
explicitMods,#% increased maximum Energy Shield,190,190,exact,1,maximum_energy_shield_+%,4,crafted.stat_2482852589 explicit.stat_2482852589 fractured.stat_2482852589 implicit.stat_2482852589,yes,189,0,1
explicitMods,#% increased Fire Damage,187,187,exact,1,fire_damage_+%,7,crafted.stat_3962278098 enchant.stat_3962278098 explicit.stat_3962278098 fractured.stat_3962278098 implicit.stat_3962278098 pseudo.pseudo_increased_fire_damage scourge.stat_3962278098,yes,187,0,0
explicitMods,#% less effect of Curses on Monsters,185,185,exact,1,map_monsters_curse_effect_on_self_+%_final,2,explicit.stat_3796523155 fractured.stat_3796523155,yes,185,0,0
explicitMods,Unique Boss deals #% increased Damage,185,185,exact,1,map_boss_damage_+%,3,enchant.stat_124877078 explicit.stat_124877078 fractured.stat_124877078,yes,185,0,0
explicitMods,Unique Boss has #% increased Attack and Cast Speed,185,185,exact,1,map_boss_attack_and_cast_speed_+%,2,explicit.stat_2109106920 fractured.stat_2109106920,yes,185,0,0
explicitMods,#% of Physical Damage Converted to Lightning Damage,184,184,exact,1,base_physical_damage_%_to_convert_to_lightning,5,crafted.stat_3240769289 explicit.stat_3240769289 fractured.stat_3240769289 implicit.stat_3240769289 scourge.stat_3240769289,yes,20,164,0
explicitMods,Base secondary duration is # seconds,179,179,none,0,,0,,,0,179,0
explicitMods,#% less Duration,178,178,exact,1,local_flask_duration_+%_final,2,explicit.stat_1506355899 fractured.stat_1506355899,yes,178,0,0
explicitMods,Reflects # Physical Damage to Melee Attackers,178,178,exact,1,physical_damage_to_return_to_melee_attacker,5,crafted.stat_3767873853 explicit.stat_3767873853 fractured.stat_3767873853 implicit.stat_3767873853 scourge.stat_3767873853,yes,178,0,0
explicitMods,This Skill's Cooldown does not recover during its effect,177,177,none,0,,0,,,0,177,0
explicitMods,Monsters cannot be Taunted,176,176,exact,1,map_monsters_cannot_be_taunted,2,explicit.stat_1106651798 fractured.stat_1106651798,yes,176,0,0
explicitMods,Monsters' Action Speed cannot be modified to below Base Value\nMonsters' Movement Speed cannot be modified to below Base Value,176,176,exact,1,map_monsters_movement_speed_cannot_be_reduced_below_base,2,explicit.stat_798009319 fractured.stat_798009319,yes,0,0,0
explicitMods,#% reduced Duration,175,175,exact,1,local_flask_duration_+%|local_flask_consume_flask_duration_+%_when_used,3,enchant.stat_1256719186 explicit.stat_1256719186 fractured.stat_1256719186,yes,164,11,0
explicitMods,Escalating Damage Taken,174,174,none,0,,0,,,0,0,174
explicitMods,#% increased Duration,173,173,exact,1,local_flask_duration_+%|local_flask_consume_flask_duration_+%_when_used,3,enchant.stat_1256719186 explicit.stat_1256719186 fractured.stat_1256719186,yes,173,0,0
explicitMods,"Monsters steal Power, Frenzy and Endurance charges on Hit",170,170,exact,1,map_monsters_steal_charges,2,explicit.stat_3222482040 fractured.stat_3222482040,yes,170,0,0
explicitMods,#% increased Global Critical Strike Chance,169,169,exact,1,critical_strike_chance_+%,5,crafted.stat_587431675 explicit.stat_587431675 fractured.stat_587431675 implicit.stat_587431675 scourge.stat_587431675,yes,169,0,0
explicitMods,Players have #% reduced effect of Non-Curse Auras from Skills,169,169,exact,1,map_player_non_curse_aura_effect_+%,2,explicit.stat_2450628570 fractured.stat_2450628570,yes,169,0,0
explicitMods,#% of Physical Damage Converted to Fire Damage,167,167,exact,1,base_physical_damage_%_to_convert_to_fire,5,crafted.stat_1533563525 explicit.stat_1533563525 fractured.stat_1533563525 implicit.stat_1533563525 scourge.stat_1533563525,yes,38,129,0
explicitMods,Area has increased monster variety,166,166,exact,1,map_additional_number_of_packs_to_choose,2,explicit.stat_3561450806 fractured.stat_3561450806,yes,166,0,0
explicitMods,A collection of unknown Scarabs,165,165,none,0,,0,,,0,0,165
explicitMods,Buffs on Players expire #% faster,164,164,exact,1,map_player_buff_time_passed_+%_only_buff_category,2,explicit.stat_1217583941 fractured.stat_1217583941,yes,164,0,0
explicitMods,Monsters are Hexproof,164,164,exact,1,map_monsters_are_hexproof,2,explicit.stat_4154059009 fractured.stat_4154059009,yes,164,0,0
explicitMods,#% reduced Charges per use,162,162,exact,1,local_charges_used_+%|local_flask_consume_charges_used_+%_when_used,3,enchant.stat_388617051 explicit.stat_388617051 fractured.stat_388617051,yes,162,0,0
explicitMods,Monsters have #% chance to Suppress Spell Damage,162,162,exact,1,map_monsters_spell_suppression_chance_%,2,explicit.stat_2138205941 fractured.stat_2138205941,yes,162,0,0
explicitMods,Players have #% less Accuracy Rating,162,162,exact,1,map_player_accuracy_rating_+%_final,2,explicit.stat_3667574329 fractured.stat_3667574329,yes,162,0,0
explicitMods,"Monsters have a #% chance to Ignite, Freeze and Shock on Hit",161,161,exact,1,map_monsters_%_chance_to_inflict_status_ailments,2,explicit.stat_2553656203 fractured.stat_2553656203,yes,161,0,0
