# owner-captured, not generated: the owner's manual check of every `open` row of twice-numbered.csv on the trade site, 2026-09-13, Standard league, pc, status any, one search per row — `found` is whether the search returned any listing; kept by hand, read back by scripts/hash-check.py
stat_id,trade_number,category,found,checked
map_monsters_poison_on_hit,3350803563,explicit,yes,2026-09-13
map_num_extra_shrines,28550326,explicit,yes,2026-09-13
map_num_extra_shrines,1468737867,explicit,yes,2026-09-13
map_player_movement_velocity_+%,1416455556,explicit,yes,2026-09-13
map_player_movement_velocity_+%,3463633447,explicit,yes,2026-09-13
maximum_energy_shield_leech_rate_+%_while_affected_by_zealotry,2731416566,explicit,yes,2026-09-13
maximum_energy_shield_leech_rate_+%_while_affected_by_zealotry,3848992177,explicit,yes,2026-09-13
mortar_barrage_mine_throwing_speed_halved_+%,2005440071,enchant,yes,2026-09-13
mortar_barrage_mine_throwing_speed_halved_+%,2432759583,enchant,yes,2026-09-13
old_do_not_use_base_life_leech_from_cold_damage_permyriad,2459451600,implicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_cold_damage_permyriad,3999401129,explicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_fire_damage_permyriad,1743742391,implicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_fire_damage_permyriad,3848282610,explicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_lightning_damage_permyriad,80079005,explicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_lightning_damage_permyriad,2696663331,implicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_physical_damage_permyriad,2508100173,implicit,yes,2026-09-13
old_do_not_use_base_life_leech_from_physical_damage_permyriad,3764265320,explicit,yes,2026-09-13
petrified_blood_mana_reservation_efficiency_-2%_per_1,1779904215,enchant,yes,2026-09-13
petrified_blood_mana_reservation_efficiency_-2%_per_1,1829483269,enchant,no,2026-09-13
precision_mana_reservation_efficiency_-2%_per_1,658622139,enchant,no,2026-09-13
precision_mana_reservation_efficiency_-2%_per_1,3859865977,explicit,yes,2026-09-13
purity_of_elements_mana_reservation_efficiency_-2%_per_1,491551762,enchant,no,2026-09-13
purity_of_elements_mana_reservation_efficiency_-2%_per_1,3303293173,enchant,yes,2026-09-13
skitterbots_mana_reservation_efficiency_-2%_per_1,1695754537,enchant,yes,2026-09-13
skitterbots_mana_reservation_efficiency_-2%_per_1,3818053347,enchant,no,2026-09-13
spellslinger_mana_reservation_efficiency_-2%_per_1,1341061286,enchant,no,2026-09-13
spellslinger_mana_reservation_efficiency_-2%_per_1,3305838454,explicit,yes,2026-09-13
summon_skeletons_additional_warrior_skeleton_one_twentieth_chance,634375806,enchant,yes,2026-09-13
summon_skeletons_additional_warrior_skeleton_one_twentieth_chance,1040958896,enchant,yes,2026-09-13
tectonic_slam_side_crack_additional_chance_1%_per_2_stat_value,1522229796,enchant,yes,2026-09-13
tectonic_slam_side_crack_additional_chance_1%_per_2_stat_value,2462686988,enchant,yes,2026-09-13
unique_voltaxic_rift_shock_as_though_damage_+%_final,451866048,explicit,no,2026-09-13
unique_voltaxic_rift_shock_as_though_damage_+%_final,2206792089,explicit,yes,2026-09-13
