# generated by scripts/mod-stat-index.py from poe1/data/mods.json @ e2bd511a
id,name,type,domain,generation_type,required_level,n_stats,stats,spawn_weights,generation_weights,adds_tags,implicit_tags,essence_only
StrengthEssence7_,of the Essence,Strength,item,suffix,82,1,additional_strength:51:58,default:0,,,attribute,yes
Dexterity1,of the Mongoose,Dexterity,item,suffix,1,1,additional_dexterity:8:12,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity2,of the Lynx,Dexterity,item,suffix,11,1,additional_dexterity:13:17,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity3,of the Fox,Dexterity,item,suffix,22,1,additional_dexterity:18:22,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity4,of the Falcon,Dexterity,item,suffix,33,1,additional_dexterity:23:27,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity5,of the Panther,Dexterity,item,suffix,44,1,additional_dexterity:28:32,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity6,of the Leopard,Dexterity,item,suffix,55,1,additional_dexterity:33:37,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity7,of the Jaguar,Dexterity,item,suffix,66,1,additional_dexterity:38:42,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity8,of the Phantom,Dexterity,item,suffix,74,1,additional_dexterity:43:50,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity9,of the Wind,Dexterity,item,suffix,82,1,additional_dexterity:51:55,ring:1000 amulet:1000 gloves:1000 quiver:1000 dex_armour:1000 dex_int_armour:500 str_dex_armour:500 str_dex_int_armour:333 bow:1000 sword:500 axe:500 claw:500 dagger:500 default:0,,,attribute,
Dexterity10,of the Blur,Dexterity,item,suffix,85,1,additional_dexterity:56:60,gloves:1000 quiver:1000 default:0,,,attribute,
DexterityEssence7,of the Essence,Dexterity,item,suffix,82,1,additional_dexterity:51:58,default:0,,,attribute,yes
Intelligence1,of the Pupil,Intelligence,item,suffix,1,1,additional_intelligence:8:12,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence2,of the Student,Intelligence,item,suffix,11,1,additional_intelligence:13:17,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence3,of the Prodigy,Intelligence,item,suffix,22,1,additional_intelligence:18:22,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence4,of the Augur,Intelligence,item,suffix,33,1,additional_intelligence:23:27,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence5,of the Philosopher,Intelligence,item,suffix,44,1,additional_intelligence:28:32,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence6,of the Sage,Intelligence,item,suffix,55,1,additional_intelligence:33:37,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence7,of the Savant,Intelligence,item,suffix,66,1,additional_intelligence:38:42,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence8,of the Virtuoso,Intelligence,item,suffix,74,1,additional_intelligence:43:50,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence9,of the Genius,Intelligence,item,suffix,82,1,additional_intelligence:51:55,ring:1000 amulet:1000 helmet:1000 int_armour:1000 str_int_armour:500 dex_int_armour:500 str_dex_int_armour:500 wand:333 dagger:1000 claw:500 staff:500 sceptre:500 default:0,,,attribute,
Intelligence10,of the Polymath,Intelligence,item,suffix,85,1,additional_intelligence:56:60,helmet:1000 default:0,,,attribute,
IntelligenceEssence7,of the Essence,Intelligence,item,suffix,82,1,additional_intelligence:51:58,default:0,,,attribute,yes
AllAttributes1,of the Clouds,AllAttributes,item,suffix,1,1,additional_all_attributes:1:4,amulet:800 ring:400 default:0,,,attribute,
AllAttributes2,of the Sky,AllAttributes,item,suffix,11,1,additional_all_attributes:5:8,amulet:800 ring:400 default:0,,,attribute,
AllAttributes3,of the Meteor,AllAttributes,item,suffix,22,1,additional_all_attributes:9:12,amulet:800 ring:400 default:0,,,attribute,
AllAttributes4,of the Comet,AllAttributes,item,suffix,33,1,additional_all_attributes:13:16,amulet:800 ring:400 default:0,,,attribute,
AllAttributes5,of the Heavens,AllAttributes,item,suffix,44,1,additional_all_attributes:17:20,amulet:800 default:0,,,attribute,
AllAttributes6,of the Galaxy,AllAttributes,item,suffix,55,1,additional_all_attributes:21:24,amulet:800 default:0,,,attribute,
AllAttributes7,of the Universe,AllAttributes,item,suffix,66,1,additional_all_attributes:25:28,amulet:800 default:0,,,attribute,
AllAttributes8,of the Infinite,AllAttributes,item,suffix,77,1,additional_all_attributes:29:32,amulet:800 default:0,,,attribute,
AllAttributes9_,of the Multiverse,AllAttributes,item,suffix,85,1,additional_all_attributes:33:35,amulet:800 default:0,,,attribute,
IncreasedLife0,Hale,IncreasedLife,item,prefix,1,1,base_maximum_life:3:9,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife1,Healthy,IncreasedLife,item,prefix,5,1,base_maximum_life:10:24,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife2,Sanguine,IncreasedLife,item,prefix,11,1,base_maximum_life:25:39,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife3,Stalwart,IncreasedLife,item,prefix,18,1,base_maximum_life:40:54,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife4,Stout,IncreasedLife,item,prefix,24,1,base_maximum_life:55:69,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife5,Robust,IncreasedLife,item,prefix,30,1,base_maximum_life:70:84,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife6,Rotund,IncreasedLife,item,prefix,36,1,base_maximum_life:85:99,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife7,Virile,IncreasedLife,item,prefix,44,1,base_maximum_life:100:114,fishing_rod:0 weapon:0 default:1000,,,resource life,
IncreasedLife8,Athlete's,IncreasedLife,item,prefix,54,1,base_maximum_life:115:129,fishing_rod:0 weapon:0 ring:0 default:1000,,,resource life,
IncreasedLife9,Fecund,IncreasedLife,item,prefix,64,1,base_maximum_life:130:144,fishing_rod:0 boots:0 gloves:0 weapon:0 ring:0 amulet:0 default:1000,,,resource life,
IncreasedLife10,Vigorous,IncreasedLife,item,prefix,73,1,base_maximum_life:145:159,shield:1000 body_armour:1000 default:0,,,resource life,
IncreasedLife11,Rapturous,IncreasedLife,item,prefix,81,1,base_maximum_life:160:174,body_armour:1000 default:0,,,resource life,
IncreasedLife12,Prime,IncreasedLife,item,prefix,86,1,base_maximum_life:175:189,body_armour:1000 default:0,,,resource life,
IncreasedLifeEssence1_,Essences,IncreasedLife,item,prefix,3,1,base_maximum_life:5:14,default:0,,,resource life,yes
IncreasedLifeEssence2,Essences,IncreasedLife,item,prefix,10,1,base_maximum_life:15:30,default:0,,,resource life,yes
IncreasedLifeEssence3,Essences,IncreasedLife,item,prefix,26,1,base_maximum_life:31:45,default:0,,,resource life,yes
IncreasedLifeEssence4,Essences,IncreasedLife,item,prefix,42,1,base_maximum_life:46:60,default:0,,,resource life,yes
IncreasedLifeEssence5,Essences,IncreasedLife,item,prefix,58,1,base_maximum_life:61:75,default:0,,,resource life,yes
IncreasedLifeEssence6,Essences,IncreasedLife,item,prefix,74,1,base_maximum_life:76:90,default:0,,,resource life,yes
IncreasedLifeEssenceChest1,Essences,IncreasedLife,item,prefix,82,1,base_maximum_life:120:126,default:0,,,resource life,yes
IncreasedLifeEssenceShield1,Essences,IncreasedLife,item,prefix,82,1,base_maximum_life:110:116,default:0,,,resource life,yes
IncreasedLifeEssenceHelm1,Essences,IncreasedLife,item,prefix,82,1,base_maximum_life:100:106,default:0,,,resource life,yes
IncreasedLifeEssenceBootsGloves1,Essences,IncreasedLife,item,prefix,82,1,base_maximum_life:91:105,default:0,,,resource life,yes
IncreasedLifeEnhancedMod,Guatelitzi's,IncreasedLifeAndPercent,item,prefix,1,2,base_maximum_life:70:79 maximum_life_+%:3:5,default:0,,,resource life,
IncreasedLifeEnhancedBodyMod___,Guatelitzi's,IncreasedLifeAndPercent,item,prefix,1,2,base_maximum_life:110:119 maximum_life_+%:8:10,default:0,,,resource life,
IncreasedMana1,Beryl,IncreasedMana,item,prefix,1,1,base_maximum_mana:15:19,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana2,Cobalt,IncreasedMana,item,prefix,11,1,base_maximum_mana:20:24,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana3,Azure,IncreasedMana,item,prefix,17,1,base_maximum_mana:25:29,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana4,Sapphire,IncreasedMana,item,prefix,23,1,base_maximum_mana:30:34,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana5,Cerulean,IncreasedMana,item,prefix,29,1,base_maximum_mana:35:39,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana6,Aqua,IncreasedMana,item,prefix,35,1,base_maximum_mana:40:44,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana7,Opalescent,IncreasedMana,item,prefix,42,1,base_maximum_mana:45:49,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana8,Gentian,IncreasedMana,item,prefix,51,1,base_maximum_mana:50:54,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana9,Chalybeous,IncreasedMana,item,prefix,60,1,base_maximum_mana:55:59,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana10,Mazarine,IncreasedMana,item,prefix,69,1,base_maximum_mana:60:64,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana11,Blue,IncreasedMana,item,prefix,75,1,base_maximum_mana:65:68,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 belt:1000 default:0,,,resource mana,
IncreasedMana12,Zaffre,IncreasedMana,item,prefix,81,1,base_maximum_mana:69:73,ring:1000 amulet:1000 int_armour:1000 str_int_armour:1000 dex_int_armour:1000 str_dex_int_armour:1000 default:0,,,resource mana,
IncreasedMana13,Ultramarine,IncreasedMana,item,prefix,85,1,base_maximum_mana:74:78,ring:1000 amulet:1000 default:0,,,resource mana,
IncreasedManaEssence7,Essences,IncreasedMana,item,prefix,82,1,base_maximum_mana:69:77,default:0,,,resource mana,yes
IncreasedManaEnhancedModPercent,Xopec's,IncreasedManaAndPercent,item,prefix,1,2,base_maximum_mana:69:73 maximum_mana_+%:7:10,default:0,,,resource mana,
IncreasedManaEnhancedModOnHit_,Xopec's,IncreasedManaAndOnHit,item,prefix,1,2,base_maximum_mana:74:78 mana_gain_per_target:2:3,default:0,,,resource mana attack,
IncreasedManaEnhancedModRegen,Xopec's,IncreasedManaAndRegen,item,prefix,1,2,base_maximum_mana:74:78 base_mana_regeneration_rate_per_minute:300:420,default:0,,,resource mana,
IncreasedManaEnhancedModReservation,Xopec's,IncreasedManaAndReservation,item,prefix,1,2,base_maximum_mana:69:73 mana_reservation_efficiency_-2%_per_1:-5:-3,default:0,,,resource mana,
IncreasedManaEnhancedModCost,Xopec's,IncreasedManaAndCost,item,prefix,1,2,base_maximum_mana:74:78 skill_mana_cost_+:-8:-6,default:0,,,resource mana,
IncreasedManaWeapon1,Beryl,IncreasedMana,item,prefix,1,1,base_maximum_mana:30:39,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon2__,Cobalt,IncreasedMana,item,prefix,11,1,base_maximum_mana:40:49,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon3_,Azure,IncreasedMana,item,prefix,17,1,base_maximum_mana:50:59,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon4,Sapphire,IncreasedMana,item,prefix,23,1,base_maximum_mana:60:69,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon5,Cerulean,IncreasedMana,item,prefix,29,1,base_maximum_mana:70:79,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon6,Aqua,IncreasedMana,item,prefix,35,1,base_maximum_mana:80:89,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon7,Opalescent,IncreasedMana,item,prefix,42,1,base_maximum_mana:90:99,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon8,Gentian,IncreasedMana,item,prefix,51,1,base_maximum_mana:100:109,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon9___,Chalybeous,IncreasedMana,item,prefix,60,1,base_maximum_mana:110:119,sceptre:1000 wand:1000 claw:1000 dagger:1000 default:0,,,resource mana,
IncreasedManaWeapon10,Mazarine,IncreasedMana,item,prefix,69,1,base_maximum_mana:120:129,sceptre:800 wand:800 claw:800 dagger:800 default:0,,,resource mana,
IncreasedManaWeapon11,Blue,IncreasedMana,item,prefix,75,1,base_maximum_mana:130:139,sceptre:600 wand:600 claw:600 dagger:600 default:0,,,resource mana,
IncreasedManaWeapon12,Zaffre,IncreasedMana,item,prefix,81,1,base_maximum_mana:140:159,sceptre:400 wand:400 claw:400 dagger:400 default:0,,,resource mana,
IncreasedManaTwoHandWeapon1,Beryl,IncreasedMana,item,prefix,1,1,base_maximum_mana:40:49,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon2_,Cobalt,IncreasedMana,item,prefix,11,1,base_maximum_mana:50:59,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon3_,Azure,IncreasedMana,item,prefix,17,1,base_maximum_mana:60:69,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon4,Sapphire,IncreasedMana,item,prefix,23,1,base_maximum_mana:70:79,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon5,Cerulean,IncreasedMana,item,prefix,29,1,base_maximum_mana:80:89,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon6,Aqua,IncreasedMana,item,prefix,35,1,base_maximum_mana:90:99,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon7,Opalescent,IncreasedMana,item,prefix,42,1,base_maximum_mana:100:119,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon8_,Gentian,IncreasedMana,item,prefix,51,1,base_maximum_mana:120:139,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon9,Chalybeous,IncreasedMana,item,prefix,60,1,base_maximum_mana:140:159,staff:1000 default:0,,,resource mana,
IncreasedManaTwoHandWeapon10,Mazarine,IncreasedMana,item,prefix,69,1,base_maximum_mana:160:179,staff:800 default:0,,,resource mana,
IncreasedManaTwoHandWeapon11,Blue,IncreasedMana,item,prefix,75,1,base_maximum_mana:180:199,staff:600 default:0,,,resource mana,
IncreasedManaTwoHandWeapon12,Zaffre,IncreasedMana,item,prefix,81,1,base_maximum_mana:200:229,staff:400 default:0,,,resource mana,
IncreasedEnergyShield1,Shining,EnergyShield,item,prefix,3,1,base_maximum_energy_shield:1:3,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield2,Glimmering,EnergyShield,item,prefix,11,1,base_maximum_energy_shield:4:8,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield3,Glittering,EnergyShield,item,prefix,17,1,base_maximum_energy_shield:9:12,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield4,Glowing,EnergyShield,item,prefix,23,1,base_maximum_energy_shield:13:15,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield5,Radiating,EnergyShield,item,prefix,29,1,base_maximum_energy_shield:16:19,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield6,Pulsing,EnergyShield,item,prefix,35,1,base_maximum_energy_shield:20:22,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield7,Seething,EnergyShield,item,prefix,42,1,base_maximum_energy_shield:23:26,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield8,Blazing,EnergyShield,item,prefix,50,1,base_maximum_energy_shield:27:31,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield9,Scintillating,EnergyShield,item,prefix,59,1,base_maximum_energy_shield:32:37,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield10,Incandescent,EnergyShield,item,prefix,68,1,base_maximum_energy_shield:38:43,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield11,Resplendent,EnergyShield,item,prefix,74,1,base_maximum_energy_shield:44:47,ring:1000 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShield12,Dazzling,EnergyShield,item,prefix,80,1,base_maximum_energy_shield:48:51,ring:0 amulet:1000 belt:1000 default:0,,,defences energy_shield,
IncreasedEnergyShieldEnhancedModES,Guatelitzi's,EnergyShieldAndPercent,item,prefix,1,2,base_maximum_energy_shield:44:47 maximum_energy_shield_+%:7:10,default:0,,,defences energy_shield,
IncreasedEnergyShieldEnhancedModRegen_,Guatelitzi's,EnergyShieldAndRegen,item,prefix,1,2,base_maximum_energy_shield:44:47 base_energy_shield_regeneration_rate_per_minute_%:24:24,default:0,,,defences energy_shield,
LocalIncreasedEnergyShield1,Shining,LocalEnergyShield,item,prefix,3,1,local_energy_shield:3:5,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield2,Glimmering,LocalEnergyShield,item,prefix,11,1,local_energy_shield:6:11,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield3,Glittering,LocalEnergyShield,item,prefix,17,1,local_energy_shield:12:16,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield4,Glowing,LocalEnergyShield,item,prefix,23,1,local_energy_shield:17:23,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield5,Radiating,LocalEnergyShield,item,prefix,29,1,local_energy_shield:24:30,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield6,Pulsing,LocalEnergyShield,item,prefix,35,1,local_energy_shield:31:38,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield7,Seething,LocalEnergyShield,item,prefix,43,1,local_energy_shield:39:49,int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield8,Blazing,LocalEnergyShield,item,prefix,51,1,local_energy_shield:50:61,gloves:0 boots:0 int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield9,Scintillating,LocalEnergyShield,item,prefix,60,1,local_energy_shield:62:76,helmet:0 gloves:0 boots:0 int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield10,Incandescent,LocalEnergyShield,item,prefix,69,1,local_energy_shield:77:90,helmet:0 gloves:0 boots:0 int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShield11,Resplendent,LocalEnergyShield,item,prefix,75,1,local_energy_shield:91:100,shield:0 helmet:0 gloves:0 boots:0 int_armour:1000 str_dex_int_armour:166 default:0,,,defences energy_shield,
LocalIncreasedEnergyShieldEssenceChest5,Essences,LocalEnergyShield,item,prefix,58,1,local_energy_shield:62:72,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceChest6,Essences,LocalEnergyShield,item,prefix,74,1,local_energy_shield:73:82,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceChest7__,Essences,LocalEnergyShield,item,prefix,82,1,local_energy_shield:88:95,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceShield5,Essences,LocalEnergyShield,item,prefix,58,1,local_energy_shield:50:59,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceShield6,Essences,LocalEnergyShield,item,prefix,74,1,local_energy_shield:60:69,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceShield7,Essences,LocalEnergyShield,item,prefix,82,1,local_energy_shield:75:85,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceBootsGloves4,Essences,LocalEnergyShield,item,prefix,42,1,local_energy_shield:18:26,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceBootsGloves5,Essences,LocalEnergyShield,item,prefix,58,1,local_energy_shield:27:32,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceBootsGloves6,Essences,LocalEnergyShield,item,prefix,74,1,local_energy_shield:28:35,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceBootsGloves7,Essences,LocalEnergyShield,item,prefix,82,1,local_energy_shield:38:45,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceHelm5,Essences,LocalEnergyShield,item,prefix,58,1,local_energy_shield:39:45,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceHelm6,Essences,LocalEnergyShield,item,prefix,74,1,local_energy_shield:46:51,default:0,,,defences energy_shield,yes
LocalIncreasedEnergyShieldEssenceHelm7,Essences,LocalEnergyShield,item,prefix,82,1,local_energy_shield:52:58,default:0,,,defences energy_shield,yes
AddedPhysicalDamage1,Glinting,PhysicalDamage,item,prefix,5,2,attack_minimum_added_physical_damage:1:1 attack_maximum_added_physical_damage:2:2,ring:1000 amulet:1000 gloves:1000 default:0,,,physical_damage damage physical attack,
