# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
array,name,type,displayMode,value_templates,n_values,items,example
additionalProperties,,49,0,Shrine of Unmaking (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Shrine of Unmaking (Tier 3)"", 0]]}"
additionalProperties,,49,0,Throne of Atziri (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Throne of Atziri (Tier 3)"", 0]]}"
additionalProperties,,49,0,Storage Room (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Storage Room (Tier 1)"", 0]]}"
additionalProperties,,49,0,Sadist's Den (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Sadist's Den (Tier 3)"", 0]]}"
additionalProperties,,49,0,Storm of Corruption (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Storm of Corruption (Tier 3)"", 0]]}"
additionalProperties,,49,0,Lightning Workshop (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Lightning Workshop (Tier 1)"", 0]]}"
additionalProperties,,49,0,Glittering Halls (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Glittering Halls (Tier 3)"", 0]]}"
additionalProperties,,49,0,Sparring Room (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Sparring Room (Tier 1)"", 0]]}"
additionalProperties,,49,0,Hatchery (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Hatchery (Tier 1)"", 0]]}"
additionalProperties,,49,0,Hall of Locks (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Hall of Locks (Tier 2)"", 0]]}"
additionalProperties,,49,0,Office of Cartography (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Office of Cartography (Tier 2)"", 0]]}"
additionalProperties,,49,0,Royal Meeting Room (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Royal Meeting Room (Tier 1)"", 0]]}"
additionalProperties,Obstructed Rooms:,,0,,0,1,"{""displayMode"": 0, ""name"": ""Obstructed Rooms:"", ""values"": []}"
hybrid.properties,Soul Gain Prevention,,0,# sec,1,540,"{""displayMode"": 0, ""name"": ""Soul Gain Prevention"", ""values"": [[""5 sec"", 0]]}"
hybrid.properties,Souls Per Use,,0,#,1,540,"{""displayMode"": 0, ""name"": ""Souls Per Use"", ""values"": [[""50"", 0]]}"
hybrid.properties,Effectiveness of Added Damage,,0,#%,1,333,"{""displayMode"": 0, ""name"": ""Effectiveness of Added Damage"", ""values"": [[""310%"", 0]]}"
hybrid.properties,Can Store {#} Use,,3,#,1,326,"{""displayMode"": 3, ""name"": ""Can Store {0} Use"", ""values"": [[""1"", 0]]}"
hybrid.properties,Cast Time,,0,# sec,1,257,"{""name"": ""Cast Time"", ""values"": [[""0.50 sec"", 0]], ""displayMode"": 0}"
hybrid.properties,Can Store {#} Uses,,3,#,1,214,"{""displayMode"": 3, ""name"": ""Can Store {0} Uses"", ""values"": [[""2"", 0]]}"
hybrid.properties,Attack Damage,,0,#% of base,1,201,"{""name"": ""Attack Damage"", ""values"": [[""224.1% of base"", 0]], ""displayMode"": 0}"
hybrid.properties,Critical Strike Chance,,0,#%,1,183,"{""displayMode"": 0, ""name"": ""Critical Strike Chance"", ""values"": [[""5.00%"", 0]]}"
hybrid.properties,Cooldown Time,,0,# sec,1,178,"{""displayMode"": 0, ""name"": ""Cooldown Time"", ""values"": [[""0.50 sec"", 0]]}"
hybrid.properties,Cast Time,,0,Instant,1,139,"{""displayMode"": 0, ""name"": ""Cast Time"", ""values"": [[""Instant"", 0]]}"
hybrid.properties,Attack Speed,,0,#% of base,1,130,"{""name"": ""Attack Speed"", ""values"": [[""70% of base"", 0]], ""displayMode"": 0}"
hybrid.properties,Cost & Reservation Multiplier,,0,#%,1,24,"{""name"": ""Cost & Reservation Multiplier"", ""values"": [[""150%"", 0]], ""displayMode"": 0}"
hybrid.properties,Reservation Override,,0,#% Mana,1,21,"{""displayMode"": 0, ""name"": ""Reservation Override"", ""values"": [[""20% Mana"", 0]]}"
hybrid.properties,Cost,,0,# Mana,1,5,"{""displayMode"": 0, ""name"": ""Cost"", ""values"": [[""6 Mana"", 0]]}"
hybrid.properties,Cooldown Time,,0,# sec (# uses),1,2,"{""displayMode"": 0, ""name"": ""Cooldown Time"", ""values"": [[""1.00 sec (5 uses)"", 0]]}"
nextLevelRequirements,Level,,0,#,1,317,"{""displayMode"": 0, ""name"": ""Level"", ""values"": [[""21"", 0]]}"
nextLevelRequirements,Int,,1,#,1,165,"{""displayMode"": 1, ""name"": ""Int"", ""values"": [[""40"", 0]]}"
nextLevelRequirements,Str,,1,#,1,126,"{""displayMode"": 1, ""name"": ""Str"", ""values"": [[""92"", 0]]}"
nextLevelRequirements,Dex,,1,#,1,92,"{""displayMode"": 1, ""name"": ""Dex"", ""values"": [[""27"", 0]]}"
properties,Level,5,0,#,1,5237,"{""displayMode"": 0, ""name"": ""Level"", ""type"": 5, ""values"": [[""3"", 0]]}"
properties,Quality,6,0,#%,1,4862,"{""displayMode"": 0, ""name"": ""Quality"", ""type"": 6, ""values"": [[""+20%"", 1]]}"
properties,Item Quantity,2,0,#%,1,4712,"{""displayMode"": 0, ""name"": ""Item Quantity"", ""type"": 2, ""values"": [[""+87%"", 1]]}"
properties,Item Rarity,3,0,#%,1,4263,"{""displayMode"": 0, ""name"": ""Item Rarity"", ""type"": 3, ""values"": [[""+42%"", 1]]}"
properties,Area Level,34,0,#,1,3752,"{""displayMode"": 0, ""name"": ""Area Level"", ""type"": 34, ""values"": [[""70"", 0]]}"
properties,Cost,,0,# Mana,1,3336,"{""displayMode"": 0, ""name"": ""Cost"", ""values"": [[""4 Mana"", 0]]}"
properties,Consumes {#} of {#} Charges on use,,3,#|#,2,3325,"{""displayMode"": 3, ""name"": ""Consumes {0} of {1} Charges on use"", ""values"": [[""20"", 0], [""50"", 0]]}"
properties,Currently has {#} Charges,,3,#,1,3325,"{""displayMode"": 3, ""name"": ""Currently has {0} Charges"", ""values"": [[""0"", 0]]}"
properties,Stack Size,32,0,#/#,1,2670,"{""displayMode"": 0, ""name"": ""Stack Size"", ""type"": 32, ""values"": [[""1/10"", 0]]}"
properties,Lasts {#} Seconds,,3,#,1,2613,"{""displayMode"": 3, ""name"": ""Lasts {0} Seconds"", ""values"": [[""10.30"", 1]]}"
properties,Cost & Reservation Multiplier,,0,#%,1,2384,"{""displayMode"": 0, ""name"": ""Cost & Reservation Multiplier"", ""values"": [[""92%"", 0]]}"
properties,Monster Pack Size,4,0,#%,1,2277,"{""displayMode"": 0, ""name"": ""Monster Pack Size"", ""type"": 4, ""values"": [[""+27%"", 1]]}"
properties,Cast Time,,0,# sec,1,2136,"{""displayMode"": 0, ""name"": ""Cast Time"", ""values"": [[""0.25 sec"", 0]]}"
properties,Attacks per Second,13,0,#,1,2007,"{""displayMode"": 0, ""name"": ""Attacks per Second"", ""type"": 13, ""values"": [[""1.25"", 0]]}"
properties,Critical Strike Chance,12,0,#%,1,2005,"{""displayMode"": 0, ""name"": ""Critical Strike Chance"", ""type"": 12, ""values"": [[""8.00%"", 0]]}"
properties,Cooldown Time,,0,# sec,1,1961,"{""displayMode"": 0, ""name"": ""Cooldown Time"", ""values"": [[""1.20 sec"", 0]]}"
properties,Physical Damage,9,0,#-#,1,1952,"{""displayMode"": 0, ""name"": ""Physical Damage"", ""type"": 9, ""values"": [[""59-88"", 1]]}"
properties,Energy Shield,18,0,#,1,1917,"{""displayMode"": 0, ""name"": ""Energy Shield"", ""type"": 18, ""values"": [[""25"", 1]]}"
properties,Effectiveness of Added Damage,,0,#%,1,1911,"{""displayMode"": 0, ""name"": ""Effectiveness of Added Damage"", ""values"": [[""80%"", 0]]}"
properties,Alert Level Reduction,,0,#%,1,1823,"{""displayMode"": 0, ""name"": ""Alert Level Reduction"", ""values"": [[""+5%"", 1]]}"
properties,Maximum Alive Reinforcements,4,0,#%,1,1823,"{""displayMode"": 0, ""name"": ""Maximum Alive Reinforcements"", ""type"": 4, ""values"": [[""+5%"", 1]]}"
properties,Time Before Lockdown,,0,#%,1,1822,"{""displayMode"": 0, ""name"": ""Time Before Lockdown"", ""values"": [[""+5%"", 1]]}"
properties,Level,5,0,# (Max),1,1784,"{""displayMode"": 0, ""name"": ""Level"", ""type"": 5, ""values"": [[""20 (Max)"", 0]]}"
properties,Armour,16,0,#,1,1721,"{""displayMode"": 0, ""name"": ""Armour"", ""type"": 16, ""values"": [[""2172"", 1]]}"
properties,Evasion Rating,17,0,#,1,1720,"{""displayMode"": 0, ""name"": ""Evasion Rating"", ""type"": 17, ""values"": [[""972"", 1]]}"
properties,Cast Time,,0,Instant,1,1344,"{""displayMode"": 0, ""name"": ""Cast Time"", ""values"": [[""Instant"", 0]]}"
properties,Critical Strike Chance,,0,#%,1,1264,"{""displayMode"": 0, ""name"": ""Critical Strike Chance"", ""values"": [[""7.50%"", 0]]}"
properties,Weapon Range: {#} metres,14,3,#,1,1190,"{""displayMode"": 3, ""name"": ""Weapon Range: {0} metres"", ""type"": 14, ""values"": [[""1.1"", 0]]}"
properties,Attack Damage,,0,#% of base,1,949,"{""displayMode"": 0, ""name"": ""Attack Damage"", ""values"": [[""100% of base"", 0]]}"
properties,Quality (Quantity),6,0,#%,1,728,"{""displayMode"": 0, ""name"": ""Quality (Quantity)"", ""type"": 6, ""values"": [[""+16%"", 1]]}"
properties,Reservation,,0,#% Mana,1,719,"{""displayMode"": 0, ""name"": ""Reservation"", ""values"": [[""35% Mana"", 0]]}"
properties,Attack Speed,,0,#% of base,1,513,"{""displayMode"": 0, ""name"": ""Attack Speed"", ""values"": [[""120% of base"", 0]]}"
properties,Requires {#} (Level {#}),41,3,#|Demolition,2,508,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 41, ""values"": [[""5"", 0], [""Demolition"", 0]]}"
properties,Chance to Block,15,0,#%,1,490,"{""displayMode"": 0, ""name"": ""Chance to Block"", ""type"": 15, ""values"": [[""23%"", 0]]}"
properties,Requires {#} (Level {#}),40,3,#|Perception,2,466,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 40, ""values"": [[""2"", 0], [""Perception"", 0]]}"
properties,Recovers {#} Life over {#} Seconds,,3,#|#,2,457,"{""displayMode"": 3, ""name"": ""Recovers {0} Life over {1} Seconds"", ""values"": [[""2080"", 0], [""2"", 0]]}"
properties,Elemental Damage,10,0,#-#,1,430,"{""displayMode"": 0, ""name"": ""Elemental Damage"", ""type"": 10, ""values"": [[""3-65"", 6]]}"
properties,Wand,,0,,0,423,"{""displayMode"": 0, ""name"": ""Wand"", ""values"": []}"
properties,Requires {#} (Level {#}),45,3,#|Deception,2,419,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 45, ""values"": [[""3"", 0], [""Deception"", 0]]}"
properties,Client,,0,Marcine Clavus,1,417,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Marcine Clavus"", 0]]}"
properties,Requires {#} (Level {#}),46,3,#|Engineering,2,415,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 46, ""values"": [[""1"", 0], [""Engineering"", 0]]}"
properties,Limit,87,0,#,1,414,"{""displayMode"": 0, ""name"": ""Limit"", ""type"": 87, ""values"": [[""3"", 0]]}"
properties,Requires {#} (Level {#}),39,3,#|Brute Force,2,408,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 39, ""values"": [[""2"", 0], [""Brute Force"", 0]]}"
properties,Requires {#} (Level {#}),42,3,#|Counter-Thaumaturgy,2,375,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 42, ""values"": [[""4"", 0], [""Counter-Thaumaturgy"", 0]]}"
properties,Requires {#} (Level {#}),43,3,#|Trap Disarmament,2,351,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 43, ""values"": [[""4"", 0], [""Trap Disarmament"", 0]]}"
properties,Requires {#} (Level {#}),38,3,#|Lockpicking,2,340,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 38, ""values"": [[""2"", 0], [""Lockpicking"", 0]]}"
properties,Limited to,,0,#,1,331,"{""displayMode"": 0, ""name"": ""Limited to"", ""values"": [[""1"", 0]]}"
properties,Requires {#} (Level {#}),44,3,#|Agility,2,312,"{""displayMode"": 3, ""name"": ""Requires {1} (Level {0})"", ""type"": 44, ""values"": [[""3"", 0], [""Agility"", 0]]}"
properties,Recovers {#} Mana over {#} Seconds,,3,#|#,2,306,"{""displayMode"": 3, ""name"": ""Recovers {0} Mana over {1} Seconds"", ""values"": [[""734"", 1], [""7"", 0]]}"
properties,Escape Routes Revealed,36,0,#/#,1,304,"{""displayMode"": 0, ""name"": ""Escape Routes Revealed"", ""type"": 36, ""values"": [[""1/6"", 0]]}"
properties,Reward Rooms Revealed,37,0,#/#,1,304,"{""displayMode"": 0, ""name"": ""Reward Rooms Revealed"", ""type"": 37, ""values"": [[""3/21"", 0]]}"
properties,Wings Revealed,35,0,#/#,1,304,"{""displayMode"": 0, ""name"": ""Wings Revealed"", ""type"": 35, ""values"": [[""1/3"", 0]]}"
properties,Reward: {#},52,3,Doubles sacrificed Currency,1,301,"{""displayMode"": 3, ""name"": ""Reward: {0}"", ""type"": 52, ""values"": [[""Doubles sacrificed Currency"", 0]]}"
properties,Client,,0,Bazira,1,297,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Bazira"", 0]]}"
properties,Client,,0,The Crimson Scribe,1,281,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""The Crimson Scribe"", 0]]}"
properties,Client,,0,Count Geonor,1,269,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Count Geonor"", 0]]}"
properties,"Aura, Spell, AoE",,0,,0,250,"{""displayMode"": 0, ""name"": ""Aura, Spell, AoE"", ""values"": []}"
properties,One Handed Sword,,0,,0,248,"{""displayMode"": 0, ""name"": ""One Handed Sword"", ""values"": []}"
properties,Client,,0,Tsvet Matvei,1,228,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Tsvet Matvei"", 0]]}"
properties,Bow,,0,,0,220,"{""displayMode"": 0, ""name"": ""Bow"", ""values"": []}"
properties,Abyss,,0,,0,219,"{""displayMode"": 0, ""name"": ""Abyss"", ""values"": []}"
properties,Reservation,,0,# Mana,1,218,"{""displayMode"": 0, ""name"": ""Reservation"", ""values"": [[""61 Mana"", 0]]}"
properties,"Support, Duration",,0,,0,217,"{""displayMode"": 0, ""name"": ""Support, Duration"", ""values"": []}"
properties,Support,,0,,0,200,"{""displayMode"": 0, ""name"": ""Support"", ""values"": []}"
properties,Client,,0,Administrator Qotra,1,191,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Administrator Qotra"", 0]]}"
properties,Challenge,,0,Defeat waves of enemies,1,183,"{""displayMode"": 0, ""name"": ""Challenge"", ""values"": [[""Defeat waves of enemies"", 0]]}"
properties,Cooldown Time,,0,# sec (# uses),1,182,"{""displayMode"": 0, ""name"": ""Cooldown Time"", ""values"": [[""3.50 sec (3 uses)"", 0]]}"
properties,Weapon Range: {#} metre,14,3,#,1,172,"{""displayMode"": 3, ""name"": ""Weapon Range: {0} metre"", ""type"": 14, ""values"": [[""1"", 0]]}"
properties,Challenge,,0,Survive,1,168,"{""displayMode"": 0, ""name"": ""Challenge"", ""values"": [[""Survive"", 0]]}"
properties,Client,,0,Kondor Larcius,1,158,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Kondor Larcius"", 0]]}"
properties,Sceptre,,0,,0,156,"{""displayMode"": 0, ""name"": ""Sceptre"", ""values"": []}"
properties,Client,,0,Aline Koltz,1,153,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Aline Koltz"", 0]]}"
properties,"Attack, Support",,0,,0,149,"{""displayMode"": 0, ""name"": ""Attack, Support"", ""values"": []}"
properties,Client,,0,Nishem,1,145,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""Nishem"", 0]]}"
properties,Reward: {#},52,3,Doubles sacrificed Divination Cards,1,145,"{""displayMode"": 3, ""name"": ""Reward: {0}"", ""type"": 52, ""values"": [[""Doubles sacrificed Divination Cards"", 0]]}"
properties,Any Heist member can equip this item.,,3,,1,144,"{""displayMode"": 3, ""name"": ""Any Heist member can equip this item."", ""values"": [["""", 0]]}"
properties,Claw,,0,,0,139,"{""displayMode"": 0, ""name"": ""Claw"", ""values"": []}"
properties,Rune Dagger,,0,,0,117,"{""displayMode"": 0, ""name"": ""Rune Dagger"", ""values"": []}"
properties,Two Handed Axe,,0,,0,117,"{""displayMode"": 0, ""name"": ""Two Handed Axe"", ""values"": []}"
properties,Spell,,0,,0,115,"{""displayMode"": 0, ""name"": ""Spell"", ""values"": []}"
properties,"Critical, Support",,0,,0,112,"{""displayMode"": 0, ""name"": ""Critical, Support"", ""values"": []}"
properties,Challenge,,0,Stand in the Stone Circles,1,111,"{""displayMode"": 0, ""name"": ""Challenge"", ""values"": [[""Stand in the Stone Circles"", 0]]}"
properties,Two Handed Sword,,0,,0,107,"{""displayMode"": 0, ""name"": ""Two Handed Sword"", ""values"": []}"
properties,Client,,0,The Midnight Tinkerer,1,104,"{""displayMode"": 0, ""name"": ""Client"", ""values"": [[""The Midnight Tinkerer"", 0]]}"
properties,Heist Target: {#} ({#}),47,3,Box of Tripyxis|Moderate Value,2,103,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Box of Tripyxis"", 0], [""Moderate Value"", "
properties,Warstaff,,0,,0,103,"{""displayMode"": 0, ""name"": ""Warstaff"", ""values"": []}"
properties,Radius,24,0,Medium,1,102,"{""displayMode"": 0, ""name"": ""Radius"", ""type"": 24, ""values"": [[""Medium"", 0]]}"
properties,"Support, Projectile",,0,,0,101,"{""displayMode"": 0, ""name"": ""Support, Projectile"", ""values"": []}"
properties,Radius,24,0,Large,1,100,"{""displayMode"": 0, ""name"": ""Radius"", ""type"": 24, ""values"": [[""Large"", 0]]}"
properties,"Exceptional, Support",,0,,0,99,"{""displayMode"": 0, ""name"": ""Exceptional, Support"", ""values"": []}"
properties,Heist Target: {#} ({#}),47,3,Tusked Hominid Skull|Moderate Value,2,99,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Tusked Hominid Skull"", 0], [""Moderate Val"
properties,Heist Target: {#} ({#}),47,3,Ez Myrae Tome|Moderate Value,2,98,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Ez Myrae Tome"", 0], [""Moderate Value"", 0]"
properties,"Support, Minion",,0,,0,98,"{""name"": ""Support, Minion"", ""values"": [], ""displayMode"": 0}"
properties,Heist Target: {#} ({#}),47,3,Enigmatic Assembly A#|Moderate Value,2,96,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Enigmatic Assembly A4"", 0], [""Moderate Va"
properties,Heist Target: {#} ({#}),47,3,Admiral Proclar's Pipe|Moderate Value,2,95,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Admiral Proclar's Pipe"", 0], [""Moderate V"
properties,One Handed Mace,,0,,0,95,"{""displayMode"": 0, ""name"": ""One Handed Mace"", ""values"": []}"
properties,Heist Target: {#} ({#}),47,3,Ogham Candelabra|Moderate Value,2,94,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Ogham Candelabra"", 0], [""Moderate Value"","
properties,Challenge,,0,Protect the Altar,1,92,"{""displayMode"": 0, ""name"": ""Challenge"", ""values"": [[""Protect the Altar"", 0]]}"
properties,Heist Target: {#} ({#}),47,3,Incense of Keth|Moderate Value,2,92,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Incense of Keth"", 0], [""Moderate Value"", "
properties,Heist Target: {#} ({#}),47,3,Crest of Ezomyr|Moderate Value,2,91,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Crest of Ezomyr"", 0], [""Moderate Value"", "
properties,Staff,,0,,0,91,"{""displayMode"": 0, ""name"": ""Staff"", ""values"": []}"
properties,Elemental Damage,10,0,#-#|#-#,2,89,"{""displayMode"": 0, ""name"": ""Elemental Damage"", ""type"": 10, ""values"": [[""38-71"", 4], [""57-108"", 5]]}"
properties,"Spell, Movement, Duration, Fire, Travel, Blink",,0,,0,89,"{""displayMode"": 0, ""name"": ""Spell, Movement, Duration, Fire, Travel, Blink"", ""values"": []}"
properties,"Support, Spell, Trigger",,0,,0,89,"{""displayMode"": 0, ""name"": ""Support, Spell, Trigger"", ""values"": []}"
properties,Heist Target: {#} ({#}),47,3,Abberathine Horns|Moderate Value,2,88,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Abberathine Horns"", 0], [""Moderate Value"""
properties,Heist Target: {#} ({#}),47,3,Alchemical Chalice|Moderate Value,2,88,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Alchemical Chalice"", 0], [""Moderate Value"
properties,Heist Target: {#} ({#}),47,3,Enigmatic Assembly B#|Moderate Value,2,87,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Enigmatic Assembly B2"", 0], [""Moderate Va"
properties,Cost,,0,# Life,1,86,"{""displayMode"": 0, ""name"": ""Cost"", ""values"": [[""29 Life"", 0]]}"
properties,Heist Target: {#} ({#}),47,3,Heart Coil|Moderate Value,2,85,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Heart Coil"", 0], [""Moderate Value"", 0]]}"
properties,Heist Target: {#} ({#}),47,3,Enigmatic Assembly C#|Moderate Value,2,84,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Enigmatic Assembly C5"", 0], [""Moderate Va"
properties,Heist Target: {#} ({#}),47,3,Urn of the Original Ashes|Moderate Value,2,84,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Urn of the Original Ashes"", 0], [""Moderat"
properties,"Aura, Critical, Spell, AoE",,0,,0,83,"{""displayMode"": 0, ""name"": ""Aura, Critical, Spell, AoE"", ""values"": []}"
properties,Use Time,,0,# sec,1,83,"{""displayMode"": 0, ""name"": ""Use Time"", ""values"": [[""0.80 sec"", 0]]}"
properties,Heist Target: {#} ({#}),47,3,Urn of Farud|Moderate Value,2,81,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Urn of Farud"", 0], [""Moderate Value"", 0]]"
properties,"Spell, AoE, Duration, Curse, Hex",,0,,0,78,"{""displayMode"": 0, ""name"": ""Spell, AoE, Duration, Curse, Hex"", ""values"": []}"
properties,"Fire, Support",,0,,0,76,"{""displayMode"": 0, ""name"": ""Fire, Support"", ""values"": []}"
properties,Attack Time,,0,# sec,1,75,"{""displayMode"": 0, ""name"": ""Attack Time"", ""values"": [[""0.50 sec"", 0]]}"
properties,"Cold, Support",,0,,0,75,"{""displayMode"": 0, ""name"": ""Cold, Support"", ""values"": []}"
properties,Family,23,0,The Wilds,1,73,"{""displayMode"": 0, ""name"": ""Family"", ""type"": 23, ""values"": [[""The Wilds"", 0]]}"
properties,Heist Target: {#} ({#}),47,3,Hand of Arimor|Moderate Value,2,71,"{""displayMode"": 3, ""name"": ""Heist Target: {0} ({1})"", ""type"": 47, ""values"": [[""Hand of Arimor"", 0], [""Moderate Value"", 0"
