# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
frameTypeId,icon_dir,trade_category_by_baseType,items,example
Gem,Gems/QuickGuardGem,gem,38, / Steelskin
Gem,Gems/Clarity,gem,37, / Clarity
Gem,Gems/DeliriumGem,gem,37, / Malevolence
Gem,Gems/BloodRage,gem,36, / Blood Rage
Gem,Gems/MoltenShell,gem,36, / Molten Shell
Gem,Gems/QuickDashGem,gem,36, / Dash
Gem,Gems/RockGolem,gem,35, / Summon Stone Golem
Gem,Gems/Flammability,gem,32, / Flammability
Gem,Gems/LeapSlam,gem,31, / Leap Slam
Gem,Gems/BloodSandArmourGem,gem,29, / Flesh and Stone
Gem,Gems/Desecrate,gem,29, / Desecrate
Gem,Gems/FrostBomb,gem,28, / Frost Bomb
Gem,Gems/Haste,gem,28, / Haste
Gem,Gems/HeraldOfAgonyGem,gem,28, / Herald of Agony
Gem,Gems/New,-,28, / Bow Shot
Gem,Gems/SpellDamageGem,gem,27, / Zealotry
Gem,Gems/WitheringStepGem,gem,27, / Withering Step
Gem,Gems/Wrath,gem,27, / Wrath
Gem,Gems/Purge,gem,26, / Wave of Conviction
Gem,Gems/ArcanistBrandGem,gem,25, / Arcanist Brand Support
Gem,Gems/Despair,gem,25, / Despair
Gem,Gems/Hatred,gem,25, / Hatred
Gem,Gems/HeraldOfLight Gem,gem,25, / Herald of Purity
Gem,Gems/ImmortalCall,gem,25, / Immortal Call
Gem,Gems/MirrorArrow,gem,25, / Mirror Arrow
Gem,Gems/ProjectileWeakness,gem,25, / Sniper's Mark
Gem,Gems/SiphonGem,gem,25, / Essence Drain
Gem,Gems/TempestShield,gem,25, / Tempest Shield
Gem,Gems/DreadBanner,gem,24, / Dread Banner
Gem,Gems/HeraldofAsh,gem,24, / Herald of Ash
Gem,Gems/RaiseZombie,gem,24, / Raise Zombie
Gem,Gems/EnduringCry,gem,23, / Enduring Cry
Gem,Gems/FireResistAura,gem,23, / Purity of Fire
Gem,Gems/HeraldofIce,gem,23, / Herald of Ice
Gem,Gems/TemporalChains,gem,23, / Temporal Chains
Gem,Gems/AutoCastInstantSkills,gem,22, / Automation Support
Gem,Gems/FrostVortex,gem,22, / Vortex
Gem,Gems/FrostBite,gem,21, / Frostbite
Gem,Gems/RaiseSpectre,gem,21, / Raise Spectre
Gem,Gems/ArmourandEvasionBanner,gem,20, / Defiance Banner
Gem,Gems/BloodTendrilsSkillGem,gem,20, / Exsanguinate
Gem,Gems/ElementalWeakness,gem,20, / Elemental Weakness
Gem,Gems/Frenzy,gem,20, / Frenzy
Gem,Gems/PhaseRun,gem,20, / Phase Run
Gem,Gems/Punishment,gem,20, / Punishment
Gem,Gems/Anger,gem,19, / Anger
Gem,Gems/ChaosElementalSummon,gem,19, / Summon Chaos Golem
Gem,Gems/Conductivity,gem,19, / Conductivity
Gem,Gems/LightningGolem,gem,19, / Summon Lightning Golem
Gem,Gems/SmokeBomb,gem,19, / Smoke Mine
Gem,Gems/BloodSandStanceGem,gem,18, / Blood and Sand
Gem,Gems/ConvocationWhite,gem,18, / Convocation
Gem,Gems/HolyRelic,gem,18, / Summon Holy Relic
Gem,Gems/RainofSporesGem,gem,18, / Toxic Rain
Gem,Gems/RighteousFire,gem,18, / Righteous Fire
Gem,Gems/ArcaneCloak,gem,17, / Arcane Cloak
Gem,Gems/BeserkGem,gem,17, / Berserk
Gem,Gems/PlagueBearerGem,gem,17, / Plague Bearer
Gem,Gems/PrideAuraGem,gem,17, / Pride
Gem,Gems/PoisonousConcoction,gem,16, / Poisonous Concoction
Gem,Gems/Spellslinger,gem,16, / Spellslinger Support
Gem,Gems/WhirlingBlades,gem,16, / Whirling Blades
Gem,Gems/AnimateArmour,gem,15, / Animate Guardian
Gem,Gems/AssassinsMark,gem,15, / Assassin's Mark
Gem,Gems/Cyclone,gem,15, / Cyclone
Gem,Gems/DecoyTotem,gem,15, / Decoy Totem
Gem,Gems/DevouringTotem,gem,15, / Devouring Totem
Gem,Gems/DoubleSlash,gem,15, / Lacerate
Gem,Gems/Enfeeble,gem,15, / Enfeeble
Gem,Gems/FlameTotem,gem,15, / Holy Flame Totem
Gem,Gems/FleshOffering,gem,15, / Flesh Offering
Gem,Gems/FreezingPulse,gem,15, / Freezing Pulse
Gem,Gems/HeraldofThunder,gem,15, / Herald of Thunder
Gem,Gems/LightningExplosionMineSkillGem,gem,15, / Stormblast Mine
Gem,Gems/PoachersMark,gem,15, / Poacher's Mark
Gem,Gems/PoisonArrow,gem,15, / Caustic Arrow
Gem,Gems/SummonCarrionGolemGem,gem,15, / Summon Carrion Golem
Gem,Gems/SummonSkeletons,gem,15, / Summon Skeletons
Gem,Gems/BallLightning,gem,14, / Ball Lightning
Gem,Gems/BladeBurst,gem,14, / Blade Blast
Gem,Gems/CircleofPowerSkillGem,gem,14, / Sigil of Power
Gem,Gems/FrostGlobe,gem,14, / Frost Shield
Gem,Gems/FrostblinkSkillGem,-,14, / Frostblink of Wintry Blast
Gem,Gems/IceElementalSummon,gem,14, / Summon Ice Golem
Gem,Gems/New,gem,14, / Lightning Arrow
Gem,Gems/PenanceBrandGem,gem,14, / Penance Brand
Gem,Gems/SeismicCrySkillGem,gem,14, / Seismic Cry
Gem,Gems/ShockwaveSlam,gem,14, / Sunder
Gem,Gems/ShrapnelTrap,gem,14, / Explosive Trap
Gem,Gems/StaticGem,gem,14, / Static Strike
Gem,Gems/SubterraneanTrap,gem,14, / Seismic Trap
Gem,Gems/ArmageddonBrand,gem,13, / Armageddon Brand
Gem,Gems/BoneOffering,gem,13, / Bone Offering
Gem,Gems/ConduitSigil,gem,13, / Storm Brand
Gem,Gems/CorpseEruption,gem,13, / Cremation
Gem,Gems/DarkRitualGem,gem,13, / Bane
Gem,Gems/EtherealKnives,gem,13, / Ethereal Knives
Gem,Gems/FireMortarBarrageMineSkillGem,gem,13, / Pyroclast Mine
Gem,Gems/FireTrap,gem,13, / Fire Trap
Gem,Gems/IceNova,gem,13, / Ice Nova
Gem,Gems/IntimidatingCry,gem,13, / Intimidating Cry
Gem,Gems/LightningResistAura,gem,13, / Purity of Lightning
Gem,Gems/SpinningEtherealBladesGem,gem,13, / Blade Vortex
Gem,Gems/SpiritOffering,gem,13, / Spirit Offering
Gem,Gems/Warbanner,gem,13, / War Banner
Gem,Gems/ColdResistAura,gem,12, / Purity of Ice
Gem,Gems/Discipline,gem,12, / Discipline
Gem,Gems/Firewall,gem,12, / Flame Wall
Gem,Gems/IceCrashGem,gem,12, / Ice Crash
Gem,Gems/IceShield,gem,12, / Arctic Armour
Gem,Gems/IceStrike,gem,12, / Frost Blades
Gem,Gems/LightningStrike,gem,12, / Lightning Strike
Gem,Gems/PetrifiedBloodGem,gem,12, / Petrified Blood
Gem,Gems/SummonElemental,gem,12, / Summon Raging Spirit
Gem,Gems/BearTrap,gem,11, / Bear Trap
Gem,Gems/CorruptedBloodStream,gem,11, / Corrupting Fever
Gem,Gems/CrossBowTotemGem,gem,11, / Siege Ballista
Gem,Gems/DominatingBlow,gem,11, / Dominating Blow
Gem,Gems/DoomBlastSkillGem,gem,11, / Hexblast
Gem,Gems/FireBeam,gem,11, / Scorching Ray
Gem,Gems/FrostBolt,gem,11, / Frostbolt
Gem,Gems/FrostWall,gem,11, / Frost Wall
Gem,Gems/LightningSpire,gem,11, / Lightning Spire Trap
Gem,Gems/LightningWarp,gem,11, / Lightning Warp
Gem,Gems/ShatteringSteel,gem,11, / Shattering Steel
Gem,Gems/SmiteGem,gem,11, / Smite
Gem,Gems/Spark,gem,11, / Spark
Gem,Gems/StormBladeGem,gem|weapon,11, / Energy Blade
Gem,Gems/StormBurst,gem,11, / Storm Burst
Gem,Gems/StormCloudGem,gem,11, / Orb of Storms
Gem,Gems/WitherGem,gem,11, / Wither
Gem,Gems/Arc,gem,10, / Arc
Gem,Gems/ColdProjectileMineSkillGem,gem,10, / Icicle Mine
Gem,Gems/Ember,gem,10, / Blazing Salvo
Gem,Gems/ExplosiveArrow,gem,10, / Explosive Arrow
Gem,Gems/FireElementalSummon,gem,10, / Summon Flame Golem
Gem,Gems/FireMortar,gem,10, / Rolling Magma
Gem,Gems/Firestorm,gem,10, / Firestorm
Gem,Gems/IceSpear,gem,10, / Ice Spear
Gem,Gems/IceTrapRune,gem,10, / Ice Trap
Gem,Gems/LancingSteel,gem,10, / Lancing Steel
Gem,Gems/PurifyingFlame,gem,10, / Purifying Flame
Gem,Gems/QuakeSlam,gem,10, / Earthquake
Gem,Gems/SpectralSpiralGem,gem,10, / Spectral Helix
Gem,Gems/BlinkArrow,gem,9, / Blink Arrow
Gem,Gems/ColdSnap,gem,9, / Cold Snap
Gem,Gems/DetonateDead,gem,9, / Detonate Dead
Gem,Gems/Flamewhip,gem,9, / Flame Surge
Gem,Gems/FlickerStrike,gem,9, / Flicker Strike
Gem,Gems/IceWavesSkill,gem,9, / Glacial Shield Swipe
Gem,Gems/MortarTotemBowSkillGem,gem,9, / Artillery Ballista
Gem,Gems/RejuvinationTotem,gem,9, / Rejuvenation Totem
Gem,Gems/SearingBond,gem,9, / Searing Bond
Gem,Gems/ShockwaveTotem,gem,9, / Shockwave Totem
Gem,Gems/SoulfeastGem,gem,9, / Forbidden Rite
Gem,Gems/ViperStrike,gem,9, / Viper Strike
Gem,Gems/Vulnerability,gem,9, / Vulnerability
Gem,Gems/ZigZagWandSkill,-,9, / Kinetic Bolt of Fragmentation
Gem,Gems/AncestralCry,gem,8, / Ancestral Cry
Gem,Gems/BlightGem,-,8, / Blight of Contagion
Gem,Gems/BlockLinkGem,gem,8, / Protective Link
Gem,Gems/BurningArrow,gem,8, / Burning Arrow
Gem,Gems/ChargedAttack,gem,8, / Blade Flurry
Gem,Gems/Chronomancer,gem,8, / Temporal Rift
Gem,Gems/ContagionGem,gem,8, / Contagion
Gem,Gems/CorpseWarp,gem,8, / Bodyswap
Gem,Gems/Fireball,gem,8, / Fireball
Gem,Gems/Firestorm,-,8, / Firestorm of Pelting
Gem,Gems/FrostFury,gem,8, / Winter Orb
Gem,Gems/LighteningTouch,-,8, / Lightning Tendrils of Eccentricity
Gem,Gems/LightningArrow,gem,8, / Lightning Arrow
Gem,Gems/PowerSiphon,gem,8, / Power Siphon
Gem,Gems/RageVortex,gem,8, / Rage Vortex
Gem,Gems/RallyingCrySkillGem,gem,8, / Rallying Cry
Gem,Gems/ShieldCrush,gem,8, / Shield Crush
Gem,Gems/SoulLinkGem,gem,8, / Soul Link
Gem,Gems/SpikeSlamGem,gem,8, / Earthshatter
Gem,Gems/VigilantStrikeGem,gem,8, / Vigilant Strike
Gem,Gems/WarlordsMark,gem,8, / Warlord's Mark
Gem,Gems/WeaponStormSkill,gem,8, / Swordstorm
Gem,Gems/ArcticBreath,gem,7, / Creeping Frost
Gem,Gems/Barrage,gem,7, / Barrage
Gem,Gems/BoneLance,gem,7, / Unearth
Gem,Gems/ChainStrikeGem,gem,7, / Chain Hook
Gem,Gems/ClusterBurst,gem,7, / Kinetic Blast
Gem,Gems/FrozenLegionSkillGem,gem,7, / Frozen Sweep
Gem,Gems/GlacialHammer,gem,7, / Glacial Hammer
Gem,Gems/HeavyStrike,gem,7, / Heavy Strike
Gem,Gems/ImpactingSteelGem,gem,7, / Splitting Steel
Gem,Gems/LightningTrap,gem,7, / Lightning Trap
Gem,Gems/PenanceBrandGem,-,7, / Penance Brand of Dissipation
Gem,Gems/Puncture,gem,7, / Puncture
Gem,Gems/Soulrend,-,7, / Soulrend of Reaping
Gem,Gems/SplitArrow,gem,7, / Split Arrow
Gem,Gems/AbsolutionBlastGem,gem,6, / Absolution
Gem,Gems/AlchemistsMarkSkillGem,gem,6, / Alchemist's Mark
Gem,Gems/BlackHole,gem,6, / Void Sphere
Gem,Gems/BladeTrapSkillGem,gem,6, / Blade Trap
Gem,Gems/BladestormGem,gem,6, / Bladestorm
Gem,Gems/BlinkArrow,-,6, / Blink Arrow of Prismatic Clones
Gem,Gems/Cleave,gem,6, / Cleave
Gem,Gems/ConduitSigil,-,6, / Storm Brand of Indecision
Gem,Gems/CriticalLinkGem,gem,6, / Destructive Link
Gem,Gems/DetonateMines,gem,6, / Detonate Mines
Gem,Gems/Discharge,gem,6, / Discharge
Gem,Gems/DoubleStrike,gem,6, / Double Strike
Gem,Gems/ElementalStrike,gem,6, / Wild Strike
Gem,Gems/EnsnaringArrow,gem,6, / Ensnaring Arrow
Gem,Gems/GeneralsCry,gem,6, / General's Cry Support
Gem,Gems/GhostlyThrow,gem,6, / Spectral Throw
Gem,Gems/IceNova,-,6, / Ice Nova of Frostbolts
Gem,Gems/InfernalCry,gem,6, / Combust
Gem,Gems/LeechLinkGem,gem,6, / Vampiric Link
Gem,Gems/RainOfBlades,gem,6, / Bladefall
Gem,Gems/ThrownShield,gem,6, / Spectral Shield Throw
Gem,Gems/TornadoGem,gem,6, / Tornado
Gem,Gems/AnimateWeapon,gem,5, / Animate Weapon
Gem,Gems/ArmageddonBrand,-,5, / Armageddon Brand of Recall
Gem,Gems/AutoCastInstantWarcry,gem,5, / Autoexertion Support
Gem,Gems/BallLightning,-,5, / Ball Lightning of Orbiting
Gem,Gems/BoneshatterSkillGem,gem,5, / Boneshatter
Gem,Gems/CorpseWarp,-,5, / Bodyswap of Sacrifice
Gem,Gems/DivineTempest,gem,5, / Divine Ire
Gem,Gems/DualStrike,gem,5, / Dual Strike
Gem,Gems/EnergyReleaseSkillGem,gem,5, / Lightning Conduit
Gem,Gems/Flamethrower,gem,5, / Incinerate
Gem,Gems/FrozenSphereSkillGem,gem,5, / Eye of Winter
Gem,Gems/HolyPathGem,gem,5, / Consecrated Path
Gem,Gems/Hydrosphere,gem,5, / Hydrosphere
Gem,Gems/KineticFullisadeSkillGem,gem,5, / Kinetic Fusillade
Gem,Gems/MambaStrike,gem,5, / Pestilent Strike
Gem,Gems/MoltenStrike,gem,5, / Molten Strike
Gem,Gems/PrismaticRain,gem,5, / Storm Rain
Gem,Gems/RainOfBlades,-,5, / Bladefall of Trarthus
Gem,Gems/RainofArrows,gem,5, / Rain of Arrows
Gem,Gems/RaiseZombie,-,5, / Raise Zombie of Falling
Gem,Gems/RecallSigil,gem,5, / Brand Recall
Gem,Gems/ShrapnelShot,gem,5, / Galvanic Arrow
Gem,Gems/SkeletalChains,gem,5, / Dark Bargain
Gem,Gems/Spark,-,5, / Spark of the Nova
Gem,Gems/Stormcall,gem,5, / Storm Call
Gem,Gems/Upheaval,gem,5, / Glacial Cascade
Gem,Gems/VirulentArrow,gem,5, / Scourge Arrow
Gem,Gems/WintertideBrandGem,gem,5, / Wintertide Brand
Gem,Gems/Arc,-,4, / Arc of Oscillating
Gem,Gems/BloodSandSpearsSkillGem,gem,4, / Perforate
Gem,Gems/BoneshatterSkillGem,-,4, / Boneshatter of Complex Trauma
Gem,Gems/ChargedBlast,-,4, / Flameblast of Celerity
Gem,Gems/ChargedDashGem,gem,4, / Charged Dash
Gem,Gems/CobraLash,gem,4, / Cobra Lash
Gem,Gems/ColdProjectileMineSkillGem,-,4, / Icicle Mine of Fanning
Gem,Gems/DisentegrateGem,-,4, / Crackling Lance of Disintegration
Gem,Gems/Elementalhit,gem,4, / Elemental Hit
Gem,Gems/Flamethrower,-,4, / Incinerate of Venting
Gem,Gems/FlamethrowerTrap,gem,4, / Flamethrower Trap
Gem,Gems/ManaVoidGem,gem,4, / Manabond
Gem,Gems/PactofLycia,gem,4, / Heaven's Scourge
Gem,Gems/Reave,gem,4, / Reave
Gem,Gems/RetaliationHolySpellSkill,gem,4, / Divine Retribution
Gem,Gems/StormbindSkillGem,gem,4, / Rune Blast
Gem,Gems/SummonSkeletons,-,4, / Summon Skeletons of Archers
Gem,Gems/TornadoShot,gem,4, / Tornado Shot
Gem,Gems/TriggerLinkGem,gem,4, / Intuitive Link Support
Gem,Gems/VoidburstSkillGem,gem,4, / Voltaxic Burst
Gem,Gems/VolatileDead,gem,4, / Volatile Dead
Gem,Gems/ZigZagWandSkill,gem,4, / Kinetic Bolt
Gem,Gems/BlastRainGem,gem,3, / Blast Rain
Gem,Gems/BloodreapGem,gem,3, / Reap
Gem,Gems/ChargedBlast,gem,3, / Flameblast
Gem,Gems/ClusterBurst,-,3, / Kinetic Blast of Clustering
Gem,Gems/CorpseEruption,-,3, / Cremation of the Volcano
Gem,Gems/DetonateDead,-,3, / Detonate Dead of Scavenging
Gem,Gems/DisentegrateGem,gem,3, / Crackling Lance
Gem,Gems/DivineCryGem,gem,3, / Battlemage's Cry Support
Gem,Gems/ExplosiveFlaskSkillGem,gem,3, / Explosive Concoction
Gem,Gems/FlameLinkGem,gem,3, / Flame Link
Gem,Gems/FrozenSphereSkillGem,-,3, / Eye of Winter of Transience
Gem,Gems/GhostlyThrow,-,3, / Spectral Throw of Trarthus
Gem,Gems/Groundslam,gem,3, / Ground Slam
Gem,Gems/HexSpreadingSupport,gem,3, / Hex Bloom Support
Gem,Gems/HolyRelic,-,3, / Summon Holy Relic of Conviction
Gem,Gems/IceShot,gem,3, / Ice Shot
Gem,Gems/IceSiphon,gem,3, / Siphoning Trap
Gem,Gems/InfernalBlow,gem,3, / Infernal Blow
Gem,Gems/LancingSteel,-,3, / Lancing Steel of Spraying
Gem,Gems/LighteningTouch,gem,3, / Lightning Tendrils
Gem,Gems/LightningGolem,-,3, / Summon Lightning Golem of Hordes
Gem,Gems/MirrorArrow,-,3, / Mirror Arrow of Bombarding Clones
Gem,Gems/RockGolem,-,3, / Summon Stone Golem of Safeguarding
Gem,Gems/SnappingAdder,gem,3, / Venom Gyre
Gem,Gems/Soulrend,gem,3, / Soulrend
Gem,Gems/Sweep,gem,3, / Holy Sweep
Gem,Gems/TectonicSlam,gem,3, / Tectonic Slam
Gem,Gems/ThrownShield,-,3, / Spectral Shield Throw of Trarthus
Gem,Gems/VolcanicFissureSkillGem,gem,3, / Volcanic Fissure
Gem,Gems/AmbushSkillGem,gem,2, / Ambush
Gem,Gems/AnimateWeapon,-,2, / Animate Weapon of Ranged Arms
Gem,Gems/BlightGem,gem,2, / Blight
Gem,Gems/BloodTendrilsSkillGem,-,2, / Exsanguinate of Transmission
Gem,Gems/ConversionTrap,gem,2, / Conversion Trap
Gem,Gems/CrushingFistSkillGem,gem,2, / Crushing Fist
Gem,Gems/DivineTempest,-,2, / Divine Ire of Holy Lightning
Gem,Gems/EnergyReleaseSkillGem,-,2, / Lightning Conduit of the Heavens
Gem,Gems/EtherealKnives,-,2, / Ethereal Knives of the Massacre
Gem,Gems/Flamewhip,-,2, / Flame Surge of Combusting
Gem,Gems/FrostVortex,-,2, / Vortex of Projection
Gem,Gems/GlacialHammer,-,2, / Glacial Hammer of Shattering
Gem,Gems/IceSpear,-,2, / Ice Spear of Splitting
Gem,Gems/KineticRainSkillGem,gem,2, / Kinetic Anomaly
Gem,Gems/KineticShellSkillGem,gem,2, / Somatic Shell
Gem,Gems/PoisonArrow,-,2, / Caustic Arrow of Poison
