# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
array,template,items,lines,kinds,flags,example
explicitMods,#% increased Magic Monsters,310,310,object:310,,21% increased Magic Monsters
explicitMods,Monsters Poison on Hit,303,303,object:303,,Monsters Poison on Hit
explicitMods,Deals # to # Cold Damage,300,300,object:300,,Deals 214 to 321 Cold Damage
explicitMods,Monsters deal #% extra Physical Damage as Lightning,300,300,object:300,,Monsters deal 110% extra Physical Damage as Lightning
explicitMods,Deals # to # Fire Damage,299,299,object:299,,Deals 659 to 988 Fire Damage
explicitMods,#% increased Spell Damage,298,299,object:299,crafted=True:8;mutated=True:2;fractured=True:2,29% increased Spell Damage
explicitMods,Deals # to # Physical Damage,288,288,object:288,,Deals 873 to 1310 Physical Damage
explicitMods,Players have #% less Area of Effect,288,288,object:288,,Players have 28% less Area of Effect
explicitMods,#% increased Monster Attack Speed,283,283,object:283,,38% increased Monster Attack Speed
explicitMods,#% increased Monster Cast Speed,283,283,object:283,,40% increased Monster Cast Speed
explicitMods,#% increased Monster Movement Speed,283,283,object:283,,25% increased Monster Movement Speed
explicitMods,#% increased number of Rare Monsters,281,281,object:281,,23% increased number of Rare Monsters
explicitMods,Monsters' skills Chain # additional times,276,276,object:276,,Monsters' skills Chain 3 additional times
explicitMods,Players cannot inflict Exposure,275,275,object:275,,Players cannot inflict Exposure
explicitMods,#% increased Armour and Evasion,274,275,object:275,crafted=True:5,33% increased Armour and Evasion
explicitMods,#% increased Critical Strike Chance,272,272,object:272,crafted=True:6;fractured=True:2;mutated=True:1,24% increased Critical Strike Chance
explicitMods,Adds # to # Lightning Damage to Attacks,270,270,object:270,crafted=True:4;fractured=True:3,Adds 2 to 43 Lightning Damage to Attacks
explicitMods,Deals # to # Lightning Damage,267,267,object:267,,Deals 179 to 1012 Lightning Damage
explicitMods,Monsters have #% increased Area of Effect,266,266,object:266,,Monsters have 100% increased Area of Effect
explicitMods,Monsters deal #% extra Physical Damage as Cold,264,264,object:264,,Monsters deal 106% extra Physical Damage as Cold
explicitMods,Monsters fire # additional Projectiles,264,264,object:264,,Monsters fire 2 additional Projectiles
explicitMods,Monsters deal #% extra Physical Damage as Fire,263,263,object:263,,Monsters deal 97% extra Physical Damage as Fire
explicitMods,Fires # Projectiles,257,257,object:257,,Fires 3 Projectiles
explicitMods,Monsters have #% increased Accuracy Rating,257,257,object:257,,Monsters have 50% increased Accuracy Rating
explicitMods,Players have #% to amount of Suppressed Spell Damage Prevented,257,257,object:257,,Players have -20% to amount of Suppressed Spell Damage Prevented
explicitMods,#% increased Charge Recovery,255,255,object:255,,21% increased Charge Recovery
explicitMods,Adds # to # Cold Damage,254,254,object:254,crafted=True:2;fractured=True:1,Adds 57 to 108 Cold Damage
explicitMods,#% to Global Critical Strike Multiplier,253,253,object:253,fractured=True:4;crafted=True:1,+16% to Global Critical Strike Multiplier
explicitMods,#% to Monster Critical Strike Multiplier,250,250,object:250,,+72% to Monster Critical Strike Multiplier
explicitMods,Adds # to # Lightning Damage,250,250,object:250,crafted=True:8;fractured=True:4,Adds 3 to 65 Lightning Damage
explicitMods,Monsters have #% increased Critical Strike Chance,250,250,object:250,,Monsters have 678% increased Critical Strike Chance
explicitMods,Players are Cursed with Temporal Chains,250,250,object:250,,Players are Cursed with Temporal Chains
explicitMods,Adds # to # Cold Damage to Attacks,244,244,object:244,crafted=True:2,Adds 1 to 2 Cold Damage to Attacks
explicitMods,Monsters gain a Power Charge on Hit,236,236,object:236,,Monsters gain a Power Charge on Hit
explicitMods,Players are Cursed with Vulnerability,236,236,object:236,,Players are Cursed with Vulnerability
explicitMods,Players gain #% reduced Flask Charges,236,236,object:236,,Players gain 50% reduced Flask Charges
explicitMods,Monsters have #% chance to Avoid Elemental Ailments,234,234,object:234,,Monsters have 70% chance to Avoid Elemental Ailments
explicitMods,Players have #% less Armour,234,234,object:234,,Players have 30% less Armour
explicitMods,Players have #% reduced Chance to Block,234,234,object:234,,Players have 40% reduced Chance to Block
explicitMods,Monsters gain an Endurance Charge on Hit,231,231,object:231,,Monsters gain an Endurance Charge on Hit
explicitMods,Monsters gain a Frenzy Charge on Hit,230,230,object:230,,Monsters gain a Frenzy Charge on Hit
explicitMods,Players are Cursed with Enfeeble,228,228,object:228,,Players are Cursed with Enfeeble
explicitMods,Monsters cannot be Stunned,226,226,object:226,,Monsters cannot be Stunned
explicitMods,Players are Cursed with Elemental Weakness,225,225,object:225,,Players are Cursed with Elemental Weakness
explicitMods,#% increased Evasion and Energy Shield,224,224,object:224,crafted=True:2,78% increased Evasion and Energy Shield
explicitMods,#% of Physical Attack Damage Leeched as Life,222,222,object:222,crafted=True:4;fractured=True:2,0.63% of Physical Attack Damage Leeched as Life
explicitMods,Area contains many Totems,221,221,object:221,,Area contains many Totems
explicitMods,#% Monster Chaos Resistance,219,219,object:219,,+35% Monster Chaos Resistance
explicitMods,#% Monster Elemental Resistances,219,219,object:219,,+55% Monster Elemental Resistances
explicitMods,"Monsters have a #% chance to avoid Poison, Impale, and Bleeding",219,219,object:219,,"Monsters have a 50% chance to avoid Poison, Impale, and Bleeding"
explicitMods,Monsters take #% reduced Extra Damage from Critical Strikes,216,216,object:216,,Monsters take 37% reduced Extra Damage from Critical Strikes
explicitMods,#% increased Light Radius,212,212,object:212,fractured=True:1,10% increased Light Radius
explicitMods,Adds # to # Fire Damage to Attacks,207,207,object:207,,Adds 7 to 12 Fire Damage to Attacks
explicitMods,Supported Skills deal #% less Damage,207,207,object:207,,Supported Skills deal 29% less Damage
explicitMods,Players have #% to all maximum Resistances,205,205,object:205,,Players have -20% to all maximum Resistances
explicitMods,Gain # Life per Enemy Killed,204,204,object:204,,Gain 4 Life per Enemy Killed
explicitMods,Gain # Mana per Enemy Killed,204,204,object:204,fractured=True:2,Gain 2 Mana per Enemy Killed
explicitMods,#% increased Area of Effect,203,203,object:203,crafted=True:10,6% increased Area of Effect
explicitMods,Adds # to # Fire Damage,202,202,object:202,fractured=True:1,Adds 38 to 71 Fire Damage
explicitMods,#% increased Elemental Damage with Attack Skills,200,200,object:200,crafted=True:17;fractured=True:3,21% increased Elemental Damage with Attack Skills
explicitMods,Players have #% less Recovery Rate of Life and Energy Shield,200,200,object:200,,Players have 60% less Recovery Rate of Life and Energy Shield
explicitMods,Monsters gain #% of Maximum Life as Extra Maximum Energy Shield,197,197,object:197,,Monsters gain 77% of Maximum Life as Extra Maximum Energy Shield
explicitMods,#% increased maximum Life,196,196,object:196,crafted=True:4;fractured=True:1,7% increased maximum Life
explicitMods,"Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",196,196,object:168;string:28,,"Upgrades a normal item to rare or reforges a rare item, guaranteeing one property"
explicitMods,All Monster Damage from Hits always Ignites,195,195,object:195,,All Monster Damage from Hits always Ignites
explicitMods,#% Monster Physical Damage Reduction,194,194,object:194,,+50% Monster Physical Damage Reduction
explicitMods,#% increased Lightning Damage,192,192,object:192,crafted=True:6,15% increased Lightning Damage
explicitMods,#% increased maximum Energy Shield,190,190,object:190,crafted=True:1,6% increased maximum Energy Shield
explicitMods,#% increased Fire Damage,187,187,object:187,crafted=True:6;fractured=True:2,51% increased Fire Damage
explicitMods,#% less effect of Curses on Monsters,185,185,object:185,,60% less effect of Curses on Monsters
explicitMods,Unique Boss deals #% increased Damage,185,185,object:185,,Unique Boss deals 25% increased Damage
explicitMods,Unique Boss has #% increased Attack and Cast Speed,185,185,object:185,,Unique Boss has 30% increased Attack and Cast Speed
explicitMods,#% of Physical Damage Converted to Lightning Damage,184,184,object:184,crafted=True:1,50% of Physical Damage Converted to Lightning Damage
explicitMods,Base secondary duration is # seconds,179,179,object:179,,Base secondary duration is 15.00 seconds
explicitMods,#% less Duration,178,178,object:178,,41% less Duration
explicitMods,Reflects # Physical Damage to Melee Attackers,178,178,object:178,,Reflects 1 Physical Damage to Melee Attackers
explicitMods,This Skill's Cooldown does not recover during its effect,177,177,object:177,,This Skill's Cooldown does not recover during its effect
explicitMods,Monsters cannot be Taunted,176,176,object:176,,Monsters cannot be Taunted
explicitMods,Monsters' Action Speed cannot be modified to below Base Value\nMonsters' Movement Speed cannot be modified to below Base Value,176,176,object:176,,Monsters' Action Speed cannot be modified to below Base Value\nMonsters' Movement Speed cannot be mo
explicitMods,#% reduced Duration,175,175,object:175,,25% reduced Duration
explicitMods,Escalating Damage Taken,174,174,object:174,,Escalating Damage Taken
explicitMods,#% increased Duration,173,173,object:173,,29% increased Duration
explicitMods,"Monsters steal Power, Frenzy and Endurance charges on Hit",170,170,object:170,,"Monsters steal Power, Frenzy and Endurance charges on Hit"
explicitMods,#% increased Global Critical Strike Chance,169,169,object:169,,27% increased Global Critical Strike Chance
explicitMods,Players have #% reduced effect of Non-Curse Auras from Skills,169,169,object:169,,Players have 60% reduced effect of Non-Curse Auras from Skills
explicitMods,#% of Physical Damage Converted to Fire Damage,167,167,object:167,,25% of Physical Damage Converted to Fire Damage
explicitMods,Area has increased monster variety,166,166,object:166,,Area has increased monster variety
explicitMods,A collection of unknown Scarabs,165,165,object:165,,A collection of unknown Scarabs
explicitMods,Buffs on Players expire #% faster,164,164,object:164,,Buffs on Players expire 70% faster
explicitMods,Monsters are Hexproof,164,164,object:164,,Monsters are Hexproof
explicitMods,#% reduced Charges per use,162,162,object:162,,23% reduced Charges per use
explicitMods,Monsters have #% chance to Suppress Spell Damage,162,162,object:162,,Monsters have +100% chance to Suppress Spell Damage
explicitMods,Players have #% less Accuracy Rating,162,162,object:162,,Players have 25% less Accuracy Rating
explicitMods,"Monsters have a #% chance to Ignite, Freeze and Shock on Hit",161,161,object:161,,"Monsters have a 20% chance to Ignite, Freeze and Shock on Hit"
explicitMods,Rare Monsters have [PhysicalThorns|Physical Thorns] reflecting # Physical Damage,160,160,object:160,,Rare Monsters have [PhysicalThorns|Physical Thorns] reflecting 18 Physical Damage
explicitMods,#% increased Cold Damage,159,159,object:159,crafted=True:2;fractured=True:2,36% increased Cold Damage
explicitMods,#% of Physical Attack Damage Leeched as Mana,154,154,object:154,,0.33% of Physical Attack Damage Leeched as Mana
explicitMods,Monsters' Attacks have #% chance to Impale on Hit,154,154,object:154,,Monsters' Attacks have 60% chance to Impale on Hit
explicitMods,Unique Boss has #% increased Area of Effect,152,152,object:152,,Unique Boss has 70% increased Area of Effect
explicitMods,Unique Boss has #% increased Life,152,152,object:152,,Unique Boss has 35% increased Life
explicitMods,#% increased Projectile Speed,151,151,object:151,,30% increased Projectile Speed
explicitMods,Deals # Base Chaos Damage per second,151,151,object:151,,Deals 8.2 Base Chaos Damage per second
explicitMods,#% chance to Freeze enemies,145,145,object:145,,25% chance to Freeze enemies
explicitMods,#% increased Stun Duration on Enemies,145,145,object:145,fractured=True:1,25% increased Stun Duration on Enemies
explicitMods,Monsters Blind on Hit,142,142,object:142,,Monsters Blind on Hit
explicitMods,Rare Monsters have [ElementalThorns|Elemental Thorns] reflecting # Elemental Damage,142,142,object:142,,Rare Monsters have [ElementalThorns|Elemental Thorns] reflecting 18 Elemental Damage
explicitMods,Escalating Monster Speed,140,140,object:140,,Escalating Monster Speed
explicitMods,# to Maximum Charges,138,138,object:138,,+30 to Maximum Charges
explicitMods,Deals # Base Fire Damage per second,137,137,object:137,,Deals 1999.3 Base Fire Damage per second
explicitMods,#% reduced Enemy Stun Threshold,135,135,object:135,,15% reduced Enemy Stun Threshold
explicitMods,Properties restricted to level # and below,130,130,object:117;string:13,,Properties restricted to level 75 and below
explicitMods,Totem lasts # seconds,130,130,object:130,,Totem lasts 8 seconds
explicitMods,Upgrades a normal item to rare with one guaranteed property,130,130,object:117;string:13,,Upgrades a normal item to rare with one guaranteed property
explicitMods,#% increased maximum Mana,129,129,object:129,crafted=True:4,7% increased maximum Mana
explicitMods,Area contains two Unique Bosses,129,129,object:129,,Area contains two Unique Bosses
explicitMods,#% chance to gain a Flask Charge when you deal a Critical Strike,126,126,object:126,,35% chance to gain a Flask Charge when you deal a Critical Strike
explicitMods,Monsters Maim on Hit with Attacks,126,126,object:126,,Monsters Maim on Hit with Attacks
explicitMods,Players have #% less Cooldown Recovery Rate,126,126,object:126,,Players have 40% less Cooldown Recovery Rate
explicitMods,#% increased Global Accuracy Rating,125,125,object:125,fractured=True:1,12% increased Global Accuracy Rating
explicitMods,Overwhelming Monsters,123,123,object:123,,Overwhelming Monsters
explicitMods,Resistant Monsters,123,123,object:123,,Resistant Monsters
explicitMods,#% increased effect,122,122,object:122,,25% increased effect
explicitMods,Prismatic Monsters,120,120,object:120,,Prismatic Monsters
explicitMods,Gain # Life per Enemy Hit with Attacks,119,119,object:119,,Gain 2 Life per Enemy Hit with Attacks
explicitMods,Trap lasts # seconds,119,119,object:119,,Trap lasts 4 seconds
explicitMods,Maximum # Summoned Golem,117,117,object:117,,Maximum 1 Summoned Golem
explicitMods,Unique Bosses are Possessed,117,117,object:117,,Unique Bosses are Possessed
explicitMods,#% increased Total Heist Fee,113,113,object:113,,18% increased Total Heist Fee
explicitMods,Monsters Hinder on Hit with Spells,113,113,object:113,,Monsters Hinder on Hit with Spells
explicitMods,#% Chance to Block,111,111,object:111,,+9% Chance to Block
explicitMods,Patrol Packs take #% reduced damage,110,110,object:110,,Patrol Packs take 29% reduced damage
explicitMods,# to Level of Socketed Gems,108,108,object:108,,+1 to Level of Socketed Gems
explicitMods,Area has patches of Burning Ground,108,108,object:108,,Area has patches of Burning Ground
explicitMods,#% reduced Amount Recovered,107,107,object:107,fractured=True:1,25% reduced Amount Recovered
explicitMods,Totem of Costly Might,104,104,object:104,,Totem of Costly Might
explicitMods,#% increased Experience gain,102,102,object:102,mutated=True:3,65% increased Experience gain
explicitMods,#% chance to Poison on Hit,101,102,object:102,crafted=True:2;fractured=True:2,5% chance to Poison on Hit
explicitMods,Occasional Impotence,101,101,object:101,,Occasional Impotence
explicitMods,Shielding Monsters,101,101,object:101,,Shielding Monsters
explicitMods,Base duration is # second,99,99,object:99,,Base duration is 1.00 second
explicitMods,Chains # Times,99,99,object:99,,Chains +8 Times
explicitMods,"Players cannot Regenerate Life, Mana or Energy Shield",99,99,object:99,,"Players cannot Regenerate Life, Mana or Energy Shield"
explicitMods,Profane Monsters,99,99,object:99,,Profane Monsters
explicitMods,Reward Room Monsters take #% reduced Damage,99,99,object:99,,Reward Room Monsters take 23% reduced Damage
explicitMods,Totem of Costly Potency,99,99,object:99,,Totem of Costly Potency
explicitMods,Area is inhabited by # additional Rogue Exiles,97,97,object:97,,Area is inhabited by 2 additional Rogue Exiles
explicitMods,Patrolling Monsters deal #% increased Damage,97,97,object:97,,Patrolling Monsters deal 24% increased Damage
explicitMods,Adds # to # Lightning Damage to Spells,96,96,object:96,fractured=True:1,Adds 1 to 35 Lightning Damage to Spells
explicitMods,Blistering Cold,96,96,object:96,,Blistering Cold
explicitMods,Guards take #% reduced Damage,96,96,object:96,,Guards take 24% reduced Damage
explicitMods,Lethal Rare Monsters,96,96,object:96,,Lethal Rare Monsters
explicitMods,Adds # to # Fire Damage to Spells,95,95,object:95,fractured=True:2;crafted=True:2,Adds 2 to 5 Fire Damage to Spells
explicitMods,#% of Physical Damage Converted to Chaos Damage,94,94,object:94,,12% of Physical Damage Converted to Chaos Damage
explicitMods,Lightning Damage from Mana Costs,93,93,object:93,,Lightning Damage from Mana Costs
explicitMods,Siphoning Monsters,92,92,object:92,,Siphoning Monsters
explicitMods,#% chance to Suppress Spell Damage,91,91,object:91,crafted=True:5;fractured=True:4,+20% chance to Suppress Spell Damage
explicitMods,Added Small Passive Skills also grant: #% to Chaos Resistance,91,91,object:91,,Added Small Passive Skills also grant: +4% to Chaos Resistance
explicitMods,Reward Room Monsters deal #% increased Damage,91,91,object:91,,Reward Room Monsters deal 26% increased Damage
explicitMods,Area has patches of desecrated ground,90,90,object:90,,Area has patches of desecrated ground
explicitMods,Raging Dead,89,89,object:89,,Raging Dead
explicitMods,#% increased Spell Critical Strike Chance,88,88,object:88,crafted=True:1,120% increased Spell Critical Strike Chance
explicitMods,Can be Detached for a total Duration of # seconds,88,88,object:88,,Can be Detached for a total Duration of 5.00 seconds
explicitMods,Reduced Recovery,88,88,object:88,,Reduced Recovery
explicitMods,#% of Physical Damage Converted to Cold Damage,87,87,object:87,crafted=True:1,25% of Physical Damage Converted to Cold Damage
explicitMods,Grants # Life per Enemy Hit,87,87,object:87,,Grants 2 Life per Enemy Hit
explicitMods,Grants Immunity to Bleeding for # seconds if used while Bleeding\nGrants Immunity to Corrupted Blood for # seconds if used while affected by Corrupted Blood,87,87,object:87,,Grants Immunity to Bleeding for 14 seconds if used while Bleeding\nGrants Immunity to Corrupted Bloo
explicitMods,Hindering Flasks,87,87,object:87,,Hindering Flasks
explicitMods,#% chance to Ignite,86,86,object:86,crafted=True:4,10% chance to Ignite
explicitMods,#% reduced Movement Speed,86,86,object:86,,80% reduced Movement Speed
explicitMods,Area has patches of Chilled Ground,86,86,object:86,,Area has patches of Chilled Ground
explicitMods,Drought,86,86,object:86,,Drought
explicitMods,Increases and Reductions to Cast Speed also apply to this Skill's Activation frequency,86,86,object:86,,Increases and Reductions to Cast Speed also apply to this Skill's Activation frequency
explicitMods,Deadly Monsters,85,85,object:85,,Deadly Monsters
explicitMods,# to Level of Socketed Minion Gems,84,84,object:84,,+2 to Level of Socketed Minion Gems
explicitMods,#% increased Global Physical Damage,84,84,object:84,,25% increased Global Physical Damage
explicitMods,#% increased Projectile Damage,84,84,object:84,,30% increased Projectile Damage
explicitMods,#% maximum Player Resistances per #% Alert Level,84,84,object:84,,-4% maximum Player Resistances per 25% Alert Level
explicitMods,Precise Monsters,82,82,object:82,,Precise Monsters
explicitMods,Stalking Ruin,82,82,object:82,,Stalking Ruin
explicitMods,Razor Dance,81,81,object:81,,Razor Dance
explicitMods,Stormcaller Runes,81,81,object:81,,Stormcaller Runes
explicitMods,#% chance to gain a Frenzy Charge on Kill,80,80,object:80,,10% chance to gain a Frenzy Charge on Kill
explicitMods,#% reduced Attribute Requirements,80,80,object:80,fractured=True:1,32% reduced Attribute Requirements
explicitMods,#% increased Movement Speed during Effect,79,79,object:79,crafted=True:1,6% increased Movement Speed during Effect
explicitMods,Stormcaller Runes II,79,79,object:79,,Stormcaller Runes II
explicitMods,# Physical Damage taken from Attack Hits,78,78,object:78,,-55 Physical Damage taken from Attack Hits
explicitMods,Base secondary radius is # metres,78,78,object:78,,Base secondary radius is 2 metres
explicitMods,Mine lasts # seconds,78,78,object:78,,Mine lasts 5 seconds
explicitMods,Players have #% less Armour per #% Alert Level,78,78,object:78,,Players have 5% less Armour per 25% Alert Level
explicitMods,Supported Skills fire # additional Projectiles,78,78,object:78,,Supported Skills fire 4 additional Projectiles
explicitMods,Choking Miasma,77,77,object:77,,Choking Miasma
explicitMods,Players have #% less Mana Recovery Rate per #% Alert Level,77,77,object:77,,Players have 6% less Mana Recovery Rate per 25% Alert Level
explicitMods,Treacherous Auras,77,77,object:77,,Treacherous Auras
explicitMods,Adds # to # Cold Damage to Spells,76,76,object:76,fractured=True:1,Adds 36 to 72 Cold Damage to Spells
explicitMods,Dexterous Monsters,76,76,object:76,,Dexterous Monsters
explicitMods,Guards deal #% increased Damage,76,76,object:76,,Guards deal 17% increased Damage
explicitMods,Monsters cannot be Leeched from,76,76,object:76,,Monsters cannot be Leeched from
explicitMods,Minions deal #% increased Damage,75,75,object:75,crafted=True:6;fractured=True:1,Minions deal 30% increased Damage
explicitMods,Patrol Packs have #% increased chance to be replaced by an Elite Patrol Pack,75,75,object:75,,Patrol Packs have 29% increased chance to be replaced by an Elite Patrol Pack
explicitMods,# to # Added Physical Damage per # Armour or Evasion Rating on Shield,74,74,object:74,,5 to 8 Added Physical Damage per 15 Armour or Evasion Rating on Shield
explicitMods,# to # Base Off Hand Physical Damage,74,74,object:74,,63 to 95 Base Off Hand Physical Damage
explicitMods,#% increased Armour during Effect,74,74,object:74,,53% increased Armour during Effect
explicitMods,Summons a Totem which uses this Skill,74,74,object:74,,Summons a Totem which uses this Skill
explicitMods,Supported Skills deal #% less Projectile Damage,74,74,object:74,,Supported Skills deal 26% less Projectile Damage
explicitMods,Supported Skills deal #% more Damage over Time,74,74,object:74,,Supported Skills deal 42% more Damage over Time
explicitMods,# metre to radius,73,73,object:73,,+1 metre to radius
explicitMods,#% increased Charges per use,73,73,object:73,,50% increased Charges per use
explicitMods,#% increased Evasion Rating during Effect,73,73,object:73,,81% increased Evasion Rating during Effect
explicitMods,#% reduced Job speed,73,73,object:73,,28% reduced Job speed
explicitMods,Regenerate # Mana per second,73,73,object:73,crafted=True:3,Regenerate 5.3 Mana per second
explicitMods,Supported Skills deal no Elemental Damage,73,73,object:73,,Supported Skills deal no Elemental Damage
explicitMods,Supported Skills have #% increased Attack Speed,73,73,object:73,,Supported Skills have 50% increased Attack Speed
explicitMods,Can be Attached for a total Duration of # seconds,72,72,object:72,,Can be Attached for a total Duration of 3.00 seconds
explicitMods,Lessened Reach,72,72,object:72,,Lessened Reach
explicitMods,Players have #% less Evasion per #% Alert Level,72,72,object:72,,Players have 5% less Evasion per 25% Alert Level
explicitMods,Minions have #% increased maximum Life,70,70,object:70,fractured=True:1,Minions have 12% increased maximum Life
explicitMods,Unstoppable Monsters,70,70,object:70,,Unstoppable Monsters
explicitMods,Counts total Power of Enemies in Range,69,69,object:69,,Counts total Power of Enemies in Range
explicitMods,Deals # Base Cold Damage per second,69,69,object:69,,Deals 1297.4 Base Cold Damage per second
explicitMods,Explosion deals base Fire Damage equal to #% of the corpse's Maximum Life,69,69,object:69,,Explosion deals base Fire Damage equal to 34% of the corpse's Maximum Life
explicitMods,Less Cooldown Recovery,69,69,object:69,,Less Cooldown Recovery
explicitMods,Players have #% less Life Recovery Rate per #% Alert Level,68,68,object:68,,Players have 6% less Life Recovery Rate per 25% Alert Level
explicitMods,#% increased Skill Effect Duration,67,67,object:67,,20% increased Skill Effect Duration
explicitMods,Choking Miasma III,67,67,object:67,,Choking Miasma III
explicitMods,Players have #% less Energy Shield Recovery Rate per #% Alert Level,67,67,object:67,,Players have 16% less Energy Shield Recovery Rate per 25% Alert Level
explicitMods,#% additional Elemental Resistances during Effect,66,66,object:66,,33% additional Elemental Resistances during Effect
explicitMods,Players gain #% reduced Flask Charges per #% Alert Level,66,66,object:66,,Players gain 12% reduced Flask Charges per 25% Alert Level
explicitMods,Area has patches of Shocked Ground which increase Damage taken by #%,65,65,object:65,,Area has patches of Shocked Ground which increase Damage taken by 50%
explicitMods,Non-Channelling Skills have # to Total Mana Cost,65,65,object:65,crafted=True:44,Non-Channelling Skills have -6 to Total Mana Cost
explicitMods,Slaying Enemies close together can attract monsters from Beyond this realm,65,65,object:65,,Slaying Enemies close together can attract monsters from Beyond this realm
explicitMods,Supported Skills have #% increased Area of Effect,65,65,object:65,,Supported Skills have 49% increased Area of Effect
explicitMods,#% increased Buff Effect,64,64,object:64,,20% increased Buff Effect
explicitMods,#% reduced effect,64,64,object:64,,25% reduced effect
explicitMods,Adds # to # Chaos Damage,64,64,object:64,,Adds 15 to 23 Chaos Damage
explicitMods,Ailment and Curse Reflection,64,64,object:64,,Ailment and Curse Reflection
explicitMods,Projectiles Pierce all Targets,64,64,object:64,,Projectiles Pierce all Targets
explicitMods,This Gem gains #% increased Experience,64,64,object:64,,This Gem gains 115% increased Experience
