# generated by scripts/map-identity.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
art,items,tiers,mn,mt,mg,mi,mc,example
Glacier,92,9:6;10:80;13:3;16:3,13:83;21:2;23:7,0:92,1:1,2:1,, / Map (Tier 16)
Estuary,90,1:1;3:77;6:6;10:1;14:4;16:1,12:1;13:79;21:6;23:4,0:90,,,,Blasted Panorama / Map (Tier 1)
Maze,89,5:1;14:86;16:2,13:81;14:1;23:7,0:89,1:2;2:1,2:3,3:1, / Map (Tier 5)
Strand,89,2:21;3:8;10:3;14:31;16:26,12:21;13:34;21:7;23:27,0:89,1:2;3:1,2:3,2:2;3:1, / Map (Tier 10)
Antiquary,85,4:6;9:72;11:6;15:1,10:1;12:72;21:12,0:85,4:1,2:1,,Dire Cramp / Map (Tier 15)
UndergroundSea,85,1:52;4:1;8:10;10:12;14:1;16:9,10:1;13:66;19:1;21:2;23:15,0:85,1:1,2:1,,Agony Oubliette / Map (Tier 10)
Armory,84,3:11;9:68;10:3;15:1;16:1,10:1;13:69;21:14,0:84,1:1;2:1,2:2,,Stained Refuge / Map (Tier 15)
ForbiddenWoods,84,7:8;10:72;13:1;14:1;16:2,13:75;21:9,0:84,3:1,2:1,, / Impervious Map (Tier 10)
Phantasmagoria,81,8:61;11:1;15:9;16:10,13:66;23:15,0:81,2:1,2:1,3:1;4:1, / Map (Tier 8)
Crypt,80,7:12;10:1;14:3;15:61;16:3,10:1;13:63;21:11;23:5,0:80,1:1,2:1,,Wraith Vault / Map (Tier 16)
Infestation,80,3:36;7:22;10:1;12:6;14:3;15:1;16:11,13:29;14:36;21:7;23:8,0:80,2:1,2:1,,Hate Frontier / Map (Tier 7)
DarkForest,79,2:7;6:39;9:12;11:13;13:2;16:6,12:13;13:48;21:7;23:11,0:79,,,3:1, / Map (Tier 6)
VaalPyramid,79,4:17;11:8;12:52;16:2,13:54;21:14;23:11,0:79,,,, / Map (Tier 4)
Park,75,12:4;15:70;16:1,12:70;15:1;23:4,0:75,,,, / Map (Tier 16)
Burn,74,7:1;10:68;14:4;16:1,13:68;23:6,0:74,,,,Stormy Crown / Map (Tier 7)
Thicket,70,1:8;4:13;8:5;11:3;14:37;16:4,12:37;13:19;23:14,0:70,4:1,2:1,, / Map (Tier 4)
Laboratory,69,7:67;16:2,13:69,0:69,2:1,2:1,, / Map (Tier 7)
Catacomb,67,1:19;7:36;8:5;14:1;15:1;16:5,10:1;13:41;21:15;23:10,0:67,1:1,2:1,, / Map (Tier 1)
Sewer,66,2:7;3:11;6:1;9:12;16:35,13:24;21:10;22:5;23:27,0:66,1:1;4:1,2:2,,Desecrated Oubliette / Map (Tier 16)
Mausoleum,65,4:56;7:2;9:4;11:2;16:1,12:22;13:33;21:5;23:5,0:65,,,, / Map (Tier 4)
Cavern,63,2:41;4:10;5:1;9:9;16:2,12:10;13:36;21:14;23:3,0:63,,,, / Map (Tier 16)
Colosseum,63,3:33;5:3;6:17;10:4;12:2;13:1;14:1;16:2,13:39;21:18;23:6,0:63,,,, / Multifarious Map (Tier 3)
Sepulchre,63,6:9;9:1;12:42;13:5;14:1;16:5,10:1;12:42;19:1;21:4;23:15,0:63,1:1;3:1,2:2,, / Map (Tier 9)
Stagnation,63,1:52;12:8;15:1;16:2,12:52;13:11,0:63,,,,Fetid Trap / Map (Tier 1)
OvergrownShrine,62,3:8;4:32;7:3;10:5;11:3;16:11,13:47;21:9;23:6,0:62,,,, / Map (Tier 4)
Lookout,61,6:5;12:5;13:33;14:14;16:4,12:14;13:33;21:5;23:9,0:61,,,, / Map (Tier 16)
RobotTunnelSilo,61,4:3;7:17;8:7;10:2;11:3;15:1;16:28,13:23;21:10;23:28,0:61,,,, / Map (Tier 16)
AridLake,60,4:2;6:38;9:8;13:3;14:1;16:8,12:1;13:48;14:2;22:1;23:8,0:60,,,3:2, / Map (Tier 14)
UniqueMapEye,59,2:1;3:4;7:1;10:3;14:35;15:1;16:14,8:1;10:4;13:13;14:29;21:3;23:6;24:3,0:59,,,,Whakawairua Tuahu / Map (Tier 15)
Temple,58,4:36;5:1;7:1;11:1;14:9;16:10,13:45;15:1;21:4;23:8,0:58,1:1;3:2,2:3,1:1, / Map (Tier 5)
Necropolis,57,3:37;10:4;12:11;16:5,13:42;21:4;23:11,0:57,,,1:1, / Map (Tier 3)
Orchard,57,10:47;12:1;13:1;14:2;16:6,8:1;13:50;21:2;23:4,0:57,,,3:1,Chaos Territory / Map (Tier 14)
Arsenal,55,6:4;8:18;11:4;13:4;14:22;15:1;16:2,10:1;12:22;13:24;23:8,0:55,4:1,2:1,,Horror Remnant / Map (Tier 15)
Lair,55,2:12;4:4;9:3;11:35;16:1,12:4;13:36;21:15,0:55,,,, / Map (Tier 4)
Malformation,55,7:41;9:7;10:5;16:2,12:7;13:43;21:5,0:55,,,, / Map (Tier 9)
Oasis,55,11:37;13:12;16:6,13:41;21:10;23:4,0:55,1:1,2:1,,Stormy Shadows / Map (Tier 13)
ArachnidNest,54,2:34;5:1;8:6;15:5;16:8,13:41;23:13,0:54,,,1:1, / Map (Tier 8)
Channel,54,6:34;7:8;8:5;9:1;15:3;16:3,13:38;21:8;23:8,0:54,4:1,2:1,, / Map (Tier 6)
DesertShipGraveyard,54,3:15;10:2;15:34;16:3,13:37;21:17,0:54,,,, / Map (Tier 15)
Grotto,52,4:2;8:35;11:6;15:3;16:6,12:2;13:35;21:5;23:10,0:52,,,, / Map (Tier 8)
Atoll,51,5:4;6:33;9:1;12:4;13:1;14:1;16:7,10:1;13:41;21:4;23:5,0:51,1:1,2:1,3:2,Agony Edge / Map (Tier 14)
Graveyard,51,5:5;11:42;12:1;16:3,13:45;21:6,0:51,,,4:1, / Map (Tier 16)
SunkenCity,48,12:48,12:48,0:48,,,, / Map (Tier 12)
IvoryTemple,47,15:34;16:13,13:46;23:1,0:47,,,,Pain Alcove / Map (Tier 16)
Cells,46,4:10;5:19;8:1;10:6;11:4;12:4;16:2,13:26;21:14;23:6,0:46,2:1,2:1,,Graven Solitude / Map (Tier 5)
Canyon,45,3:1;7:39;10:2;15:1;16:2,10:1;13:39;22:1;23:4,0:45,4:1,2:1,,Destiny Tundra / Map (Tier 16)
Carcass,45,2:10;9:7;13:24;14:1;16:3,10:1;13:26;18:1;21:17,0:45,2:1;3:1,2:2,,Cinder Abyss / Map (Tier 16)
Iceberg,45,11:41;12:3;16:1,13:42;23:3,0:45,,,3:1, / Map (Tier 12)
MapNumbers4,43,4:43,24:43,0:43,,,, / Map (Tier 4)
UndergroundRiver,43,12:27;14:1;15:12;16:3,12:1;13:29;21:4;23:9,0:43,3:1,2:1,3:1;4:1,Ransacked Sludge / Map (Tier 15)
Cage,42,3:15;5:16;12:2;14:2;16:7,10:2;13:25;21:15,0:42,2:1;3:1;4:1,2:3,,Damned Quarters / Map (Tier 14)
Pit1,42,2:24;8:9;15:8;16:1,12:24;21:5;23:13,0:42,,,,Intense Vault / Map (Tier 16)
Crematorium,41,3:23;5:2;10:5;12:4;16:7,13:34;23:7,0:41,1:1,2:1,, / Map (Tier 3)
MapNumbers2,41,2:41,24:41,0:41,,,, / Map (Tier 2)
Promenade,41,5:17;6:9;12:2;13:4;16:9,12:5;13:22;21:8;23:6,0:41,,,1:1,Damned Sector / Map (Tier 13)
PrimordialPool,40,10:3;14:35;16:2,13:36;23:4,0:40,1:3,2:3,,Wraith Territory / Map (Tier 16)
VaalCity,40,5:11;9:28;12:1,13:28;21:12,0:40,,,, / Map (Tier 9)
MapNumbers15,38,15:38,24:38,0:38,,2:1,, / Map (Tier 15)
Shore,37,5:11;6:15;8:2;12:3;16:6,13:20;21:12;22:1;23:4,0:37,3:1,2:1,, / Profane Map (Tier 6)
CorpseTrench,36,9:15;15:10;16:11,13:21;21:15,0:36,,,2:1,Bleak Reaches / Map (Tier 15)
Dungeon,36,2:8;4:1;14:1;16:26,10:2;13:24;15:1;17:1;21:8,0:36,2:1;4:1,2:2,,Destiny Cage / Map (Tier 16)
Fields,36,5:1;9:34;16:1,13:35;21:1,0:36,,,, / Map (Tier 9)
MapNumbers13,36,13:36,24:36,0:36,,,,Timeworn Challenge / Map (Tier 13)
Shipyard,36,1:8;8:24;15:1;16:3,13:21;23:15,0:36,,,, / Resistant Map (Tier 8)
Bazaar,35,5:17;8:4;11:2;12:1;15:2;16:9,13:26;14:2;23:7,0:35,3:1,2:1,,Ancient District / Map (Tier 8)
olmec,35,1:3;5:1;7:8;8:1;14:2;16:20,13:19;21:2;23:8;24:6,0:35,,,,Olmec's Sanctum / Map (Tier 16)
BurialChambers,34,10:2;13:11;14:16;16:5,10:1;13:19;21:2;23:12,0:34,1:1;3:2,2:3,,Desolate Cradle / Map (Tier 16)
Courtyard,34,5:19;12:11;16:4,13:19;21:5;23:10,0:34,,,, / Map (Tier 5)
LunarisTemple,34,3:16;4:9;6:1;10:2;11:4;16:2,13:21;21:9;23:4,0:34,,,, / Map (Tier 3)
MapNumbers11,34,11:34,24:34,0:34,,,, / Map (Tier 11)
SpiderForest,34,6:4;7:1;11:21;13:5;14:1;16:2,13:22;21:2;23:10,0:34,,,,Evergreen Refuge / Map (Tier 16)
MapNumbers3,32,3:32,24:32,0:32,,,, / Map (Tier 3)
MapNumbers7,32,7:32,24:32,0:32,,,, / Map (Tier 7)
Precinct,32,4:2;9:25;11:2;16:3,13:27;22:1;23:4,0:32,,,,Cyclopean Scum / Map (Tier 16)
Baths,30,4:20;11:1;16:9,12:1;13:29,0:30,,,, / Ceremonial Map (Tier 16)
FrozenCabins,30,10:7;13:19;15:1;16:3,10:1;13:21;23:8,0:30,1:1,2:1,3:1,Godless Depths / Map (Tier 15)
MapNumbers6,30,6:30,24:30,0:30,,,, / Map (Tier 6)
MapNumbers8,30,8:30,24:30,0:30,,,, / Map (Tier 8)
PillarsOfVastiri,30,2:4;6:1;8:1;9:4;10:8;16:12,13:15;21:1;23:11;24:3,0:30,,,, / Map (Tier 16)
SulphurVents,30,5:1;10:19;11:5;14:1;16:4,10:1;13:20;16:1;23:8,0:30,1:1;2:1,2:2,, / Map (Tier 5)
ColdRiver,29,2:16;5:3;8:6;9:3;15:1,13:22;21:7,0:29,,,, / Map (Tier 2)
Arcade,28,7:17;10:2;11:3;13:1;14:1;16:4,13:23;21:1;22:1;23:3,0:28,,,,Whispering Court / Map (Tier 16)
MapNumbers1,28,1:28,24:28,0:28,,,, / Map (Tier 1)
Terrace,28,1:7;8:2;13:18;14:1,10:1;13:18;21:9,0:28,1:1,2:1,,Rugged View / Map (Tier 14)
WastePool,28,2:7;5:1;6:6;9:4;13:4;16:6,13:18;23:10,0:28,3:2,2:2,, / Map (Tier 2)
Chambers,27,1:1;9:8;14:17;16:1,12:1;13:18;21:8,0:27,1:1;3:1;4:1,2:3,, / Antagonist's Map of Balance (Tier 1)
JungleValley,27,4:3;6:13;8:3;11:1;12:1;13:1;14:1;15:1;16:3,10:1;13:17;17:1;21:4;23:4,0:27,4:1,2:1,, / Map (Tier 12)
Wasteland,27,12:24;16:3,13:26;23:1,0:27,,,, / Fleet Map of Deadliness (Tier 16)
Beach,26,3:20;10:1;13:1;14:1;16:3,13:21;21:1;22:3;23:1,0:26,,,2:1;3:1, / Map (Tier 13)
FairgravesMap01,26,4:1;5:6;6:2;16:17,8:1;13:13;21:2;23:5;24:5,0:26,,,,Mao Kun / Map (Tier 16)
MapNumbers12,25,12:25,24:25,0:25,,,,Grim Trail / Map (Tier 12)
musicbox,25,3:3;4:5;11:1;16:16,13:15;21:1;23:8;24:1,0:25,,,,Acton's Nightmare / Map (Tier 16)
MapNumbers9,24,9:24,24:24,0:24,,,, / Map (Tier 9)
ForkingRiver,23,2:19;5:1;9:1;14:1;16:1,10:1;13:22,0:23,3:1,2:1,,Forsaken Shelter / Map (Tier 14)
MaelstromofChaos,23,5:7;6:7;12:1;16:8,8:1;10:2;13:13;21:5;24:2,0:23,,,,Maelström of Chaos / Map (Tier 16)
Palace,23,1:8;3:2;4:2;8:3;9:6;10:1;15:1,10:1;13:13;21:6;23:3,0:23,4:1,2:1,, / Map (Tier 1)
Sanctuary,23,5:5;13:1;15:1;16:16,10:1;13:16;19:1;23:5,0:23,2:1,2:1,, / Map (Tier 13)
MineralPools,22,3:4;10:15;16:3,13:8;23:14,0:22,,,, / Burning Map of Bloodlines (Tier 3)
Museum,22,2:11;9:4;12:5;16:2,13:16;21:2;23:4,0:22,,,, / Map (Tier 2)
PrimevalRuins,22,6:1;7:12;8:1;14:7;16:1,10:1;16:1;23:20,0:22,,,2:1, / Map (Tier 8)
Shrine,22,2:13;9:5;16:4,13:22,0:22,,,3:1, / Map (Tier 2)
Tower,22,4:8;5:8;7:4;14:1;16:1,13:9;14:8;23:5,0:22,,,,Tranquil Dwelling / Map (Tier 14)
WolfMap,22,9:1;12:4;16:17,13:8;23:10;24:4,0:22,,,,"Caer Blaidd, Wolfpack's Den / Map (Tier 16)"
CrimsonTownship,21,6:11;11:4;12:3;13:1;16:2,13:13;21:4;23:4,0:21,,,1:1;3:1, / Map (Tier 6)
MudGeyser,21,8:11;12:5;16:5,10:2;14:11;23:8,0:21,4:2,2:2,,Dire Pit / Map (Tier 16)
Quay,21,8:1;11:6;15:4;16:10,13:10;21:6;23:5,0:21,,,, / Map (Tier 15)
Ghetto,20,4:12;7:3;11:2;12:1;16:2,13:17;16:1;19:1;23:1,0:20,,,, / Map (Tier 11)
Abyss,19,11:17;13:1;16:1,13:18;21:1,0:19,4:1,2:1,,Dire Shard / Map (Tier 16)
Basilica,19,2:9;5:2;9:7;16:1,13:15;21:4,0:19,,,, / Map (Tier 2)
MapNumbers5,19,5:19,24:19,0:19,,,, / Fecund Map (Tier 5)
oba,18,1:5;2:2;10:2;16:9,10:1;13:11;21:3;23:1;24:2,0:18,,,,Oba's Cursed Trove / Map (Tier 16)
DryWoods,17,11:3;13:4;14:1;16:9,10:1;13:8;21:4;23:4,0:17,1:1,2:1,, / Fleet Map of Temporal Chains (Tier 13)
PoorjoysAsylum,17,4:5;11:1;16:11,13:7;23:6;24:4,0:17,,,,Poorjoy's Asylum / Map (Tier 16)
Scriptorium,17,1:13;8:4,21:17,0:17,,,, / Lunar Map of Impotence (Tier 1)
HallowedGround,16,4:5;11:1;16:10,13:8;21:1;23:2;24:5,0:16,,,, / Map (Tier 16)
Academy,15,1:2;8:7;15:3;16:3,21:4;23:11,0:15,,,, / Map (Tier 8)
Arachnid,15,8:8;14:7,21:8;23:7,0:15,1:1;2:1;3:1,2:3,,Sprawling Territory / Map (Tier 14)
Excavation,15,3:8;10:3;16:4,23:15,0:15,4:1,2:1,, / Map (Tier 10)
HallOfGrandmasters,15,2:1;5:4;6:3;13:1;16:6,10:1;13:4;21:1;23:5;24:4,0:15,,,,Hall of Grandmasters / Map (Tier 16)
OvergrownRuin,15,5:8;8:3;12:1;14:1;16:2,10:1;13:14,0:15,3:1,2:1,,Insane Sepulchre / Map (Tier 14)
Ramparts,15,8:4;11:6;15:2;16:3,21:6;23:9,0:15,,,, / Map (Tier 11)
CastleRuins,14,3:3;6:7;10:2;13:1;16:1,21:8;23:6,0:14,,,,Destiny Shelter / Map (Tier 3)
SpiderLair,14,9:14,21:14,0:14,,,, / Map (Tier 9)
SynthesisBossGuardianMap,14,10:13;16:1,23:13;24:1,0:14,,,,Cortex / Map (Tier 16)
TropicalIsland,14,2:9;9:4;16:1,21:5;23:9,0:14,,,, / Map (Tier 16)
Alleyways,13,8:3;15:8;16:2,10:1;21:7;23:5,0:13,2:1,2:1,,Dread Secrets / Map (Tier 15)
Chateau,13,7:6;13:6;16:1,21:6;23:7,0:13,,,, / Map (Tier 16)
ThaumaturgyDungeon,13,11:7;16:6,14:5;21:8,0:13,,,,Ravaged Court / Map (Tier 16)
DeathandTaxes,12,1:1;3:3;10:1;16:7,10:1;13:6;23:4;24:1,0:12,,,,Death and Taxes / Map (Tier 1)
Desert,12,8:7;11:1;16:4,21:7;23:5,0:12,,,,Sweltering Landscape / Map (Tier 16)
Dig,12,10:3;12:8;16:1,13:9;21:3,0:12,3:1,2:1,, / Map (Tier 12)
DryPeninsula,12,12:10;16:2,13:12,0:12,,,, / Map (Tier 16)
MapNumbers14,11,14:11,24:11,0:11,,,,Dire Solitude / Map (Tier 14)
Factory,10,4:3;11:6;16:1,23:10,0:10,,,,Squandered Haven / Map (Tier 16)
FungalCaverns,10,3:9;15:1,10:1;21:9,0:10,4:1,2:1,,Chaos Abyss / Map (Tier 15)
Boulevard,9,1:3;8:4;16:2,10:1;21:7;22:1,0:9,1:1,2:1,,Ravaged Estate / Map (Tier 16)
Corrosion,9,10:3;15:4;16:2,21:3;23:6,0:9,2:1,2:1,3:1;4:1, / Map (Tier 16)
MapNumbers10,9,10:9,24:9,0:9,,,,Savage Crosscut / Map (Tier 10)
Plaza,9,13:4;16:5,13:9,0:9,,,3:1, / Map (Tier 13)
UndeadSiege,9,7:1;14:1;16:7,13:3;23:5;24:1,0:9,,,,The Coward's Trial / Map (Tier 14)
Bog,8,3:8,21:8,0:8,,,, / Map (Tier 3)
UniqueMap1,8,12:2;16:6,13:6;23:2,0:8,,,,Vaults of Atziri / Map (Tier 16)
Beacon,7,13:7,23:7,0:7,,,,Vast Panorama / Map (Tier 13)
Courthouse,7,12:7,21:7,0:7,,,, / Map (Tier 12)
Arena,6,12:4;15:2,14:4;23:2,0:6,,,,Forsaken Zone / Map (Tier 15)
Racecourse,6,7:3;14:3,21:3;23:3,0:6,4:2,2:2,2:1, / Map (Tier 14)
Waterways,6,2:1;9:3;14:1;15:1,10:1;18:1;23:4,0:6,3:1;4:1,2:2,,Ghost Ziggurat / Map (Tier 15)
Celestial,5,3:1;14:1;16:3,13:1;23:2;24:2,0:5,,,, / Map (Tier 16)
Core,5,2:2;9:1;16:2,22:1;23:4,0:5,,,,Dark Frontier / Map (Tier 16)
Residence,5,9:3;14:2,21:2;23:3,0:5,,,, / Map (Tier 9)
SulphurWastes,5,10:5,21:5,0:5,,,, / Enthralled Map of Vulnerability (Tier 10)
SynthesisGolemGuardianMap,5,10:3;11:1;16:1,21:1;23:3;24:1,0:5,,,,Rewritten Distant Memory / Map (Tier 16)
Tribunal,5,10:2;11:2;16:1,21:2;23:3,0:5,,,, / Map (Tier 16)
Villa,5,9:5,23:5,0:5,,,,Untouched Crate / Map (Tier 9)
SynthesisColdGuardianMap,4,10:4,13:1;23:3,0:4,,,, / Map (Tier 10)
SynthesisFireGuardianMap,4,10:2;16:2,13:1;23:1;24:2,0:4,,,, / Map (Tier 16)
Colonnade,3,5:2;12:1,21:3,0:3,,,, / Map (Tier 5)
Pier,3,11:3,21:3,0:3,,,, / Map (Tier 11)
PutridCloister,3,2:2;16:1,13:2;23:1,0:3,,,,The Putrid Cloister / Map (Tier 16)
Quarry,3,12:3,21:3,0:3,,,, / Map (Tier 12)
CrystalOre,2,14:1;16:1,10:1;21:1,0:2,2:1,2:1,,Grim Rupture / Map (Tier 14)
SynthesisLightningGuardianMap,2,16:2,24:2,0:2,,,,Twisted Distant Memory / Map (Tier 16)
HighGardens,1,14:1,17:1,0:1,,,, / Map (Tier 14)
TheVinktarSquare,1,5:1,21:1,0:1,,,,The Vinktar Square / Map (Tier 5)
