# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
path,items,share,types,by_frame_type,example
requirements[],19879,0.550,object:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,"{""displayMode"": 0, ""name"": ""Level"", ""type"": 62, ""values"": [[""67"", 0]]}"
requirements[].displayMode,19879,0.550,int:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,0
requirements[].name,19879,0.550,string:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,Level
requirements[].values,19879,0.550,array:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,"[[""67"", 0]]"
requirements[].values[],19879,0.550,array:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,"[""67"", 0]"
requirements[].values[][],19879,0.550,string:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,67
requirements[].type,19735,0.546,int:19735,Gem:7018;Rare:4725;Unique:4482;Magic:1941;Normal:1562;SupporterFoil:6;Currency:1,62
flavourText,10259,0.284,array:10259,Unique:5718;Normal:1575;Rare:1444;DivinationCard:884;Magic:348;Currency:274;Gem:8;SupporterFoil:6;Quest:2,"[""To truly appreciate life you must be there when it ends""]"
flavourText[],10259,0.284,string:10259,Unique:5718;Normal:1575;Rare:1444;DivinationCard:884;Magic:348;Currency:274;Gem:8;SupporterFoil:6;Quest:2,To truly appreciate life you must be there when it ends
implicitMods,7733,0.214,array:7733,Rare:3378;Unique:2905;Normal:891;Magic:555;SupporterFoil:3;Currency:1,"[{""description"": ""+16 to maximum Life""}]"
implicitMods[],7733,0.214,object:7733,Rare:3378;Unique:2905;Normal:891;Magic:555;SupporterFoil:3;Currency:1,"{""description"": ""+16 to maximum Life""}"
implicitMods[].description,7733,0.214,string:7733,Rare:3378;Unique:2905;Normal:891;Magic:555;SupporterFoil:3;Currency:1,+16 to maximum Life
monsterLevel,7679,0.212,int:7679,Normal:4721;Rare:1776;Magic:828;Unique:353;SupporterFoil:1,83
secDescrText,7040,0.195,string:7040,Gem:7040,Casts an aura that grants additional energy shield and increased energy shield r
support,7040,0.195,bool:7040,Gem:7040,false
sockets,5922,0.164,array:5922,Unique:3104;Rare:2439;Magic:182;Normal:152;Gem:23;Currency:19;SupporterFoil:3,"[{""attr"": ""S"", ""group"": 0, ""sColour"": ""R""}, {""attr"": ""D"", ""group"": 0, ""sColour"":"
sockets[],5918,0.164,object:5918,Unique:3104;Rare:2436;Magic:182;Normal:151;Gem:23;Currency:19;SupporterFoil:3,"{""attr"": ""S"", ""group"": 0, ""sColour"": ""R""}"
sockets[].group,5918,0.164,int:5918,Unique:3104;Rare:2436;Magic:182;Normal:151;Gem:23;Currency:19;SupporterFoil:3,0
sockets[].attr,5894,0.163,string:5894,Unique:3104;Rare:2436;Magic:181;Normal:151;Currency:19;SupporterFoil:3,S
sockets[].sColour,5894,0.163,string:5894,Unique:3104;Rare:2436;Magic:181;Normal:151;Currency:19;SupporterFoil:3,R
additionalProperties,5217,0.144,array:5217,Gem:5214;Currency:3,"[{""displayMode"": 2, ""name"": ""Experience"", ""progress"": 1, ""type"": 20, ""values"": ["
additionalProperties[],5217,0.144,object:5217,Gem:5214;Currency:3,"{""displayMode"": 2, ""name"": ""Experience"", ""progress"": 1, ""type"": 20, ""values"": [["
additionalProperties[].displayMode,5217,0.144,int:5217,Gem:5214;Currency:3,2
additionalProperties[].name,5217,0.144,string:5217,Gem:5214;Currency:3,Experience
additionalProperties[].type,5217,0.144,int:5217,Gem:5214;Currency:3,20
additionalProperties[].values,5217,0.144,array:5217,Gem:5214;Currency:3,"[[""59146/59146"", 0]]"
additionalProperties[].values[],5217,0.144,array:5217,Gem:5214;Currency:3,"[""59146/59146"", 0]"
additionalProperties[].values[][],5217,0.144,string:5217,Gem:5214;Currency:3,59146/59146
additionalProperties[].progress,5214,0.144,float:3135;int:2079,Gem:5214,1
corrupted,3511,0.097,bool:3511,Gem:1460;Rare:1353;Unique:597;Normal:56;Magic:43;SupporterFoil:2,true
maxStackSize,2749,0.076,int:2749,Currency:1322;DivinationCard:884;Normal:543,10
stackSize,2749,0.076,int:2749,Currency:1322;DivinationCard:884;Normal:543,1
utilityMods,2613,0.072,array:2613,Magic:1233;Normal:1077;Unique:303,"[""+5% to maximum Fire Resistance"", ""+40% to Fire Resistance""]"
utilityMods[],2613,0.072,string:2613,Magic:1233;Normal:1077;Unique:303,+5% to maximum Fire Resistance
socket,1978,0.055,int:1978,Gem:1965;Rare:12;Currency:1,0
colour,1958,0.054,string:1946;null:12,Gem:1946;Rare:12,I
enchantMods,1686,0.047,array:1686,Rare:1084;Magic:287;Unique:171;Normal:142;SupporterFoil:2,"[""Allocates Arcane Potency""]"
enchantMods[],1686,0.047,string:1686,Rare:1084;Magic:287;Unique:171;Normal:142;SupporterFoil:2,Allocates Arcane Potency
explicitMods[].flags,1195,0.033,object:1195,Rare:1059;Unique:87;Magic:49,"{""crafted"": true}"
explicitMods[].flags.crafted,909,0.025,bool:909,Rare:876;Magic:24;Unique:9,true
artFilename,884,0.024,string:884,DivinationCard:884,TheTower
influences,764,0.021,object:764,Rare:718;Unique:41;Magic:3;Normal:2,"{""shaper"": true}"
hybrid,680,0.019,object:680,Gem:680,"{""baseTypeName"": ""Discipline"", ""explicitMods"": [""Base duration is 3.00 seconds"","
hybrid.baseTypeName,680,0.019,string:680,Gem:680,Discipline
hybrid.explicitMods,680,0.019,array:680,Gem:680,"[""Base duration is 3.00 seconds"", ""Modifiers to Buff Duration also apply to this"
hybrid.explicitMods[],680,0.019,string:680,Gem:680,Base duration is 3.00 seconds
hybrid.secDescrText,680,0.019,string:680,Gem:680,Casts a temporary aura that prevents energy shield recharge being delayed by dam
hybrid.properties,646,0.018,array:646,Gem:646,"[{""displayMode"": 0, ""name"": ""Cooldown Time"", ""values"": [[""0.50 sec"", 0]]}, {""dis"
hybrid.properties[],646,0.018,object:646,Gem:646,"{""displayMode"": 0, ""name"": ""Cooldown Time"", ""values"": [[""0.50 sec"", 0]]}"
hybrid.properties[].displayMode,646,0.018,int:646,Gem:646,0
hybrid.properties[].name,646,0.018,string:646,Gem:646,Cooldown Time
hybrid.properties[].values,646,0.018,array:646,Gem:646,"[[""0.50 sec"", 0]]"
hybrid.properties[].values[],646,0.018,array:646,Gem:646,"[""0.50 sec"", 0]"
hybrid.properties[].values[][],646,0.018,string:646,Gem:646,0.50 sec
ultimatumMods,554,0.015,array:554,Currency:554,"[{""tier"": 1, ""type"": ""Flamethrower""}, {""tier"": 3, ""type"": ""FrostInfection""}, {""t"
ultimatumMods[],554,0.015,object:554,Currency:554,"{""tier"": 1, ""type"": ""Flamethrower""}"
ultimatumMods[].tier,554,0.015,int:554,Currency:554,1
ultimatumMods[].type,554,0.015,string:554,Currency:554,Flamethrower
hybrid.isVaalGem,540,0.015,bool:540,Gem:540,true
requirements[].suffix,533,0.015,string:533,Rare:257;Unique:242;Normal:19;Magic:13;SupporterFoil:2,(gem)
nextLevelRequirements,317,0.009,array:317,Gem:317,"[{""displayMode"": 0, ""name"": ""Level"", ""values"": [[""21"", 0]]}, {""displayMode"": 1,"
nextLevelRequirements[],317,0.009,object:317,Gem:317,"{""displayMode"": 0, ""name"": ""Level"", ""values"": [[""21"", 0]]}"
nextLevelRequirements[].displayMode,317,0.009,int:317,Gem:317,0
nextLevelRequirements[].name,317,0.009,string:317,Gem:317,Level
nextLevelRequirements[].values,317,0.009,array:317,Gem:317,"[[""21"", 0]]"
nextLevelRequirements[].values[],317,0.009,array:317,Gem:317,"[""21"", 0]"
nextLevelRequirements[].values[][],317,0.009,string:317,Gem:317,21
synthesised,276,0.008,bool:276,Unique:181;Rare:92;Normal:2;Magic:1,true
fractured,273,0.008,bool:273,Rare:248;Magic:25,true
explicitMods[].flags.fractured,266,0.007,bool:266,Rare:241;Magic:25,true
itemLevel,263,0.007,int:263,Rare:158;Currency:105,81
abyssJewel,219,0.006,bool:219,Rare:187;Magic:23;Unique:9,true
elder,215,0.006,bool:215,Rare:197;Unique:18,true
influences.elder,215,0.006,bool:215,Rare:197;Unique:18,true
influences.shaper,198,0.005,bool:198,Rare:168;Unique:26;Normal:2;Magic:2,true
shaper,198,0.005,bool:198,Rare:168;Unique:26;Normal:2;Magic:2,true
note,184,0.005,string:184,Rare:84;Currency:60;Unique:34;Magic:4;Gem:2,~price 1 facetors
memoryItem,124,0.003,bool:124,Rare:63;Normal:44;Magic:17,true
influences.hunter,115,0.003,bool:115,Rare:114;Unique:1,true
tangled,104,0.003,bool:104,Rare:97;Unique:7,true
searing,102,0.003,bool:102,Rare:95;Unique:7,true
incubatedItem,99,0.003,object:99,Rare:53;Unique:43;Magic:1;Normal:1;SupporterFoil:1,"{""level"": 65, ""name"": ""Labyrinth Item"", ""progress"": 1363, ""total"": 4334}"
incubatedItem.level,99,0.003,int:99,Rare:53;Unique:43;Magic:1;Normal:1;SupporterFoil:1,65
incubatedItem.name,99,0.003,string:99,Rare:53;Unique:43;Magic:1;Normal:1;SupporterFoil:1,Labyrinth Item
incubatedItem.progress,99,0.003,int:99,Rare:53;Unique:43;Magic:1;Normal:1;SupporterFoil:1,1363
incubatedItem.total,99,0.003,int:99,Rare:53;Unique:43;Magic:1;Normal:1;SupporterFoil:1,4334
realm,98,0.003,string:98,Gem:42;Magic:25;Rare:16;Normal:13;Currency:1;Unique:1,poe2
influences.warlord,89,0.002,bool:89,Rare:88;Unique:1,true
influences.crusader,81,0.002,bool:81,Rare:80;Unique:1,true
influences.redeemer,80,0.002,bool:80,Rare:78;Magic:1;Unique:1,true
explicitMods[].flags.mutated,78,0.002,bool:78,Unique:78,true
mutated,78,0.002,bool:78,Unique:78,true
crucible,62,0.002,object:62,Rare:30;Unique:14;Magic:11;Normal:7,"{""layout"": ""https://web.poecdn.com/gen/image/WzI5LDE0LHsiYiI6NDQ3LCJhIjozLCJsIjo"
crucible.layout,62,0.002,string:62,Rare:30;Unique:14;Magic:11;Normal:7,https://web.poecdn.com/gen/image/WzI5LDE0LHsiYiI6NDQ3LCJhIjozLCJsIjozMTU0MCwiciI
crucible.nodes,62,0.002,object:62,Rare:30;Unique:14;Magic:11;Normal:7,"{""0"": {""allocated"": true, ""icon"": ""Art/2DArt/SkillIcons/passives/hellfire.png"","
crucible.nodes.{n},62,0.002,object:62,Rare:30;Unique:14;Magic:11;Normal:7,"{""allocated"": true, ""icon"": ""Art/2DArt/SkillIcons/passives/hellfire.png"", ""in"":"
crucible.nodes.{n}.allocated,62,0.002,bool:62,Rare:30;Unique:14;Magic:11;Normal:7,true
crucible.nodes.{n}.icon,62,0.002,string:62,Rare:30;Unique:14;Magic:11;Normal:7,Art/2DArt/SkillIcons/passives/hellfire.png
crucible.nodes.{n}.in,62,0.002,array:62,Rare:30;Unique:14;Magic:11;Normal:7,
crucible.nodes.{n}.in[],62,0.002,string:62,Rare:30;Unique:14;Magic:11;Normal:7,0
crucible.nodes.{n}.orbit,62,0.002,int:62,Rare:30;Unique:14;Magic:11;Normal:7,0
crucible.nodes.{n}.orbitIndex,62,0.002,int:62,Rare:30;Unique:14;Magic:11;Normal:7,0
crucible.nodes.{n}.out,62,0.002,array:62,Rare:30;Unique:14;Magic:11;Normal:7,"[""1"", ""2""]"
crucible.nodes.{n}.out[],62,0.002,string:62,Rare:30;Unique:14;Magic:11;Normal:7,1
crucible.nodes.{n}.skill,62,0.002,int:62,Rare:30;Unique:14;Magic:11;Normal:7,55254
crucible.nodes.{n}.stats,62,0.002,array:62,Rare:30;Unique:14;Magic:11;Normal:7,"[""Adds 9 to 14 Fire Damage to Spells""]"
crucible.nodes.{n}.stats[],62,0.002,string:62,Rare:30;Unique:14;Magic:11;Normal:7,Adds 9 to 14 Fire Damage to Spells
crucible.nodes.{n}.tier,62,0.002,int:62,Rare:30;Unique:14;Magic:11;Normal:7,3
crucibleMods,62,0.002,array:62,Rare:30;Unique:14;Magic:11;Normal:7,"[""Adds 9 to 14 Fire Damage to Spells"", ""6% more Cast Speed""]"
crucibleMods[],62,0.002,string:62,Rare:30;Unique:14;Magic:11;Normal:7,Adds 9 to 14 Fire Damage to Spells
unmodifiable,59,0.002,bool:59,Magic:34;Rare:13;Unique:10;Normal:1;SupporterFoil:1,true
veiled,55,0.002,bool:55,Rare:48;Unique:7,true
veiledMods,55,0.002,array:55,Rare:48;Unique:7,"[""Suffix02""]"
veiledMods[],55,0.002,string:55,Rare:48;Unique:7,Suffix02
duplicated,54,0.001,bool:54,Rare:44;Normal:7;Magic:2;Unique:1,true
gemTabs,42,0.001,array:42,Gem:42,"[{""name"": ""Bow Shot"", ""pages"": [{""skillName"": ""Bow Shot""}]}]"
gemTabs[],42,0.001,object:42,Gem:42,"{""name"": ""Bow Shot"", ""pages"": [{""skillName"": ""Bow Shot""}]}"
gemTabs[].name,42,0.001,string:42,Gem:42,Bow Shot
gemTabs[].pages,42,0.001,array:42,Gem:42,"[{""skillName"": ""Bow Shot""}]"
gemTabs[].pages[],42,0.001,object:42,Gem:42,"{""skillName"": ""Bow Shot""}"
gemTabs[].pages[].skillName,42,0.001,string:42,Gem:42,Bow Shot
unmodifiableExceptChaos,42,0.001,bool:42,Rare:42,true
gemTabs[].pages[].stats,41,0.001,array:41,Gem:41,"[""Supported Skills [Chain] +1 times"", ""Supported Skills deal 30% less Damage wit"
gemTabs[].pages[].stats[],41,0.001,string:41,Gem:41,Supported Skills [Chain] +1 times
crucible.nodes.{n}.isNotable,33,0.001,bool:33,Rare:17;Unique:8;Magic:6;Normal:2,true
sockets[].type,24,0.001,string:24,Gem:23;Magic:1,gem
gemSkill,23,0.001,string:23,Gem:23,https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQXJ0L1NraWxsSWNvbnMvQm93RGV
gemSockets,23,0.001,array:23,Gem:23,"[""W"", ""W""]"
gemSockets[],23,0.001,string:23,Gem:23,W
replica,20,0.001,bool:20,Unique:20,true
socketedIcon,20,0.001,string:20,Gem:19;Currency:1,https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQXJ0L1VJSW1hZ2VzL0luR2FtZS9
stackSizeText,20,0.001,string:20,Currency:20,29.8K
delve,19,0.001,bool:19,Currency:19,true
supportGemRequirements,19,0.001,array:19,Gem:19,"[{""displayMode"": 0, ""name"": ""+5 [Dexterity|Dex]"", ""type"": 64, ""values"": [[""(5)"","
supportGemRequirements[],19,0.001,object:19,Gem:19,"{""displayMode"": 0, ""name"": ""+5 [Dexterity|Dex]"", ""type"": 64, ""values"": [[""(5)"","
supportGemRequirements[].displayMode,19,0.001,int:19,Gem:19,0
supportGemRequirements[].name,19,0.001,string:19,Gem:19,+5 [Dexterity|Dex]
supportGemRequirements[].type,19,0.001,int:19,Gem:19,64
supportGemRequirements[].values,19,0.001,array:19,Gem:19,"[[""(5)"", 0]]"
supportGemRequirements[].values[],19,0.001,array:19,Gem:19,"[""(5)"", 0]"
supportGemRequirements[].values[][],19,0.001,string:19,Gem:19,(5)
crucible.nodes.{n}.isReward,16,0.000,bool:16,Rare:6;Unique:5;Magic:4;Normal:1,true
gemBackground,16,0.000,string:16,Gem:16,https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQXJ0L1VJSW1hZ2VzL0luR2FtZS9
iconTierText,16,0.000,string:16,Gem:16,I
scourged,14,0.000,object:14,Unique:9;Rare:5,"{""tier"": 3}"
scourged.tier,14,0.000,int:14,Unique:9;Rare:5,3
scourgeMods,12,0.000,array:12,Unique:8;Rare:4,"[""17% reduced Attribute Requirements"", ""-27% to Fire Resistance""]"
scourgeMods[],12,0.000,string:12,Unique:8;Rare:4,17% reduced Attribute Requirements
builtInSupport,11,0.000,string:11,Gem:11,Supported by Level 1 Mana Leech
gemTabs[].pages[].properties,8,0.000,array:8,Gem:8,"[{""displayMode"": 0, ""name"": ""Attack Damage"", ""values"": [[""60%"", 0]]}]"
foilVariation,7,0.000,int:7,SupporterFoil:7,1
isRelic,7,0.000,bool:7,SupporterFoil:7,true
scourged.level,6,0.000,int:6,Unique:3;Rare:3,68
scourged.progress,6,0.000,int:6,Unique:3;Rare:3,3652
scourged.total,6,0.000,int:6,Unique:3;Rare:3,179749
weaponRequirements,6,0.000,array:6,Gem:6,"[{""displayMode"": 0, ""name"": """", ""type"": 96, ""values"": [[""[Bow]"", 0]]}]"
weaponRequirements[],6,0.000,object:6,Gem:6,"{""displayMode"": 0, ""name"": """", ""type"": 96, ""values"": [[""[Bow]"", 0]]}"
weaponRequirements[].displayMode,6,0.000,int:6,Gem:6,0
weaponRequirements[].name,6,0.000,string:6,Gem:6,
weaponRequirements[].type,6,0.000,int:6,Gem:6,96
weaponRequirements[].values,6,0.000,array:6,Gem:6,"[[""[Bow]"", 0]]"
weaponRequirements[].values[],6,0.000,array:6,Gem:6,"[""[Bow]"", 0]"
weaponRequirements[].values[][],6,0.000,string:6,Gem:6,[Bow]
gemTabs[].pages[].properties[],4,0.000,object:4,Gem:4,"{""displayMode"": 0, ""name"": ""Attack Damage"", ""values"": [[""60%"", 0]]}"
gemTabs[].pages[].properties[].displayMode,4,0.000,int:4,Gem:4,0
gemTabs[].pages[].properties[].name,4,0.000,string:4,Gem:4,Attack Damage
gemTabs[].pages[].properties[].values,4,0.000,array:4,Gem:4,"[[""60%"", 0]]"
gemTabs[].pages[].properties[].values[],4,0.000,array:4,Gem:4,"[""60%"", 0]"
gemTabs[].pages[].properties[].values[][],4,0.000,string:4,Gem:4,60%
grantedSkills,4,0.000,array:4,Rare:3;Normal:1,"[{""displayMode"": 0, ""icon"": ""https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6Ij"
grantedSkills[],4,0.000,object:4,Rare:3;Normal:1,"{""displayMode"": 0, ""icon"": ""https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJ"
grantedSkills[].displayMode,4,0.000,int:4,Rare:3;Normal:1,0
grantedSkills[].icon,4,0.000,string:4,Rare:3;Normal:1,https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQXJ0L1NraWxsSWNvbnMvV2l0Y2h
grantedSkills[].name,4,0.000,string:4,Rare:3;Normal:1,Grants Skill
grantedSkills[].values,4,0.000,array:4,Rare:3;Normal:1,"[[""Level 4 Skeletal Warrior Minion"", 25]]"
grantedSkills[].values[],4,0.000,array:4,Rare:3;Normal:1,"[""Level 4 Skeletal Warrior Minion"", 25]"
grantedSkills[].values[][],4,0.000,string:4,Rare:3;Normal:1,Level 4 Skeletal Warrior Minion
split,4,0.000,bool:4,Rare:4,true
iconStackLevel,2,0.000,string:2,Normal:2,L:83
mercenarySkills,2,0.000,array:2,Normal:2,"[{""hash"": 63468, ""icon"": ""https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQ"
mercenarySkills[],2,0.000,object:2,Normal:2,"{""hash"": 63468, ""icon"": ""https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQX"
mercenarySkills[].hash,2,0.000,int:2,Normal:2,63468
mercenarySkills[].icon,2,0.000,string:2,Normal:2,https://web.poecdn.com/gen/image/WzIxLDE0LHsiayI6IjJEQXJ0L1NraWxsSWNvbnMvRGFya1J
mercenarySkills[].name,2,0.000,string:2,Normal:2,Bane
mercenarySkills[].supports,2,0.000,array:2,Normal:2,"[{""hash"": 64281, ""name"": ""Swift Affliction"", ""tier"": 2}, {""hash"": 53342, ""name"":"
mercenarySkills[].supports[],2,0.000,object:2,Normal:2,"{""hash"": 64281, ""name"": ""Swift Affliction"", ""tier"": 2}"
mercenarySkills[].supports[].hash,2,0.000,int:2,Normal:2,64281
mercenarySkills[].supports[].name,2,0.000,string:2,Normal:2,Swift Affliction
mercenarySkills[].supports[].tier,2,0.000,int:2,Normal:2,2
bondedMods,1,0.000,array:1,Currency:1,"[""[ShamanOnlyMods|Bonded]:"", ""[MartialWeapon|Martial Weapon]: 30% increased [Ign"
bondedMods[],1,0.000,string:1,Currency:1,[ShamanOnlyMods|Bonded]:
enshrouded,1,0.000,object:1,Currency:1,"{""total"": 2240, ""progress"": 0, ""unique"": ""Ondar's Flight""}"
enshrouded.progress,1,0.000,int:1,Currency:1,0
enshrouded.total,1,0.000,int:1,Currency:1,2240
enshrouded.unique,1,0.000,string:1,Currency:1,Ondar's Flight
gemTabs[].pages[].description,1,0.000,string:1,Gem:1,"Detonate an allied [Minion] whose current Life is below a threshold, dealing hea"
properties[].suffix,1,0.000,string:1,Currency:1,humanoid
rewards,1,0.000,array:1,Normal:1,"[{""label"": ""Rewards on Floor Completion"", ""rewards"": {""blessed"": 8}}, {""label"":"
rewards[],1,0.000,object:1,Normal:1,"{""label"": ""Rewards on Floor Completion"", ""rewards"": {""blessed"": 8}}"
rewards[].label,1,0.000,string:1,Normal:1,Rewards on Floor Completion
rewards[].rewards,1,0.000,object:1,Normal:1,"{""blessed"": 8}"
rewards[].rewards.alt,1,0.000,int:1,Normal:1,30
rewards[].rewards.blessed,1,0.000,int:1,Normal:1,8
runeMods,1,0.000,array:1,Magic:1,"[""+14% to [Resistances|Fire Resistance]"", ""[ShamanOnlyMods|Bonded]: +20 to maxim"
runeMods[],1,0.000,string:1,Magic:1,+14% to [Resistances|Fire Resistance]
vestigial,1,0.000,bool:1,Currency:1,true
