row_key,name,base,league,entries_bound,variants_considered,selections_considered,fitting_labels,outcome_strict,either_strict,fitting_selections,outcome,either,moved_by,lines_rescaled,catalyst_quality,catalyst_descriptor,catalyst_percent,other_arrays,fit_line_flags,none_reason,none_line
2d961d6e55f7,Inextricable Fate,Fugitive Boots,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
ce41796ba49a,Wake of Destruction,Mesh Boots,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
2d32e791c698,Scornflux,Satin Slippers,Standard,1,1,1,,none,no,,none,no,,0,no,,,,,no-text-match,Misty Footprints
eb1485e4881e,Veruso's Ambition,Shackled Boots,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9e7c08f76d1b,Legacy of Fury,Wyrmscale Boots,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
e6c9f919e25a,Bubonic Trail,Murder Boots,Standard,1,4,4,Two Abyssal Sockets (Current),one,no,Two Abyssal Sockets (Current),one,no,,0,no,,,,,,
72dee224a904,Seven-League Step,Rawhide Boots,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
58ee6151cb77,Giantsbane,Bronze Gauntlets,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
4f08428f760e,Allelopathy,Satin Gloves,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
a0d64a99d9b1,Painseeker,Shagreen Gloves,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
5de30b3ecc91,Kaom's Spirit,Titan Gauntlets,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
797fca8fe2c8,Veruso's Battering Rams,Titan Gauntlets,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9a0d07eb409c,Haemophilia,Serpentscale Gauntlets,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
cace133ed390,Null and Void,Legion Gloves,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
f69553067fc3,Demon Stitcher,Satin Gloves,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
b728d601b0c5,Sadima's Touch,Wool Gloves,Standard,1,4,4,,none,no,,none,no,,0,no,,,,,number-outside-range,5% increased Rarity of Items found
6d34c819247d,Stormseeker,Ambush Mitts,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9ff993652bf0,Hrimsorrow,Goathide Gloves,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
c9fe6c57181b,Doedre's Tenure,Velvet Gloves,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
6c56f1d41027,Quecholli,Jagged Maul,Standard,1,2,2,,none,no,,none,no,,0,no,,,,,no-text-match,"Enemies Killed with Attack or Spell Hits Explode, dealing 10% of their Life as Fire Damage"
fca1d80f75fd,Axiom Perpetuum,Bronze Sceptre,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
2e62e5e78c38,Flesh-Eater,Dream Mace,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
20c719835146,The Wasp Nest,Throat Stabber,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
f09e209ad9aa,Touch of Anguish,Imperial Claw,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
08d30c94d977,Allure,Vaal Claw,Standard,1,2,2,,none,no,,none,no,,0,no,,,,,no-text-match,Adds 17 to 34 Fire Damage
5a62b0320470,Cybil's Paw,Thresher Claw,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
decd14817e68,Foulborn Hand of Thought and Motion,Imperial Claw,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,mutated,,
6ed70d5b73f2,Cane of Unravelling,Ezomyte Staff,Standard,1,5,5,Pre 3.29.0,one,no,Pre 3.29.0,one,no,,0,no,,,,,,
83f3d0314023,Soulwrest,Ezomyte Staff,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
0ca3058e7a6a,Dying Breath,Iron Staff,Standard,1,3,3,,none,no,,none,no,,0,no,,,,,number-outside-range,13% increased Cast Speed
abaeb180e5e3,Agnerod East,Imperial Staff,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
8e539d44cd97,Agnerod South,Imperial Staff,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
22daf2ebaa48,The Unseen Hue,Opal Ring,Standard,1,3,3,Brittle,one,no,Brittle,one,no,,0,no,,,,,,
66ece7c5162d,Sibyl's Lament,Coral Ring,Standard,1,5,5,,none,no,,none,no,,0,no,,,,,no-text-match,Grants Level 21 Wrath Skill
72024a01efe2,Circle of Nostalgia,Amethyst Ring,Standard,1,7,28,,none,no,,none,no,,0,no,,,,,no-text-match,+12 to Intelligence
64b214e7fa8f,Snakepit,Sapphire Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
8fc9a03ec083,Circle of Guilt,Iron Ring,Standard,1,7,28,,none,no,,none,no,,0,no,,,,,no-text-match,+7 to Strength
acf5c9e8efab,Rigwald's Crest,Two-Stone Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
cff2e9ac21cb,Tasalio's Sign,Sapphire Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
107b447d02aa,Andvarius,Gold Ring,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
4be93968b121,Circle of Anguish,Ruby Ring,Standard,1,7,28,,none,no,,none,no,,0,no,,,,,no-text-match,+8 to Dexterity
74447b9afc98,Kikazaru,Topaz Ring,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
a5c7896cb858,Mark of the Shaper,Opal Ring,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
b44963be213b,Thief's Torment,Prismatic Ring,Standard,1,6,6,Current,one,no,Current,one,no,,0,no,,,,,,
13407d6e24f3,Ventor's Gamble,Gold Ring,Standard,1,2,2,,none,no,,none,no,,0,no,,,,,no-text-match,9% increased Mana Reservation Efficiency of Skills
7537ce3e681a,Call of the Brotherhood,Two-Stone Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
cec1fa619084,Lori's Lantern,Prismatic Ring,Standard,1,2,2,Current;Pre 1.0.0,several,yes,Current;Pre 1.0.0,several,yes,,0,no,,,,,,
6298a5461fb5,Mokou's Embrace,Ruby Ring,Standard,1,2,2,,none,no,,none,no,,0,no,,,,,no-text-match,Grants Level 23 Conductivity Skill
d297e38748a2,Circle of Regret,Topaz Ring,Standard,1,7,28,,none,no,,none,no,,0,no,,,,,no-text-match,-21 Lightning Damage taken from Hits
af9951e8a06e,The Will of Xoph,Enthalpic Ring,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
97e7d02b847c,Putembo's Mountain,Topaz Ring,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
155a7846ca94,Betrayal's Sting,Steel Ring,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
196163e12dea,Timeclasp,Moonstone Ring,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
deb6260e62e6,Le Heup of All,Iron Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
9d5628057286,Ngamahu's Sign,Ruby Ring,Standard,1,4,4,Pre 3.29.0,one,no,Pre 3.29.0,one,no,,0,no,,,,,,
fae98e7f8ea1,Doedre's Damning,Paua Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
2df1a185c6da,Blackheart,Iron Ring,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
056b1b59de05,Karui Ward,Jade Amulet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
e173fd44f36d,Leadership's Price,Onyx Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
bf1b0b10683b,Bonemeld,Marble Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
920db588d89a,Replica Dragonfang's Flight,Onyx Amulet,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
7d877c472bcb,Eye of Chayula,Onyx Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
78516f410978,Carnage Heart,Onyx Amulet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
b66e4dc36af6,The Primordial Chain,Coral Amulet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
0be1bc494699,Atziri's Foible,Paua Amulet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
625c8a1436f2,The Anvil,Amber Amulet,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
e8325f9a0490,The Aylardex,Agate Amulet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
069a02c0a03a,Blightwell,Clutching Talisman,Standard,1,3,3,Pre 3.29.0,one,no,Pre 3.29.0,one,no,,0,no,,,,,,
0936d3af9a17,Bloodsoaked Medallion,Amber Amulet,Standard,1,1,1,,none,no,,none,no,,0,no,,,,,number-outside-range,33% increased Global Critical Strike Chance
1d99715edba0,Doedre's Tongue,Lapis Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
1208d497e01f,Victario's Acuity,Turquoise Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
851ba553bbe9,Ikiaho's Promise,Coral Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
32253274c7ad,Ashes of the Stars,Onyx Amulet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
90588508e595,Replica Karui Ward,Jade Amulet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,enchantMods,,,
55e714994e9f,Roth's Reach,Recurve Bow,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
620c4860d3ef,The Bane of Hope,Maraketh Bow,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9e0f2b0ff2e5,Piscator's Vigil,Kinetic Wand,Standard,1,5,5,Current,one,no,Current,one,no,,0,no,,,,,,
0717559ef61a,Void Battery,Prophecy Wand,Standard,1,3,3,Pre 3.29.0,one,no,Pre 3.29.0,one,no,,0,no,,,,,,
d306f82b245a,Ashcaller,Goat's Horn,Standard,1,5,5,Current,one,no,Current,one,no,,0,no,,,,,,
d03aa8f36997,Lifesprig,Driftwood Wand,Standard,1,1,1,,none,no,,none,no,,0,no,,,,,no-text-match,Regenerate 8 Life over 1 second when you Cast a Spell
9e77b90de893,The Oppressor,Elegant Round Shield,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
22f4aeb2a071,The Deep One's Hide,Studded Round Shield,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
ffc1861146d8,The Eternal Apple,Chiming Spirit Shield,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
35a34aee3df6,Dawnbreaker,Colossal Tower Shield,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
656c35027d62,Light of Lunaris,Jingling Spirit Shield,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
13d156866836,Sentari's Answer,Brass Spirit Shield,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
5a5380d58cac,Perepiteia,Ezomyte Spiked Shield,Standard,1,1,1,,none,no,,none,no,,0,no,,,,,no-text-match,+6 to all Attributes
b1aa98b6e036,Thousand Teeth Temu,Vaal Buckler,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
0b70ecb82181,Rise of the Phoenix,Mosaic Kite Shield,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
5335e5a1218b,Crest of Perandus,Pine Buckler,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
a28a4100e7cf,Aegis Aurora,Champion Kite Shield,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
680385aa93d1,Asphyxia's Wrath,Feathered Arrow Quiver,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
4d048284a812,Scorpion's Call,Heavy Arrow Quiver,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
673956b22f54,Hyrri's Bite,Sharktooth Arrow Quiver,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
7d51e1f44c89,Saemus' Gift,Feathered Arrow Quiver,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
102bbaf645f2,Wings of Entropy,Ezomyte Axe,Standard,1,6,6,Current,one,no,Current,one,no,,0,no,,,,,,
c58d9a56fb35,Relentless Fury,Decorative Axe,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
f5adea3e914d,Hezmana's Bloodlust,Vaal Axe,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
4764d2d8efbb,Moonbender's Wing,Tomahawk,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
73c9caa0907b,Devoto's Devotion,Nightmare Bascinet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
ce23489f2e80,Forbidden Shako,Great Crown,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
49d25a3633e2,Abyssus,Ezomyte Burgonet,Standard,1,3,3,Current;Pre 2.2.0,several,yes,Current;Pre 2.2.0,several,yes,,0,no,,,,,,
a7efea36baa8,Fairgraves' Tricorne,Tricorne,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
ba08a68406e7,Lightpoacher,Great Crown,Standard,1,4,4,One Abyssal Socket (Current),one,no,One Abyssal Socket (Current),one,no,,0,no,,,,,,
63fde1fa65ee,Usurper's Penance,Eternal Burgonet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
fd16b503e12e,Honourhome,Soldier Helmet,Standard,1,4,4,Pre 3.29.0,one,no,Pre 3.29.0,one,no,,0,no,,,,,,
397287e8950f,The Baron,Close Helmet,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
dd3dd44a9f31,Skullhead,Secutor Helm,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
c87e1338f395,Black Sun Crest,Lacquered Helmet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
debcab162104,Goldrim,Leather Cap,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
80ce7646ca0b,The Broken Crown,Prophet Crown,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
bf0383a18c0f,Mark of the Red Covenant,Tribal Circlet,Standard,1,3,3,,none,no,,none,no,,0,no,,,,,variant-line-not-displayed,(10-15)% increased Stun and Block Recovery
da58fc3b98ba,Crown of the Inward Eye,Prophet Crown,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
84dee08d6560,Howlcrack,Ezomyte Burgonet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
1e3f876e1c4d,Wilma's Requital,Solaris Circlet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9b9b73325500,Maw of Conquest,Steel Circlet,Standard,1,1,1,,none,no,,none,no,,0,no,,,,,no-text-match,65% increased Spell Critical Strike Chance
ef610d80be8c,Ancient Skull,Bone Helmet,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
efb9f64462e9,Willclash,Golden Mask,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
8fbc0824bd6b,Careful Planning,Viridian Jewel,Standard,1,2,2,Current;Pre 3.20.0,several,yes,Current;Pre 3.20.0,several,yes,,0,no,,,,,,
ddf2e58c3640,Tempered Flesh,Crimson Jewel,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
f4ed360cb47d,Efficient Training,Crimson Jewel,Standard,1,2,2,Current;Pre 3.20.0,several,yes,Current;Pre 3.20.0,several,yes,,0,no,,,,,,
3e815682c733,Inertia,Crimson Jewel,Standard,1,2,2,Current;Pre 3.20.0,several,yes,Current;Pre 3.20.0,several,yes,,0,no,,,,,,
3f5ee52f366b,Pure Talent,Viridian Jewel,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
888ce32a86f3,Self-Flagellation,Viridian Jewel,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
68770a85b2ee,Inspired Learning,Crimson Jewel,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
c2d8a50981e6,Lakishu's Blade,Elegant Sword,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
2c7def6ea531,Hiltless,Reaver Sword,Standard,1,3,3,,none,no,,none,no,,0,no,,,,,no-text-match,11% increased Physical Damage
c19ce7bcb156,Redbeak,Rusted Sword,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
3e663d32a342,Scaeva,Gladius,Standard,1,3,3,Pre 3.29.0,one,no,Pre 3.29.0,one,no,,0,no,,,,,,
