array,template,items,lines,by_league,by_rarity,by_icon_dir,example
enchantMods,Added Small Passive Skills grant: #% increased Chaos Damage,22,22,Solo Self-Found:1;Standard:21,Rare:18;Normal:2;Magic:2,Jewels/NewGemBase3:22,Added Small Passive Skills grant: 12% increased Chaos Damage
enchantMods,Added Small Passive Skills grant: #% increased Elemental Damage,21,21,Solo Self-Found:4;Standard:17,Rare:13;Normal:4;Magic:4,Jewels/NewGemBase3:21,Added Small Passive Skills grant: 10% increased Elemental Damage
enchantMods,Added Small Passive Skills grant: #% increased Damage over Time,20,20,Solo Self-Found:2;Standard:18,Rare:14;Normal:4;Magic:2,Jewels/NewGemBase2:20,Added Small Passive Skills grant: 10% increased Damage over Time
enchantMods,Delirium Reward Type: Armour,20,22,Hardcore:1;Solo Self-Found:1;Standard:18,Rare:10;Normal:9;Magic:1,Maps/Atlas2Maps:20,Delirium Reward Type: Armour
enchantMods,Added Small Passive Skills grant: #% increased Chaos Damage over Time,19,19,Solo Self-Found:1;Standard:18,Rare:18;Magic:1,Jewels/NewGemBase2:19,Added Small Passive Skills grant: 12% increased Chaos Damage over Time
enchantMods,Added Small Passive Skills grant: #% increased Projectile Damage,19,19,Solo Self-Found:2;Standard:17,Rare:7;Magic:6;Normal:6,Jewels/NewGemBase2:19,Added Small Passive Skills grant: 10% increased Projectile Damage
enchantMods,Added Small Passive Skills grant: #% increased effect of Non-Curse Auras from your Skills,19,19,Solo Self-Found:1;Standard:18,Rare:18;Normal:1,Jewels/NewGemBase2:19,Added Small Passive Skills grant: 3% increased effect of Non-Curse Auras from your Skills
enchantMods,Delirium Reward Type: Jewellery,19,20,Solo Self-Found:1;Standard:18,Rare:11;Normal:4;Magic:4,Maps/Atlas2Maps:19,Delirium Reward Type: Jewellery
enchantMods,Added Small Passive Skills grant: #% increased Cold Damage,18,18,Solo Self-Found:5;Standard:13,Rare:17;Magic:1,Jewels/NewGemBase3:18,Added Small Passive Skills grant: 12% increased Cold Damage
enchantMods,Added Small Passive Skills grant: #% increased Mine Damage,18,18,Standard:18,Rare:15;Magic:2;Normal:1,Jewels/NewGemBase2:18,Added Small Passive Skills grant: 12% increased Mine Damage
enchantMods,Added Small Passive Skills grant: #% increased Trap Damage,18,18,Standard:18,Rare:15;Magic:2;Normal:1,Jewels/NewGemBase2:18,Added Small Passive Skills grant: 12% increased Trap Damage
enchantMods,Delirium Reward Type: Currency,18,19,Hardcore:1;Solo Self-Found:1;Standard:16,Rare:9;Normal:8;Magic:1,Maps/Atlas2Maps:18,Delirium Reward Type: Currency
enchantMods,Added Small Passive Skills grant: #% increased Attack Damage,17,17,Solo Self-Found:3;Standard:14,Rare:12;Magic:3;Normal:2,Jewels/NewGemBase3:17,Added Small Passive Skills grant: 10% increased Attack Damage
enchantMods,Added Small Passive Skills grant: #% increased Fire Damage,17,17,Solo Self-Found:3;Standard:14,Rare:8;Magic:5;Normal:4,Jewels/NewGemBase3:17,Added Small Passive Skills grant: 12% increased Fire Damage
enchantMods,Added Small Passive Skills grant: #% increased maximum Mana,17,17,Standard:17,Rare:14;Magic:3,Jewels/NewGemBase1:17,Added Small Passive Skills grant: 6% increased maximum Mana
enchantMods,Area contains an Empowered Mirage which covers the entire Map,17,17,Standard:17,Rare:17,Maps/Atlas2Maps:17,Area contains an Empowered Mirage which covers the entire Map
enchantMods,Added Small Passive Skills grant: #% increased Area Damage,16,16,Allflame:1;Solo Self-Found:1;Standard:14,Rare:8;Normal:6;Magic:2,Jewels/NewGemBase2:16,Added Small Passive Skills grant: 10% increased Area Damage
enchantMods,Quality does not increase Physical Damage,15,15,Solo Self-Found:1;Standard:14,Rare:10;Unique:5,Weapons/TwoHandWeapons:8;Weapons/OneHandWeapons:7,Quality does not increase Physical Damage
enchantMods,Added Small Passive Skills grant: #% increased Armour,14,14,Allflame:1;Standard:13,Rare:6;Magic:4;Normal:4,Jewels/NewGemBase1:14,Added Small Passive Skills grant: 15% increased Armour
enchantMods,Added Small Passive Skills grant: #% increased Cold Damage over Time,14,14,Solo Self-Found:3;Standard:11,Rare:8;Magic:5;Normal:1,Jewels/NewGemBase2:14,Added Small Passive Skills grant: 12% increased Cold Damage over Time
enchantMods,Added Small Passive Skills grant: #% increased Lightning Damage,14,14,Hardcore:1;Standard:13,Rare:11;Magic:3,Jewels/NewGemBase3:14,Added Small Passive Skills grant: 12% increased Lightning Damage
enchantMods,Added Small Passive Skills grant: #% increased Mana Reservation Efficiency of Skills,14,14,Standard:14,Rare:10;Magic:4,Jewels/NewGemBase1:14,Added Small Passive Skills grant: 6% increased Mana Reservation Efficiency of Skills
enchantMods,Added Small Passive Skills grant: Minions deal #% increased Damage,14,14,Standard:14,Rare:12;Normal:1;Magic:1,Jewels/NewGemBase3:14,Added Small Passive Skills grant: Minions deal 10% increased Damage
enchantMods,Added Small Passive Skills grant: #% increased Critical Strike Chance,13,13,Solo Self-Found:4;Standard:9,Rare:9;Magic:3;Normal:1,Jewels/NewGemBase2:13,Added Small Passive Skills grant: 15% increased Critical Strike Chance
enchantMods,Added Small Passive Skills grant: #% increased Effect of your Curses,13,13,Standard:13,Rare:10;Magic:2;Normal:1,Jewels/NewGemBase2:11;Jewels/NewGemBase1:2,Added Small Passive Skills grant: 2% increased Effect of your Curses
enchantMods,Reused at the end of this Flask's effect,13,13,Standard:13,Magic:10;Unique:3,Flasks/sprint:2;Flasks/evasionflask01:2;Flasks/BlockFlask:1,Reused at the end of this Flask's effect
enchantMods,Added Small Passive Skills grant: #% increased Flask Effect Duration,12,12,Solo Self-Found:1;Standard:11,Rare:10;Magic:2,Jewels/NewGemBase2:12,Added Small Passive Skills grant: 6% increased Flask Effect Duration
enchantMods,Added Small Passive Skills grant: #% increased Physical Damage over Time,12,12,Solo Self-Found:3;Standard:9,Rare:7;Magic:3;Normal:2,Jewels/NewGemBase2:12,Added Small Passive Skills grant: 12% increased Physical Damage over Time
enchantMods,Added Small Passive Skills grant: #% increased Totem Damage,12,12,Allflame:2;Standard:10,Rare:9;Magic:3,Jewels/NewGemBase2:12,Added Small Passive Skills grant: 12% increased Totem Damage
enchantMods,Added Small Passive Skills grant: #% increased maximum Life,12,12,Solo Self-Found:3;Standard:9,Rare:7;Magic:4;Normal:1,Jewels/NewGemBase1:12,Added Small Passive Skills grant: 4% increased maximum Life
enchantMods,Added Small Passive Skills grant: #% increased maximum Energy Shield,11,11,Solo Self-Found:4;Standard:7,Rare:5;Normal:4;Magic:2,Jewels/NewGemBase1:11,Added Small Passive Skills grant: 6% increased maximum Energy Shield
enchantMods,Added Small Passive Skills grant: #% to Fire Resistance,11,11,Solo Self-Found:5;Standard:6,Rare:7;Normal:4,Jewels/NewGemBase1:11,Added Small Passive Skills grant: +15% to Fire Resistance
enchantMods,Allocates Divine Judgement,11,11,Standard:11,Rare:6;Unique:5,Amulets/Amulet37:3;Amulets/Amulet5:2;Amulets/Amulet4Unique:1,Allocates Divine Judgement
enchantMods,Added Small Passive Skills grant: #% chance to Suppress Spell Damage,10,10,Solo Self-Found:2;Standard:8,Rare:6;Magic:3;Normal:1,Jewels/NewGemBase1:10,Added Small Passive Skills grant: +4% chance to Suppress Spell Damage
enchantMods,Added Small Passive Skills grant: #% increased Brand Damage,10,10,Solo Self-Found:3;Standard:7,Magic:4;Rare:4;Normal:2,Jewels/NewGemBase2:10,Added Small Passive Skills grant: 12% increased Brand Damage
enchantMods,Added Small Passive Skills grant: #% increased Physical Damage,10,10,Allflame:2;Solo Self-Found:1;Standard:7,Rare:7;Magic:2;Normal:1,Jewels/NewGemBase3:10,Added Small Passive Skills grant: 12% increased Physical Damage
enchantMods,Added Small Passive Skills grant: #% increased Spell Damage,10,10,Hardcore:1;Solo Self-Found:2;Standard:7,Rare:5;Normal:3;Magic:2,Jewels/NewGemBase3:10,Added Small Passive Skills grant: 10% increased Spell Damage
enchantMods,Added Small Passive Skills grant: #% to Cold Resistance,10,10,Hardcore:1;Solo Self-Found:3;Standard:6,Rare:8;Normal:2,Jewels/NewGemBase1:10,Added Small Passive Skills grant: +15% to Cold Resistance
enchantMods,#% increased Movement Speed if you haven't been Hit Recently,9,9,Hardcore:1;Standard:8,Rare:5;Unique:4,Armours/Boots:9,6% increased Movement Speed if you haven't been Hit Recently
enchantMods,Your Empowering Towers have #% increased Range,9,9,Solo Self-Found:1;Standard:8,Rare:9,Rings/TopazRuby:3;Rings/Empty-Socket:2;Rings/TopazSapphire:1,Your Empowering Towers have 25% increased Range
enchantMods,#% increased Duration,8,8,Standard:8,Unique:6;Magic:2,Flasks/VinktarFlask:2;Flasks/TasteOfHate:2;Flasks/VialofUnlife:2,82% increased Duration
enchantMods,Added Small Passive Skills grant: #% increased Attack Damage while Dual Wielding,8,8,Solo Self-Found:2;Standard:6,Rare:6;Magic:1;Normal:1,Jewels/NewGemBase3:8,Added Small Passive Skills grant: 12% increased Attack Damage while Dual Wielding
enchantMods,Added Small Passive Skills grant: #% increased Burning Damage,8,8,Standard:8,Rare:8,Jewels/NewGemBase2:8,Added Small Passive Skills grant: 12% increased Burning Damage
enchantMods,Added Small Passive Skills grant: #% increased Effect of Non-Damaging Ailments,8,8,Solo Self-Found:3;Standard:5,Magic:3;Rare:3;Normal:2,Jewels/NewGemBase2:8,Added Small Passive Skills grant: 10% increased Effect of Non-Damaging Ailments
enchantMods,Added Small Passive Skills grant: #% increased Life Recovery from Flasks,8,8,Solo Self-Found:2;Standard:6,Rare:5;Magic:2;Normal:1,Jewels/NewGemBase2:8,Added Small Passive Skills grant: 10% increased Life Recovery from Flasks
enchantMods,Added Small Passive Skills grant: #% increased Mana Recovery from Flasks,8,8,Solo Self-Found:2;Standard:6,Rare:5;Magic:2;Normal:1,Jewels/NewGemBase2:8,Added Small Passive Skills grant: 10% increased Mana Recovery from Flasks
enchantMods,Added Small Passive Skills grant: Axe Attacks deal #% increased Damage with Hits and Ailments,8,8,Hardcore:1;Solo Self-Found:1;Standard:6,Rare:8,Jewels/NewGemBase3:8,Added Small Passive Skills grant: Axe Attacks deal 12% increased Damage with Hits and Ailments
enchantMods,Added Small Passive Skills grant: Minions have #% increased maximum Life,8,8,Allflame:1;Standard:7,Rare:6;Normal:2,Jewels/NewGemBase2:8,Added Small Passive Skills grant: Minions have 12% increased maximum Life
enchantMods,Added Small Passive Skills grant: Sword Attacks deal #% increased Damage with Hits and Ailments,8,8,Hardcore:1;Solo Self-Found:1;Standard:6,Rare:8,Jewels/NewGemBase3:8,Added Small Passive Skills grant: Sword Attacks deal 12% increased Damage with Hits and Ailments
enchantMods,Allocates Sovereignty,8,8,Standard:8,Unique:5;Rare:3,Amulets/MasterOfGems:2;Amulets/AgateAmulet:2;Amulets/Malachai's BrillianceAmulet:1,Allocates Sovereignty
enchantMods,Added Small Passive Skills grant: #% increased Attack Damage while holding a Shield,7,7,Standard:7,Rare:3;Magic:3;Normal:1,Jewels/NewGemBase3:7,Added Small Passive Skills grant: 12% increased Attack Damage while holding a Shield
enchantMods,Added Small Passive Skills grant: #% to Chaos Resistance,7,7,Standard:7,Rare:4;Magic:2;Normal:1,Jewels/NewGemBase1:7,Added Small Passive Skills grant: +12% to Chaos Resistance
enchantMods,Added Small Passive Skills grant: Minions deal #% increased Damage while you are affected by a Herald,7,7,Solo Self-Found:1;Standard:6,Rare:6;Magic:1,Jewels/NewGemBase2:7,Added Small Passive Skills grant: Minions deal 10% increased Damage while you are affected by a Herald
enchantMods,Delirium Reward Type: Unique Items,7,7,Hardcore:1;Standard:6,Normal:6;Rare:1,Maps/Atlas2Maps:7,Delirium Reward Type: Unique Items
enchantMods,Added Small Passive Skills grant: #% increased Damage with Two Handed Weapons,6,6,Hardcore:1;Solo Self-Found:4;Standard:1,Magic:3;Rare:3,Jewels/NewGemBase3:6,Added Small Passive Skills grant: 12% increased Damage with Two Handed Weapons
enchantMods,Added Small Passive Skills grant: #% increased Evasion Rating,6,6,Solo Self-Found:4;Standard:2,Rare:3;Magic:3,Jewels/NewGemBase1:6,Added Small Passive Skills grant: 15% increased Evasion Rating
enchantMods,Added Small Passive Skills grant: Claw Attacks deal #% increased Damage with Hits and Ailments,6,6,Solo Self-Found:3;Standard:3,Rare:4;Normal:2,Jewels/NewGemBase3:6,Added Small Passive Skills grant: Claw Attacks deal 12% increased Damage with Hits and Ailments
enchantMods,Added Small Passive Skills grant: Dagger Attacks deal #% increased Damage with Hits and Ailments,6,6,Solo Self-Found:3;Standard:3,Rare:4;Normal:2,Jewels/NewGemBase3:6,Added Small Passive Skills grant: Dagger Attacks deal 12% increased Damage with Hits and Ailments
enchantMods,Added Small Passive Skills grant: Mace or Sceptre Attacks deal #% increased Damage with Hits and Ailments,6,6,Solo Self-Found:2;Standard:4,Rare:3;Magic:2;Normal:1,Jewels/NewGemBase3:6,Added Small Passive Skills grant: Mace or Sceptre Attacks deal 12% increased Damage with Hits and Ailments
enchantMods,Added Small Passive Skills grant: Staff Attacks deal #% increased Damage with Hits and Ailments,6,6,Solo Self-Found:2;Standard:4,Rare:3;Magic:2;Normal:1,Jewels/NewGemBase3:6,Added Small Passive Skills grant: Staff Attacks deal 12% increased Damage with Hits and Ailments
enchantMods,Delirium Reward Type: Blight Items,6,6,Standard:6,Normal:5;Rare:1,Maps/Atlas2Maps:6,Delirium Reward Type: Blight Items
enchantMods,Delirium Reward Type: Essences,6,6,Standard:6,Rare:4;Normal:2,Maps/Atlas2Maps:6,Delirium Reward Type: Essences
enchantMods,Grants #% increased Area of Effect per #% Quality,6,6,Solo Self-Found:1;Standard:5,Rare:4;Unique:2,Weapons/TwoHandWeapons:3;Weapons/OneHandWeapons:3,Grants 1% increased Area of Effect per 4% Quality
